object_id,ein,OrgnztnBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,FndrsrActvtyInf_ActvtyTxt,FndrsrActvtyInf_FndrsrCntrlOfFndsInd,FndrsrActvtyInf_GrssRcptsAmt,FndrsrActvtyInf_RtndByCntrctrAmt,FndrsrActvtyInf_NtTOrgnztnAmt
201530129349300863,410695509,RUFFALOCODY LLC,PO BOX 3018,CEDAR RAPIDS,IA,52406,PHONATHON CALL SYSTEM,0,0,10108,0
201530129349300863,410695509,COMMUNITY COUNSELING SERVICE CO LLC,PO BOX 824885,PHILADELPHIA,PA,191824885,FEASIBILITY & CAMPAIGN PLANNING,0,0,35000,0
201530129349300863,410695509,CAMPBELL & COMPANY,ONE WACKER DR SUITE 2100,CHICAGO,IL,60601,STRATEGIC COUNSEL & CASE DEVELOPMENT,0,0,20382,0
201510159349300611,042105776,Bentz Whaley Flessner,7251 Ohms Lane,Minneapolis,MN,55439,Fundraising,0,132515,53880,78635
201510129349300331,366069820,WESTFALL GROUP,1300 PEACHTREE IND BLVD,SUWANEE,GA,30024,EVENT PLANNING,0,687985,60500,627485
201510129349300331,366069820,WESTFALL GOLD,1300 PEACHTREE IND BLVD,SUWANEE,GA,30024,MEDIA DEVELOPMENT,0,0,48000,-48000
201520149349301257,560532303,RUFFALOCODY,PO BOX 3018,CEDAR RAPIDS,IA,52406,PHONATHON,0,0,21956,0
201520149349301257,560532303,GRENZEBACH GLIER & ASSOCIATES,401 N MICHIGAN AVE 28,CHICAGO,IL,60611,CONSULTANT,0,0,16428,0
201520129349301107,240795495,CARLA CAPONE,1501 BROADWAY SUITE 1808,NEW YORK CITY,NY,10036,EVENT MANAGEMENT,0,1065952,42500,1023451
201520169349300922,480623882,COMMUNITY COUNSELING SERVICE CO LL,CAPITAL CAMPAIGN,false
201520239349300007,951716809,Community Counseling Service Co LLC,PO Box 824885,Philadelphia,PA,191824885,General Fundraising Counsel,0,0,22500,-22500
201520239349300007,951716809,Joan GoldSmith dba Women Leaders,2411 18th Street,Santa Monica,CA,90405,Networking and Introductions,0,0,11500,-11500
201520239349300007,951716809,Carl Terzian Associates,10866 Wilshire Blvd Suite 750,Los Angeles,CA,90024,Networking and Introductions,0,0,21924,-21924
201520239349300107,900394713,Lassiter & Associates LLC,2 Wisconsin Circle Suite 700,Chevy Chase,MD,20815,Fundraising Consultant,0,0,24391,-24391
201520279349300217,440545280,HARTSOOK COMPANIES INC,CONSULTING,false,0,277589,0
201500309349301800,042111203,Washburn and McGoldrick Inc,950 New Loundon Street,Latham,NY,12110,Campaign consulting,0,0,21448,-21448
201500359349301115,131988190,FUTURE FUNDS LLC,129 BATGATE STREET,STATEN ISLAND,NY,10312,FUNDRAISING PLANNING,0,0,321500,-321500
201500359349301115,131988190,COMMUNITY COUNSELING SERVICE COMPANY,461 FIFTH AVENUE 3RD FLOOR,NEW YORK,NY,10017,FUNDRAISING TRAINING,0,0,225750,-225750
201500359349301115,131988190,CONSTELLATION ADVANCEMENT LLC,17 VILLAGE ROAD 188,NEW VERNON,NJ,07976,CONSULTING,0,0,99000,-99000
201500359349301115,131988190,AMY GORDON,5 HORIZON ROAD SUITE 2402,FORT LEE,NJ,07024,SOLICITING,0,0,18100,-18100
201500359349301115,131988190,HUDSON FERRIS INC,192 LEXINGTON AVENUE SUITE 245,NEW YORK,NY,10016,CONSULTING,0,0,19500,-19500
201500359349301115,131988190,KATHLEEN SULLIVAN ALIOTO INC,50 WEST 40TH STREET,NEW YORK,NY,10018,CONSULTING,0,0,135000,-135000
201500359349301115,131988190,PAULA J KASCEL,698 WEST END AVENUE 11C,NEW YORK,NY,10025,CONSULTING,0,0,71250,-71250
201500359349301115,131988190,JLO CONSULTANT INC,139 SHEAR HILL ROAD,MAHOPAC,NY,10541,CONSULTING,0,0,60000,-60000
201510309349300546,340868798,MCALLISTER & QUINN,1368 NORTH WASHINGTON AVE,SCRANTON,PA,18509,GRANT SOLICITATION,0,0,97528,-97528
201500349349300345,742599785,CARGILL GROUP,4702 ALTAMESA BLVD,FORT WORTH,TX,76163,"DATABASE CONSULTING FOR DIRECT MAIL, TELEPHONE, AND INTERNET",0,0,0,25876
201500339349300705,470377991,STEIER GROUP,10844 Old Mill Road,Omaha,NE,681542651,FUNDRAISING COUNSEL,false,31059
201500339349300705,470377991,MCALLISTER QUINN,1030 15th Street NW Suite 590W,Washington,DC,200051511,GRANT SEEKING,false,16100
