object_id,ein,OrgnztnBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,FndrsrActvtyInf_ActvtyTxt,FndrsrActvtyInf_FndrsrCntrlOfFndsInd,FndrsrActvtyInf_GrssRcptsAmt,FndrsrActvtyInf_RtndByCntrctrAmt,FndrsrActvtyInf_NtTOrgnztnAmt
201713469349300626,166031585,Marts & Lundy,1200 Wall St West 5th Floor,Lyndhurst,NJ,07071,Consulting on campaign planning,0,0,106534,-106534
201713489349300116,390806263,Campbell & Company,One E Wacker Dr,Suite 2100,Chicago,IL,60601,Campaign consulting,0,0,24999,-24999
201713489349300116,390806263,David Lawrence,35 Main St,Newcastle,ME,04553,Major gift consulting,0,0,17793,-17793
201713199349303801,160743900,Ruffalo Noel Levitz,1025 Kirkwood Parkway SW,Cedar Rapids,IA,52404,Ruffalo Noel Levitz provides Phonathon services for the University to secure pledges and donations to support the operational activities of the University.,0,131592,91850,39742
201743189349312639,231352008,Harris Connect,1511 Rt 22 - Suite C-25,Brewster,NY,10509,Phone solicitation,0,76935,114310,-37375
201743189349312639,231352008,Grenzebach Glier & Associates,PO Box 88277 Department A,Chicago,IL,606801277,Fundraising consulting,0,0,139476,-139476
201733149349303423,042104451,DEVELOPMENT GUILD,233 HARVARD STREET SUITE 107,BROOKLINE,MA,02446,CONSULTING,0,0,75436,-75436
201743149349301614,135564934,BUCKLEY HALL EVENTS,SPECIAL EVENT,false
201733189349309863,111633486,GHIORSI SORRENTI INC,CAMPAIGN MGMT SVCS,false
201733149349303603,410698301,DATA STRATEGY CORPORATION,1907 EAST WAYZATA BLVD 170,WAYZATA,MN,55391,ANNUAL FUND COMMUNICATION,0,0,21000,-21000
201733149349303603,410698301,DONALD A CAMPBELL & COMPANY,ONE EAST WACKER DRIVE,CHICAGO,IL,60601,PHILANTHROPIC MARKET STUDY - CONSULTING,0,0,43054,-43054
201723389349300437,540575812,The Virginia College Fund,4900 August Ave,Richmond,VA,23230,The Virginia College Fund solicits contributions from Virginia businesses and individuals on behalf of several private colleges in Virginia.,0,159586,63958,95628
201743459349300439,840442429,The Richard Norman Co,113 E Market Street,Leesburg,VA,20176,Consulting,false,115000,-115000
201743459349300439,840442429,Active Engagement LLC,113 E Market Street,Leesburg,VA,20176,Consulting,false,40000,-40000
201723259349300002,041843040,DRIVER 8 LLC Lyndhurst NJ 07071,CONSULTING,false,86270
