object_id,ein,BsnssNmLn1Txt,PrmryActvtsTxt,OrgPrftOrOwnrshpPct,OfcrEtcPrftOrOwnrshpPct,PhyscnsPrftOrOwnrshpPct
201933199349307538,710236856,SURGICAL PAVILLION,ASC,0.5,0.5
201933199349307538,710236856,SPRINGHILL SURGERY,ASC,0.5291,0.4709
201933199349307538,710236856,AUTUMN ROAD LLC,REAL ESTATE,0.5972,0.4028
201933199349307538,710236856,ORTHOARKANSAS,ASC,0.51,0.49
201943169349302724,541547408,1 PRINCESS ANNE AMB SURG MGT,OUTPATIENT SURGERY CENTER,0.51520,0.48480
201943169349302724,541547408,2 SENTARA OBICI AMB SURG CTR,OUTPATIENT SURGERY CENTER,0.56140,0.43860
201943169349302724,541547408,3 VA BEACH AMB SURG CTR,OUTPATIENT SURGERY CENTER,0.50000,0.50000
201943169349302724,541547408,4 CANCER CENTERS OF VA LLC,EQUIPMENT LEASING,0.50000,0.50000
201943169349302724,541547408,5 OBICI REAL EST HOLDINGS LLC,REAL ESTATE RENTAL,0.64370,0.35630
201943169349302724,541547408,6 PET INSTITUTE OF HAMPTON ROADS LLC,MEDICAL SERVICES,0.13750,0.45000
201943169349302724,541547408,7 CAREPLEX ORTHO AMBULATORY SURG CTR,OUTPATIENT SURGERY CENTER,0.50000,0.50000
201943169349302724,541547408,8 ORTHOPAEDIC HOSPITAL MANAGEMENT LLC,ORTHO MGT SVCS,0.40000,0.60000
201943189349303504,131624135,HSS ASC OF MANHATTAN,HEALTH CARE,0.51,0.49
201943189349303504,131624135,HSS WEST SIDE ASC,HEALTH CARE,0.67,0.33
201943189349303504,131624135,HS2 LLC,SURGEON TALENT MANAGEMENT CO,0.1033,0.1034,0.7933
201943199349301934,210634484,OAK & MAIN
201943199349301934,210634484,SURGICENTER LLC,MEDICAL SERVICES,0.85,0.15
202022309349302177,540506332,ROANOKE AMBULATORY SURGERY CENTER LLC,AMBULATORY SURGERY,0.492,0.4648
202022309349302177,540506332,SOUTHWEST VIRGINIA HEALTH PROPETIES LLC,REAL ESTATE,0.5056,0.4648
