object_id,ein,FndrsrActvtyInf_PrsnNm,FndrsrActvtyInf_ActvtyTxt,FndrsrActvtyInf_FndrsrCntrlOfFndsInd,FndrsrActvtyInf_RtndByCntrctrAmt
201533179349305948,620497990,Kent Dove,2910 E Olcott Blvd,Bloomington,IN,47401,Consulting,0,0,32000,-32000
201542549349300204,350715530,WILSON BENNETT TECHNOLOGY,PHONATHON,false,213887,45000,168887
201512879349301636,410694721,JOHNSON GROSSNICKLE & ASSOCIATES INC,29 SOUTH PARK BLVD,GREENWOOD,IN,46143,CAMPAIGN COUNSEL,0,0,85275,0
201503019349301075,150532053,PROJECT PLUS INC,145 W 45TH STREET SUITE 300,NEW YORK,NY,10036,FUNDRAISING CONSULTING,0,599527,50144,549383
201502819349300415,592961536,CARLTON & CO,101 FEDERAL ST,BOSTON,MA,02110,CAMPAIGN CNSLTG,false,13782
201502819349300415,592961536,SOFTWARE INC,132 WELSH ROAD,HORSHAM,PA,19044,FR SOFTWARE SVC,false,5408
201503429349300415,381360586,RuffaloCody,POB 3018,Cedar Rapids,IA,52406,Phone solicitation of gifts.,0,271810,167590,104220
201523179349307722,390806325,SNAVELY ASSOCIATES,PO BOX 1139,STATE COLLEGE,PA,168041139,MARKETING AND COMMUNICATION MATERIALS CONSULTING,0,0,40102,0
201523179349307722,390806325,GONSER GERBER TINKER STUHR LLP,1776 LEGACY CIRCLE SUITE 100,NAPERVILLE,IL,60563,ADVICE & CONSULTING REGARDING SOLICITATIONS OF CONTRIBUTIONS,0,0,58518,0
201503159349302510,410698301,DATA STRATEGY CORPORATION,1907 EAST WAYZATA BLVD 170,WAYZATA,MN,55391,ANNUAL FUND COMMUNICATION,0,62878,57816,5062
201503159349302510,410698301,DONALD A CAMPBELL & COMPANY,ONE EAST WACKER DRIVE,CHICAGO,IL,60601,PHILANTHROPIC MARKET STUDY - CONSULTING,0,0,59561,-59561
201503159349300445,251065148,CLEARWORD COMMUNICATIONS GROUP INC,12841 BRAEMER VILLAGE PLAZA 51,BRISTOW,VA,20136,DIRECT MAILING,0,0,21093,0
201503159349300445,251065148,MIND OVER MEDIA,2840 LIBERTY AVENUE STE 402,PITTSBURGH,PA,15222,DIRECT MAILING,0,0,87716,0
201543159349301319,550357056,ALEXANDER-HAAS,3520 PIEDMONT ROAD,SUITE 300,ATLANTA,GA,30305,CONSULTING,false,36000,-36000
201533179349305328,470377991,MCALLISTER & QUINN,1030 15TH STREET NW SUITE 590W,WASHINGTON,DC,20005,GRANT SEEKING,0,0,99927,-99927
201533179349305328,470377991,NELNET BUSINESS SOLUTIONS INC,121 SOUTH 13TH STREET SUITE 201,LINCOLN,NE,68508,PHONE SOLICITATION,0,0,12736,-12736
201533179349305328,470377991,THE STELTER COMPANY,11159 AURORA AVENUE,DES MOINES,IA,50322,PLANNED GIVING,0,0,6943,-6943
201533179349305328,470377991,KIDGLOV,1120 P STREET SUITE 2,LINCOLN,NE,68508,FUNDING STRATEGY,0,0,9860,-9860
201533179349305328,470377991,WILSON-BENNETT TECHNOLOGY INC,140 PROFESSIONAL DRIVE SUITE 2,CABOT,AR,72023,PHONE SOLICITATION,0,0,10000,-10000
201543179349306324,362167773,THOMAS R KENNEDY & ASSOCIATES,9896 WEST 74TH WAY,ARVADA,CO,80005,CONTACTS DONORS TO SOLICIT FUNDS,1,0,56135,0
201543179349306324,362167773,RUFFALO NOEL LEVITZ,PO BOX 718,DES MOINES,IA,503030718,STAFF AND MANAGEMENT OF PHONATHON,0,0,92896,0
201533209349315408,260833212,AMERICAN PHILANTHROPIC LLC,18 N CHURCH STREET,STE 2,WESTCHESTER,PA,19380,false,20000,-20000
201513379349300701,150543658,CONSTELLATION ADVANCEMENT LLC,17 VILLAGE ROAD PO BOX 188,NEW VERNON,NY,07976,CAPITAL CAMPAIGN CONSULTANT,0,799929,60000,739929
201523499349300437,480623882,COMMUNITY COUNSELING SERVICE CO LL,CAPITAL CAMPAIGN,false
201543519349300144,530196583,SHARON HENRY & COMPANY,CARDINALS' DINNER,false,2070316,22045,2048271
201543519349300144,530196583,THE STELTER COMPANY,PLANNED GIVING NEWSLETTER,false,0,13893,-13893
201543519349300144,530196583,TELECOMP,PHONE PROGRAM,false,237017,179626,57391
201533529349300538,750851900,RuffaloCody LLC,1025 KIRKWOOD,CEDARRAPID,IA,52404,Fundraising,false,201375,198638,2737
201533529349300538,750851900,PURSUANT GROUP,PO BOX 203421,DALLAS,TX,75320,FUNDRAISING,false,78736,190490
