object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201931019349300333,141338498,AVI Foodsystems Inc,2590 Elm Road NE,Warren,OH,44483,Food Services,8046269
201931019349300333,141338498,EAB Global Inc,1920 East Parham Rd,Richmond,VA,23228,Higher Ed Marketing,1118326
201931019349300333,141338498,St Peter's Hospital,315 S Manning Blvd,Albany,NY,12208,Health Services,391367
201931019349300333,141338498,Creative Communications Associates,2 Third Street Suite 250,Troy,NY,12180,Higher Ed Marketing,318636
201931019349300333,141338498,KPMG LLP,515 Broadway,Albany,NY,12207,Auditing & Tax,242870
201931019349300218,910236600,LYDIG CONSTRUCTION,11001 E MONTGOMERY DR,SPOKANE,WA,99206,CONSTRUCTION,17009092
201931019349300218,910236600,GARGO CONSTRUCTION,4414 E BROADWAY,SPOKANE,WA,99220,CONSTRUCTION,16299636
201931019349300218,910236600,SODEXO,C/O GONZAGA UNIV BOX MSC 2479,SPOKANE,WA,99258,FOOD CONTRACTOR,13105957
201931019349300218,910236600,WALKER CONSTRUCTION,1803 E SPRINGFIELD AVE,SPOKANE,WA,99202,CONSTRUCTION,10036490
201931019349300218,910236600,SRG PARTNERSHIP INC,921 SW MORRISON ST STE 200,PORTLAND,OR,97205,ARCHITECTS,2117934
201900809349300610,480547702,JPMORGAN CHASE,270 PARK AVENUE,NEW YORK,NY,10017,CREDIT CARD PROCESSO,1229363
201900809349300610,480547702,SODEXO,PO BOX 70060,CHICAGO,IL,60673,FOOD SERVICE MGMT,952421
201900809349300610,480547702,MIT CLEANING RESTORATION LLC,1235 S WASHINGTON,WICHITA,KS,67211,CLEANING,429690
201900809349300610,480547702,THE LEARNING HOUSE,427 S 4TH ST STE 300,LOUISVILLE,KY,40202,LEARNING MGMT SYSTEM,370703
201900809349300610,480547702,STRATA INFORMATION GROUP,3935 HARNEY ST STE 203,SAN DIEGO,CA,621102849,SOFTWARE CONSULTING,187634
201920459349301537,590668483,Thompson Hospitality Services,505 Huntmar Park Drive,Suite 300,Herndon,VA,20170,Cafeteria foodservice,2780324
201920459349301537,590668483,Allied Universal Security Services,6000 W Hillsboro Boulevard,Deerfield Beach,FL,33441,Security,785476
201920459349301537,590668483,Sodexo America,9801 Washington Blvd,Gaithersburg,MD,20878,Custodial and landscaping,1603601
201920459349301537,590668483,Florida Power & Light,General Mail Facility,Miami,FL,33188,Electricity,1129453
201920459349301537,590668483,AFS IBEX Financial Services Inc,PO BOX 224528,750 NORTH ST PAUL SUITE 1500,DALLAS,TX,75201,Financing for University Insurance,607967
201940089349301129,596046500,ABA TECHNOLOGIES INC,3011 S BABCOCK ST STE 353,MELBOURNE,FL,32901,PROGRAMMING,4943424
201940089349301129,596046500,ELLUCIAN CO LP,62814 COLLECTION CTR DR,CHICAGO,IL,60693,SOFTWARE,2036773
201940089349301129,596046500,LARSEN MOTORSPORTS,1251 TAMANGO DR,WEST MELBOURNE,FL,32904,AUTO,210340
201940089349301129,596046500,BERMAN HOPKINS WRIGHT & LAHAM,8035 SPYGLASS HILL RD,MELBOURNE,FL,32940,AUDIT/TAX,206436
201940089349301129,596046500,COUCH'S WATERPROFING,2864 POLLACK ST NE,PALM BAY,FL,32905,ROOFING,148509
201900999349300535,370661494,MILLER HALL & TRIGGS,416 MAIN STREET,PEORIA,IL,61602,LEGAL,427427
201900999349300535,370661494,NEPC LLC,PO BOX 4110,WOBURN,MA,01888,PORTFOLIO MANAGEMENT FEES,381619
201900999349300535,370661494,BB FLOORING,PO BOX 8118,EAST PEORIA,IL,61611,CONSTRUCTION; FLOORING,164948
201900999349300535,370661494,BRANDES INVESTMENT PARTNERS LP,PO BOX 919048,SAN DIEGO,CA,921919048,PORTFOLIO MANAGEMENT FEES,126527
201900999349300535,370661494,NJJ TOURING LLC,135 W 50TH STREET FLR 19,NEW YORK,NY,10020,ENTERTAINMENT,125000
201930099349300203,231424055,BUILD CON 1,241 RUSHLEY WAY,MEDIA,PA,19063,CONSTRUCTION,127892
201930099349300203,231424055,EXCELLENCE CONSTRUCTION CO,1994 FALABELLA CTR,WARRINGTON,PA,18976,CONSTRUCTION,126850
201940569349300119,470376524,SAMPSON CONSTURCTION CO INC,3730 S 14TH,LINCOLN,NE,68502,CONSTRUCTION,13507603
201940569349300119,470376524,SODEXO INC & AFFILIATES,4880 PAYSPHERE CIRCLE,CHICAGO,IL,60674,CAMPUS FOOD SVC,1666734
201940569349300119,470376524,KINGERY CONSTURCTION COMPANY,201 N 64TH ST,LINCOLN,NE,68503,CONSTRUCTION,1022866
201940569349300119,470376524,THE CLARK ENERSEN PARTNERS,1010 LINCOLN MALL,LINCOLN,NE,68508,CONSULTING,645542
201940569349300119,470376524,WEATHERCRAFT COMPANY OF LINCOLN,5410 NW 44TH ST,LINCOLN,NE,68524,CONSTRUCTION,536310
201930509349300228,750851900,HOAR CONSTRUCTION LLC,1300 WEST SAM HOUSTON PKWY SOUTH,HOUSTON,TX,77042,CONSTRUCTION,10511807
201930509349300228,750851900,ARAMARK,1101 MARKET ST,PHILADEPHIA,PA,19107,FOOD SERVICE,6299234
201930509349300228,750851900,WFF FACILITY SERVICE,1600 CAMPUS COURT,ABILENE,TX,79601,CUSTODIAL,3513172
201930509349300228,750851900,BONTKE BROTHERS CONSTRUCTION,102 COLLEGE DRIVE,ABILENE,TX,79601,CONSTRUCTION,1544559
201930509349300228,750851900,BARR ROOFING COMPANY,3602 SOUTH TREADAWAY,ABILENE,TX,79602,CONSTRUCTION,1335614
201930749349300603,840402707,ACSYS INTERACTIVE DBA PRIMACY,1577 NEW BRITIAN AVE,FARMINGTON,CT,06032,WEBSITE DESIGN,3485720
201930749349300603,840402707,BON APPETIT,PO BOX 417632,BOSTON,MA,022417632,STUDENT CATERING,4227511
201930749349300603,840402707,Golden Triangle Construction Inc,700 Weaver Park Rd,LONGMONT,CO,80507,Construction,3817724
201930749349300603,840402707,Ricoh USA Inc,7245 S Havana Street Suite 300,CENTENNIAL,CO,80112,Copy & Printing,1002597
201930749349300603,840402707,deltak edu inc,1415 w 22nd st ste 400,OAK BROOK,IL,60523,contract sharing,1052134
201930459349300823,222586208,Chartwell's,PO Box 91337,Chicago,IL,60693,Food service provider,2052057
201930459349300823,222586208,Bread Loaf Corp,1293 Route 7 South,Middlebury,VT,05753,Construction,1445855
201930459349300823,222586208,Scheider Associates,2 Olive St,Suite 402,Boston,MA,02109,Marketing Consultant and Advertising,1168318
201930459349300823,222586208,Ellucian,62578 Collections center Drive,Chicago,IL,60693,Dental Services,174584
201930459349300823,222586208,GPI Construction,436 Canal Street,Brattleboro,VT,05301,Construction,124270
201930609349301043,930386890,SYNERGIS EDUCATION,1820 E RAY ROAD,CHANDLER,AZ,85225,ENROLLMENT,2483548
201930609349301043,930386890,SODEXO INC,DEPT 43283,LOS ANGELES,CA,90088,DINING HALL MGT,749727
201930609349301043,930386890,AFFILIATED MEDIA LLC,7080 SW BEVELAND ST,PORTLAND,OR,97223,ADVERTISING,384025
201930609349301043,930386890,ELLUCIAN INC,62814 COLLECTIONS CENTER DR,CHICAGO,IL,60693,SOFTWARE SUPPOR,224839
201930609349301043,930386890,PROFECTUS INC,11851 NE GLEN WIDING DR B,PORTLAND,OR,97220,CUSTODIAL,148065
201900159349300855,362167773,MILLER CANFIELD PADDOCK AND STONE PL,225 W WASHINGTON SUITE 2600,CHICAGO,IL,60606,LEGAL SERVICES,268311
201940549349300604,611031382,KEVIN GEHO,9918 MARY DELL LANE,LOUISVILLE,KY,40291,SALES COMMISSIONS,133867
201940549349300604,611031382,RON SKEES,3208 MT FORAKER DRIVE,LEXINGTON,KY,40515,RESIDENTIAL SERVICES,114217
201940549349300604,611031382,WILLIAM SIERING,3622 STAMPER DRIVE,WINCHESTER,KY,40391,RESIDENTIAL SERVICES,113679
201930659349300838,520591694,ARAMARK,1101 MARKET STREET,PHILADELPHIA,PA,19107,PHYSICAL PLANT,4248511
201930659349300838,520591694,CAMPUS WORKS INC,1767 LAKEWOOD RANCH BLVD 305,BRADDENTON,FL,34211,IT SERVICES,2322498
201930659349300838,520591694,MARSHALL CRAFT ASSOCIATES,2031 CLIPPER PARK RD STE 105,BALTIMORE,MD,21211,ARCHITECTURAL SVCS.,800168
201930659349300838,520591694,WHITEFORD TAYLOR & PRESTON,7 ST PAUL STREET SUITE 1400,BALTIMORE,MD,21202,LEGAL SVCS.,358369
201930659349300838,520591694,OLOGIE LLC,447 EAST MAIN STREET,COLUMBUS,OH,43215,ADVERTISING & MKTING,310613
201900219349300015,592961536,SODEXO INC & AFFILIATES,PO BOX 360170,PITTSBURGH,PA,152516170,FACILITIES MGMT & DINING SERVICES,2331226
201900219349300015,592961536,JACOB P SMITH BUILDING COMPANY,1737 LAKE TERRACE DR,EUSTIS,FL,32726,CONSTRUCTION & REMODELING SERVICES,321486
201900219349300015,592961536,ALBERGO GIARDINO DI FIESOLI FIORELL,VIA MAGNOLFI 4,PRATO,IT,59100,HOUSING & BREAKFAST FOR STUDY ABROAD STU,160176
201900219349300015,592961536,EVERGREEN CONSTRUCTION,30941 SUNEAGLE DR,MT DORA,FL,32757,DEMOLITION SERVICES,153962
201900219349300015,592961536,GEORGE K BAUM & CO,4801 MAIN ST SUITE 500,KANSAS CITY,MO,64112,FINANCE ADVISORY SERVICES FOR BONDS ISSU,109106
201900599349301365,640303093,Thompson Hospitality,500 West County Line Road,Tougaloo,MS,39174,Food Service Provider,1382893
201900599349301365,640303093,Socrates Garrett Enterprises Inc,2659 Livingstone Road,Jackson,MS,39213,Construction Contractor,362281
