object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201933129349301853,042104451,LAND HELD FOR INVESTMENT - BOARD DESIGNATED FOR ENDOWMENT,19100000,F
202030429349300313,741400699,REAL ESTATE,31976358,F
202030429349300313,741400699,MINERAL RIGHTS,893606,F
202011069349301816,510198454,Endowed Funds: Invested @ ACEF,7964389,F
202031149349300113,850365964,MUSEUM COLLECTIONS,6131043,C
202031149349300113,850365964,MUSEUM ART PARK,229578,C
202030579349301648,942356338,INVESTMENTS IN COMMONS AT FAIR OAKS LLC,4006153,C
202000719349301410,730739626,Student loans receivable,22948100,C
202041279349302129,810420650,INVESTMENTS - PROGRAM RELATED,4604038,F
201903119349302430,264028305,DOMESTIC AND INTERNATIONAL STOCKS,3872692,F
201903119349302430,264028305,MUTUAL FUNDS,181188,F
202001359349300440,383001876,Cash and cash equivalents,12799,F
202001359349300440,383001876,Marketable fixed income securities,5216432,F
202001359349300440,383001876,Equity securities,10267693,F
202001359349300440,383001876,Proprietary funds,207458,F
202001359349300440,383001876,Pooled funds,32404305,F
202001359349300440,383001876,Private capital holdings,3655019,F
202001359349300440,383001876,Land and real estate,1050000,F
202041329349302184,566007078,Endowment funds,2160022,F
202030649349300633,261999384,Equity in start-up,267800,C
202000769349300315,370711798,FARMLAND,5284919,F
202021619349301217,465138928,"RESERVES FOR ACCREDITATION AGENCY HELD IN EQUITY FUNDS, MUTUAL FUNDS",36364337,F
202031059349301903,951684793,Student Loans,7335977,C
202031059349301903,951684793,Employee Housing Investment,4531251,C
202031059349301903,951684793,Assets whose use is limited,3879565,F
202021549349301942,741613878,Investments - Joint Venture,358046714,F
202021549349301942,741613878,Notes Receivable,16699428,F
202021549349301942,741613878,Private Research Investment,11126089,F
202021549349301942,741613878,OTHER MISCELLANEOUS INVESTMENT,6699413,F
202021839349301637,410684657,STUDENT LOANS,3847806,F
202031889349302218,475652592,INVESTMENT IN SUBSIDIARIES,3658200,F
202001959349300715,231352294,SHORT-TERM INVESTMENTS,13181251,F
202001959349300715,231352294,NON-CURRENT,19677677,F
202001959349300715,231352294,LONG-TERM INVESTMENTS,35392056,F
202001359349300800,560543261,INTERCOMPANY INVESTMENT,1480657,F
202031009349301103,480730814,Student Loan Receivables,1995821,C
202042529349301104,237088831,ENDOWMENT,212374534,F
202042529349301104,237088831,PARKER LOAN FOR STUDENTS,857408,F
202042529349301104,237088831,NWRC CAPITAL RENEWAL,614017,F
202042529349301104,237088831,SPROTT STUDENT INVESTMENT FUND,921960,F
202030379349300618,237133739,Net student loan notes receivable,852172528,C
202021509349301027,480577656,STUDENT LOANS RECEIVABLE,1690933,C
201903189349310185,810994377,INVESTMENT IN TRINITY HEALTH FOUNDATION,3470932,F
202031369349304913,900171867,PROGRAM RELATED INVESTMENTS,62975850,F
202001079349300930,541061178,Annuities,1429419,F
202001079349300930,541061178,Fixed Income Bonds,8607661,F
202031019349301318,231413680,GOVERMENT LOANS TO STUDENTS,11460350,F
202020839349300142,570314374,NMTC LEVERAGE LOAN,5548550,F
202001959349300610,231352651,ASSETS WHOSE USE IS LIMITED,29449544,F
202001959349300610,231352651,SHORT-TERM INVESTMENTS,78493072,F
202001959349300610,231352651,LONG-TERM INVESTMENTS,623722329,F
202001299349301140,431742297,Annuity,301000,C
201923019349300772,570324916,Wells Fargo,29898700,F
201923019349300772,570324916,Charitable Trust,588296,F
201923019349300772,570324916,Annuity Contracts,115233,F
201923019349300772,570324916,Real Estate,1000,C
201923019349300772,570324916,Various Stock,607,C
201903199349316125,472553196,Investment in Health Professionals of Wisconsin,3374256,C
201903199349316125,472553196,Investment in Unity Health Plans Insurance Corporation,78803691,C
201903199349316125,472553196,"Investment in e-Care of Wisconsin, LLC",-382485,C
201923059349302162,486106237,AMOUNTS HELD FOR OTHERS,2014024,F
201913169349304336,221508627,CASH & CASH EQUIVALENTS,1447718,F
201913169349304336,221508627,MONEY MARKET FUNDS,244438,F
201913169349304336,221508627,CORPORATE STOCKS,10342267,F
201913169349304336,221508627,CORPORATE BONDS,2033719,F
201913169349304336,221508627,MUTUAL FUNDS,16406575,F
201913169349304336,221508627,CLOSED END FUNDS,922443,F
201913169349304336,221508627,US GOVERNMENT SECURITIES,3285309,F
201913169349304336,221508627,LIMITED PARTNERSHIPS,488265,F
201933369349300113,362310478,Student Loan Portfolio,5496766,F
201943459349300644,370706154,REAL ESTATE,20349551,F
201903199349310155,421351526,BENEFICIARY INTEREST IN MEMORIAL FOUNDATION OF ALLEN HOSPITAL,10966895,F
202022269349302262,475148345,INT IN NA OF TAX EXEMPT SUBS,4929483,C
202001979349308040,620202000,INVESTMENTS IN ART COLLECTIONS,15227950,F
202001979349308040,620202000,INVESTMENT IN AFFILIATE,49424836,F
202001979349308040,620202000,REAL ESTATE HELD FOR INVESTMENT,510950,F
202021959349300802,240772407,"Bison Ventures, Inc",45000,F
202021959349300802,240772407,"Bucknell Real Estate, Inc.",433814,F
202021959349300802,240772407,Equity in subsidiaries earn(loss),-7825877,F
202020159349300252,231424055,STUDENT LOANS RECEIVABLE,2213240,F
