object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201602219349302255,320237828,Fee income,611710,191061,191061
201602519349300000,611531458,TUITION AND FEES,611600,1181144,1181144
201642449349301354,611622648,TUITION FEES,611600,8460,8460
201632249349302773,204781979,FEES FOR SERVICES,900099,2039055,2039055
201612479349300601,850474926,TUITION AND FEES,178509,178509
201612479349300601,850474926,DEGREE/DIPLOMA,2570,2570
201612479349300601,850474926,SEMINARS-CONFERENCES,117,117
201622529349300907,251659759,EDUCATION SERVICES,66468,66468
201622529349300907,251659759,PROFESSIONAL DEV. REVENUE,55,55
201622529349300907,251659759,THRIFT STORE,46326,46326
201622529349300502,651059288,TUITION AND OTHER STUDENT FEE,611710,368382,368382
201622529349300502,651059288,OTHER INCOME,900099,196,196
201622569349300722,650267991,Royalty & Licensing,541700,144578
201622569349300722,650267991,Contract Income,541700,128004
201622569349300722,650267991,Program Revenue,541700,1862
201612599349301401,330611334,TUITION INCOME,138620,138620
201602579349301200,410789397,TUITION AND FEES,611600,142825,142825
201602579349301200,410789397,RADIO STATION,515100,88546,88546
201612449349300791,750891465,Tuition,611310,14376932,14376932,0,0
201642529349300604,650267991,Royalty & Licensing,541700,172930
201642529349300604,650267991,Contract Income,541700,44971
201642529349300604,650267991,Program Revenue,541700,13648
201632419349300203,471994752,TUITION & FEES,616000,105554
201632419349300203,471994752,SCHOLARSHIPS RECEIVED,616000,20157
201622439349300602,200617900,CONSULTING INCOME,900099,27500,27500
201622439349300602,200617900,FREEDOM SINGS,900099,120,120
201602459349300930,350715530,TUITION AND FEES,611710,66948615,66948615
201602459349300930,350715530,AUXILIARY INCOME,900099,11933188,11332288,600900
201602459349300930,350715530,ATHLETIC INCOME,900099,480837,480837
201602459349300930,350715530,CONFERENCE AND EVENTS,900099,312263,31665,280598
201602459349300930,350715530,MISCELLANEOUS INCOME,900099,181862,181862
201612379349300526,953921204,TUITION & OTHER FEE,1800442,1800442
201612379349300526,953921204,SCHOOL CLINIC,310798,310798
201612379349300526,953921204,MISC INCOME,8477,8477
201612379349300526,953921204,DISCOUNT,-46862,-46862
201612439349300626,237008276,Faculty Club Revenue,722210,110432,110432
201612439349300626,237008276,Member Initiation fees,900099,6926,6926
201613029349301206,750827409,TUITION AND FEES,42010393,42010393
201613029349301206,750827409,AUXILIARY INCOME,10306974,10306974
201623019349300972,270497639,SECURITY TRAINING,611000,3969
201622889349301537,420680323,STUDENT REVENUES,611600,58717089,58717089
201622889349301537,420680323,AUXILIARY ENTERPRISES,611600,1983530,1983530
201602609349300105,582533742,STUDENT AND OTHER SERVICES,900099,355,355
201602999349300145,330606003,75966,75966
201632949349300148,480556726,STUDENT TUITION / FEES,611600,14492427,14492427
201632949349300148,480556726,AUXILIARY ENTERPRISES,611710,4588054,4553252,33626,1176
201632949349300148,480556726,ORG ACTIVITIES / OTHER,611710,504716,504716
201612999349300146,330934393,PROGRAM SERVICE REVENUE,91399,91399
201613059349300756,133705284,TUITION REVENUE,611600,6650232,6650232
201613059349300756,133705284,CHEMISTRY LAB FEES,611600,400837,400837
201613059349300756,133705284,CLINICAL NSG SKILLS,611600,227564,227564
201613059349300756,133705284,TESTING AND ACADEMIC R,611600,79944,79944
201613059349300756,133705284,APPLICATION FEES,611600,68565,68565
201613009349300146,111802808,Assoc Degree Tuition/Fees,611600,1452,1452
201623029349300717,840600653,PROGRAM SERVICE REVENUE,531390,219837,219837
201643009349300224,743095284,TUITION LESS TUITION REFUNDS,1567902,1567902
201602609349300320,237417722,EXECUTIVE PROGRAMS,900099,14977766
201602609349300320,237417722,RESIDENTIAL PROGRAMS,900099,9505710
201602609349300320,237417722,SUPPORT PROGRAMS,900099,5990208
