object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt,MthdOfDtrmnngRvnsTxt
201903579349300855,141463151,X,FURNITURE,186,52150,FMV OF GOODS
201912889349300246,344429091,X,OFFICE FURNISHINGS,1,30000,FAIR MARKET VALUE
201913519349300816,750827421,X,Books,1,5000,FMV
201913519349300816,750827421,X,EquipOther,4,2276,FMV
202020979349300507,221487354,X,Misc Equipment,4,145163,FMV
202020979349300507,221487354,X,"Food,BEV& Other",2,719,FMV
202041979349305184,042103542,X,PIANO,1,0,0
202041979349305184,042103542,X,PRIVATE HOME RECEPTION,1,0,0
202041979349305184,042103542,X,WWI CORRESPONDANCE,1,0,0
202041979349307414,951664112,X,"FOOD, FABRICS AND POTTERY",4,21151,RETAIL VALUE
202021929349302767,820200907,X,COIN COLLECTION,1,360107,APPRAISED
202021929349302767,820200907,X,ORGAN FOR THE MUSIC DEPARTMENT,1,25600,APPRAISED
201912849349300401,381443369,X,Optio string arrays tachnology,1,200000,invoice from vendor
201912849349300401,381443369,X,Wind screens,1,5125,invoice from vendor
201912849349300401,381443369,X,office supplies,2,1930,invoice from vendors
202041069349300824,160743040,X,Equipment,3,13962,FMV
202041069349300824,160743040,X,Materials,1,24500,FMV
202041069349300824,160743040,X,EVENT SUPPLIES,8,47447,FMV
202041069349300824,160743040,X,MISC,9,6492,FMV
202020319349300222,620485733,X,GIFT CERTIF.,2,5385,FAIR MARKET VALUE
202020319349300222,620485733,X,CLASSROOM MATERIALS,1,2204,FAIR MARKET VALUE
201933269349301003,930386890,X,3,1987806
202042249349300309,980391928,X,Electronic Equipment & Supplies,14,20187,FMV
202011689349300911,630312914,X,Software license,1,265000,Market value
202000799349300935,520705392,X,MISCELLANEOUS,5,5,DONEE SUPPLIED
202010569349300701,560657294,X,CAPITAL EQUIPMENT,1,78500,APPRAISALS
202010569349300701,560657294,X,INSTRUMENTS,2,46000,APPRAISALS
201913119349301796,810231774,X,DONATED AUCTION ITEMS,273,95108,MARKET VALUE-GIFT DA
201913119349301796,810231774,X,AUTO LEASE,3,26064,MARKET VALUE-GIFT DA
201913119349301796,810231774,X,MISC SUPPLIES AND GIFTS,37,12409,MARKET VALUE-GIFT DA
202041369349305314,951664123,X,Donated business Expense,0,1257
202040949349300014,560556753,X,LAB EQUIP.,1,7691,OWNER'S ESTIMATE
202040949349300014,560556753,X,CONDUCTOR'S PODIUM,1,654,OWNER'S ESTIMATE
202040949349300014,560556753,X,PORTRAIT,1,400,OWNER'S ESTIMATE
202040949349300014,560556753,X,5 FILE CABINETS,1,150,OWNER'S ESTIMATE
202000379349300105,131624158,X,Pledges,29,45456625,Net Present Value
201903399349301320,460320561,X,LABOR,7,43330,ESTIMATION OF FAIR M
201903399349301320,460320561,X,FIXED ASSETS,9,26358,ESTIMATION OF FAIR M
201903399349301320,460320561,X,SUPPLIES,2,3150,ESTIMATION OF FAIR M
202021489349300987,420703280,X,MISCELLANEOUS,67,67840,COST
202021489349300987,420703280,X,FOOD & SUPPLIES,16,12933,COST
202021489349300987,420703280,X,EQUIPMENT/FURNITURE,1,670,COST/SELLING PRICE
202010729349300726,840402707,X,"SUITES, COUNTRY CLUB MEMBERSHIP",3,13923,FMV
202010729349300726,840402707,X,Equipment,4,1257,FMV
202010729349300726,840402707,X,Gift Cards/Certificates,15,21864,FMV
202010729349300726,840402707,X,Jewelry,2,2799,FMV
202010729349300726,840402707,X,Toys,3,2191,FMV
202041419349301764,941156566,X,Pledge receivable,8,596131,Other
202031369349300313,560623936,X,EQUIPMENT,7,11803,COST
202031369349300313,560623936,X,MISCELLANEOUS SMALL GIFTS,4,6884,COST
202031369349300313,560623936,X,GIFT CARDS,3,250,COST
202041359349301949,591023117,X,Musical instrument,1,9000,Opinions of experts
202011919349301236,131624067,X,Musical instruments & materials,2,10330,expert opinion
202041979349301854,210634501,X,Athletic Equipment,1,23836,Other - SEE PART II
202041979349301854,210634501,X,MISCELLANEOUS,3,31675,Other - SEE PART II
202030159349300018,420698196,X,Science Building Furniture,1,200000,Invoice
202030159349300018,420698196,X,Travel,3,5247,Invoice
202030159349300018,420698196,X,Meals,6,1214,Invoice
202030159349300018,420698196,X,Constructions - Black Dirt;Tile,2,1504,Invoice
202030159349300018,420698196,X,Concrete,1,935,Invoice
201903399349301020,237099472,X,Boat,1,16474,Appraisal
202021959349303612,050258810,X,GOLF TOURNAMENTS,59,22809,FMV
202021959349303612,050258810,X,MISCELLANEOUS,15,134572,FMV
202030569349300503,455507328,X,PLEDGE,1,13394300,FAIR VALUE
202001949349300600,610444763,X,FENCING,1,23121,FAIR MARKET VALUE
