object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201903199349311450,980149857,Earth University Foundation,Five Piedmont Center 3525 Pie,Atlanta,GA,30305,382920639,education,GA,501(C)(3),7,na,false
201913189349302876,541854399,VIRGINIA COMMMONWEALTH UNIVERSITY,910 WEST FRANKLIN STREET,RICHMOND,VA,23284,546001758,PROMOTE & AID SCIENTIFIC INVESTIGATION & RESEARCH AT VCU.,VA,SECTION 170(B)(1)(A),6,N/A,0
201932959349300728,208434503,CSU RESEARCH FOUNDATION,PO BOX 483,FORT COLLINS,CO,80522,840600653,SUPPORT CSU RESEARCH AND EDUCATIONAL EFFORTS,CO,501(C)3,LINE 5,N/A,0
201912889349300246,344429091,POLAR ENTERPRISES,402 WEST COLLEGE AVENUE UNIT 1089,ADA,OH,45810,272573390,ENTREPRENEUR,OH,501(C)(3),5,NA,true
201912849349301461,480543782,KANSAS INDEPENDENT COLLEGE FOUNDATION,700 S KANSAS AVE SUITE 622B,TOPEKA,KS,66603,480636041,"FINANCIAL SUPPORT, STUDENT AID & STAFF DEVELOPMENT",KS,501(C)(3),PUBLIC CHARITY,0
201912849349301461,480543782,KANSAS INDEPENDENT COLLEGE ASSOCIATION,700 S KANSAS AVE SUITE 622A,TOPEKA,KS,66603,480766794,ASSIST MEMBER COLLEGES IN STUDENT RECRUITING AND GOV'T/PUBLIC RELATIONS,KS,501(C)(4),0
201943529349300639,620481463,NATIONAL ASSOC OF FREE WILL BAPTISTS,5233 MT VIEW ROAD,ANTIOCH,TN,37013,SPONSORING CHURCH/ DENOMINATION,TN,501(C)(3),LINE 1,0
201943529349300639,620481463,FREE WILL BAPTIST FOUNDATIOM,5233 MT VIEW ROAD,ANTIOCH,TN,37013,INVESTMENTS AND HOLDER OF COLLEGE DEBT,TN,501(C)(3),LINE 1,0
201943529349300639,620481463,RANDALL HOUSE PUBLICATIONS,114 BUSH ROAD,NASHVILLE,TN,37217,DENOMINATIONAL PUBLISHER,TN,501(C)(3),LINE 1,0
201913519349300816,750827421,Dallas Seminary Foundation,3909 Swiss Avenue,Dallas,TX,75204,752188543,Foundation,TX,501c3,7,N/A,false
