object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt,MthdOfDtrmnngRvnsTxt
201530129349300863,410695509,X,EQUIPMENT,4,120523,COMPARABLE SALES
201530129349300863,410695509,X,GIFT CARDS,11,2917,FACE VALUE
201510159349301406,350867954,X,TRAVEL EXPENSES,1,79,COST
201510159349301406,350867954,X,COMPANY PRODUCTS,18,3914,MARKET VALUE
201510159349301406,350867954,X,PERSONAL TANGIBLE PROPERTY,5,8317,MARKET VALUE
201500149349300810,560530240,X,Equestrian Horses,8,190002,Appraisal
201500129349300710,131916574,X,SUPPLIES/SUPP,18,48875,SELLING PRICE
201500129349300710,131916574,X,EQUIPMENT,4,36089,SELLING PRICE
201500129349300710,131916574,X,SUPPLIES/MINO,1,6492,SELLING PRICE
201510099349301271,560547478,X,Hardware/Software,4,16545,FMV
201510159349300311,420707124,X,Building Materials,1,400,Fair Market Value
201510159349300311,420707124,X,Athletic Equipment,1,4500,Fair Market Value
201510159349300311,420707124,X,Fundraising prizes,22,4896,Fair Market Value
201520149349301257,560532303,X,MISCELLANEOUS,29,57634,FMV
201520149349301262,620518288,X,MISCELLANEOUS,12,58820,FMV BY DONOR
201510129349300731,620548913,X,OTHER,5,1389,FMV
201510129349300731,620548913,X,DRAPERIES,1,500,FMV
201510129349300731,620548913,X,COSTUMES,1,500,FMV
201510129349300731,620548913,X,PRINTER,1,300,FMV
201510129349300731,620548913,X,BINDERS,1,200,FMV
201520129349301462,710239383,X,PROPERTY,3,183200,PURCHASE PRICE
201520129349301462,710239383,X,SUPPLIES,2,8173,PURCHASE PRICE
201500139349300035,560554199,X,SUPPLIES AND,49,20095,ESTIMATED VALUE
201520129349301107,240795495,X,DINNER PAYMEN,5,7009,DONOR ESTIMATED/RECE
201520129349301107,240795495,X,GIFT CARDS,9,1310,RECEIPT
201500219349300605,420698196,X,Travel,16,9021,Invoices
201500219349300605,420698196,X,Science Supplies,1,7500,Invoice
201530219349300213,391201561,X,PROFESSIONAL,4,13035,DONOR REPORTED
201530219349300213,391201561,X,PROGRAM SUPPL,6,9577,DONOR REPORTED
201500219349300245,610444788,X,EQUIPMENT,3,6420,FMV
201500219349300245,610444788,X,BASEBALL FIEL,11,4581,FMV
201500219349300245,610444788,X,TRAVEL-FLIGHT,2,4017,COST
201500219349300245,610444788,X,2014 NURSING,1,1495,COST
201500219349300245,610444788,X,GIFT CARDS,7,570,COST
201500219349300245,610444788,X,OTHER,3,402,COST
201520299349300007,430653369,X,LAB SUPPLIES,1,412241,FMV - LIST PRICE
201520289349300407,941021164,X,ELECTRONICS,2,32429,FAIR MARKET VALUE
201520289349300407,941021164,X,MUSICAL INSTR,1,4000,FAIR MARKET VALUE
201520289349300407,941021164,X,CONSUMABLES,9,2999,FAIR MARKET VALUE
201500349349300965,910473310,X,AUCTION ITEMS,12,69258,FAIR MARKET VALUE
201500349349300965,910473310,X,GOLF EQUIPMEN,1,17600,FAIR MARKET VALUE
201500349349300965,910473310,X,TRAVEL VOUCHE,2,14427,FAIR MARKET VALUE
