object_id,ein,BsnssNmLn1Txt,AddrssLn1Txt,CtyNm,SttAbbrvtnCd,ZIPCd,FcltyTxt
201623209349312427,263162145,DSI LAFAYETTE DIALYSIS,915 MEZZANINE DR,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT CARDIOLOGY,1116 N 16TH ST STE A,LAFAYETTE,IN,47904,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT FAMILY MEDICINE,2800 FERRY ST,LAFAYETTE,IN,47904,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT GYNECOLOGY,904 SOUTH ST,LAFAYETTE,IN,47901,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT HOSP CANCER CARE CTR,420 N 26TH ST,LAFAYETTE,IN,47904,DIAGNOSITC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT HOSP OUTPAT SURG CTR,1327 S 500 E,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT HOSPITAL SLEEP CENTER,3900 MCCARTY LANE STE 101,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT MEDICAL OFFICE - DELPHI,651 ARMORY ROAD,DELPHI,IN,46923,DIAGNOSITC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT MED OFFICE - FRANKFORT,550 S HOKE AVE,FRANKFORT,IN,46041,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT MED OFFICE-MONTICELLO,810 S 6TH ST STE A,MONTICELLO,IN,47960,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT MED OFFICE - OTTERBEIN,407 N MEADOW ST,OTTERBEIN,IN,47970,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT MED OFFICES -FERRY ST,2600 FERRY ST,LAFAYETTE,IN,47904,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IUH ARNETT MED OFFICES - GREENBUSH ST,2600 GREENBUSH ST,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEATLH ARNETT MED OFF - LAFAYETTE,1 WALTER SCHOLER DR,LAFAYETTE,IN,47909,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IUH ARNETT MED OFFICES - W LAFAYETTE,253 SAGAMORE PKWY W,WEST LAFAYETTE,IN,47906,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT NEPHROLOGY,915 MEZZANINE DR,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IUH ARNETT OBSETRICS AND GYNECOLOGY,938 MEZZANINE DR,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IUH ARNETT OCCUPATIONAL HEALTH SERVICES,2600 GREENBUSH ST,LAFAYETTE,IN,47905,DIAGNOSTIC AND OTHER OUTPATIENT
201623209349312427,263162145,IU HEALTH ARNETT PHYSICIANS - FRANKFORT,550 S HOKE AVE,FRANKFORT,IN,46041,DIAGNOSTIC AND OTHER OUTPATIENT
