object_id,ein,Dsc,Amt
201533179349305948,620497990,Deposits held in custody,363773
201533179349305948,620497990,Refundable loan programs,1714934
201533179349305948,620497990,Derivative contract,1688956
201533179349305948,620497990,Annuity liability,739157
201533179349305948,620497990,Life use obligation,404300
201533179349305948,620497990,Capital lease obligation,244094
201533209349302238,200683049,LINE OF CREDIT,48923
201533209349302238,200683049,PAYROLL TAXES PAYABLES,30214
201533209349302238,200683049,PAYROLL PAYABLE,29110
201533209349302238,200683049,UNEARNED INCOME,16458
201533179349309518,476025325,MAILBOX KEY - REFUNDABLE,115
201533179349309518,476025325,DORM DEPOSITS,2696
201533179349309518,476025325,DORM KEY DEPOSITS,19
201503079349301720,381359083,LIFE INCOME OBLIGATIONS,2165189
201503079349301720,381359083,REFUNDABLE GOV LOAN ADVANCE,1706024
201513089349300746,470418641,STUDENT DEPOSITS,54405
201513089349300746,470418641,PREPAID TUITION,37449
201523209349309137,591092732,DEPOSITS AND OTHER LIABILITIES,889459
201523209349309137,591092732,ADVANCES FROM FEDERAL GOVERNMENT FOR STUDENT LOANS,506972
201523209349309137,591092732,ANNUITIES PAYABLE,223746
201523209349309137,591092732,CASH FLOW HEDGE FUND,3022546
201543159349300809,560529972,ANNUITIES PAYABLE,44972
201543159349300809,560529972,CONSTRUCTION COSTS PAYABLE,555478
201543159349300809,560529972,DUE TO AGENCIES,680593
201533169349302013,391620530,DUE TO AFFILIATE,397938
201542599349300814,616002351,Refundable deposits,41686
201542599349300814,616002351,Actuarial liability for split interest agreements,89854
201542549349300204,350715530,ASSETS HELD FOR OTHERS,160117
201542549349300204,350715530,ANNUITIES AND TRUSTS PAYABLE,864534
201542549349300204,350715530,ADVANCES FOR FEDERAL LOANS,168949
201542549349300204,350715530,INTEREST RATE SWAP AGREEMENTS,112711
201512879349301636,410694721,ANNUITIES PAYABLE,792974
201512879349301636,410694721,U.S. GOVERNMENT GRANTS REFUNDABLE,4996124
201512879349301636,410694721,PV CAPITAL LEASE OBLIGATIONS,143846
201522879349301212,350869063,ANNUITIES & TRUST PAYABLE,650322
201522879349301212,350869063,REFUNDABLE STUDENT LOAN FUNDS,1563674
201522879349301212,350869063,DEPOSITS,16854
201523009349300737,237050293,DUE TO KIRKWOOD COMMUNITY COLLEGE,370
201522879349301422,344429091,US GOVT REFUNDABLE ADVANCES,10871971
201522879349301422,344429091,POSTRETIREMENT MEDICAL BENEFIT,27882972
201522879349301422,344429091,ANNUITIES AND TRUSTS PAYABLE,3177934
201522879349301422,344429091,OTHER,1065560
201522879349300727,452586013,ACCRUED EXPENSES,20588
201542609349300404,362919340,STUDENT AND OTHER DEPOSIT COLLECTED,6010
201533009349300718,750917417,Federal income taxes
201542969349300834,620548917,ADVANCES FROM THE FEDERAL GOVERNMENT FOR STUDENT LOANS,7527426
201542969349300834,620548917,ADVANCES FROM OAL,1009118
201542889349301604,660496239,RETAINAGE,353702
201503019349301075,150532053,DEFERRED COMPENSATION,352667
201503019349301075,150532053,DEFERRED RENT,26815
201542789349300519,620535755,OTHER ACCRUED LIABILITIES AND PAYABLES,221911
201542789349300519,620535755,ADVANCES FROM FEDERAL GOVT FOR STUDENT LOANS,888318
201542789349300519,620535755,ANNUITY PAYMENT LIABILITIES,309557
201502819349300415,592961536,INTEREST RATE SWAP LIABILITY,165318
201502819349300415,592961536,PAYROLL LIABILITIES,77092
201502819349300415,592961536,RETIREMENT PAYABLE,48970
201502819349301100,161476258,Post Retirement Liability,6411199
201502819349301100,161476258,Charitable Trust Obligations,199955
201502819349301100,161476258,Perkins Loan Federal Contribution,535608
201502819349301100,161476258,Interest Rate Swap,1657134
201502819349301100,161476258,"Bond Premium, Net of Amortization",2023914
201502859349300720,630329409,LIABILITIES UNDER AGENCY AGREEMENT,1034918
201532829349300648,750855633,Post Retirement Benefit Obligation,1736698
201532829349300648,750855633,Due to Federal Government,1102364
201532889349300523,631222148,PAYROLL LIABILITIES,1426
201503179349307680,620476661,FEDERAL SHARE OF PERKINS LOAN PROGRAM,-956
201503179349307680,620476661,AGENCY FUNDS,183665
201503179349307680,620476661,SPLIT-INTEREST AGREEMENTS,121891
201503179349307680,620476661,BOND INTEREST RATE SWAP,1519743
201522589349301212,237385525,Federal income taxes
201522829349300632,381443369,Federal income taxes
201522829349300632,381443369,Liabilities under split interest agreements,1372021
201513519349300001,560554199,U.S. GOVERNMENT FUNDS,615548
201503179349300525,201612906,INTEREST RATE SWAP VALUATION,10254977
201502869349300700,710236867,DEPOSITS HELD IN CUSTODY FOR OTHERS,167219
201503279349300010,941339635,STUDENT DEPOSITS,389482
201513209349308791,741339050,DUE TO PERMANENTLY RESTRICTED FUND,195167
201503179349307920,330728290,Federal income taxes
201503179349307750,810661056,101 E REDLANDS BLVD,14674442
201503179349307750,810661056,125 CLUB CENTER DRIVE,8700000
201503179349307750,810661056,195 E REDLANDS BLVD,2679850
201503179349307750,810661056,MT VIEW PLAZA,13375000
201503179349307750,810661056,WH PARKING STRUCTURE,14145308
201503179349307750,810661056,125 CLUB CENTER DRIVE BUILD OUT,6094638
201513209349304156,470424785,Student deposits and deferred income,731260
201513209349304156,470424785,Present value of annuities payable,5261
201513209349304156,470424785,Refundable loan programs,1480800
201513209349304156,470424785,Deposit on land contract,760000
201503209349316020,116039909,LOANS PAYABLE,675952
201503429349300415,381360586,Fair Value of Interest Rate Swap,5382229
201503429349300415,381360586,Accrued Post Retirement Benefits,7299889
201503429349300415,381360586,Federal Student Loans Payable,16300325
201513459349300336,060646520,LOAN FUNDS REFUNDABLE,936779
201513179349302526,311813143,LEASE DEPOSITS,12815
201513209349302236,591407629,FUTURE INTEREST PAYABLE,213458
201513209349302236,591407629,STUDENT AND FACULTY CREDIT BALANCES,75812
201513209349302236,591407629,CUSTODIAL FUNDS,29334
201523179349307722,390806325,LIABILITIES UNDER SPLIT INTEREST AGREEMENTS,1046115
201523179349307722,390806325,DEFERRED COMPENSATION,740968
201523179349307722,390806325,ASSET RETIREMENT OBLIGATION,2743810
201523179349307722,390806325,U.S. GOVERNMENT GRANTS REFUNDABLE,2470773
201523179349307722,390806325,OTHER LIABILITIES,59086
201513209349310506,352194526,JACKIE YOUNG,1000
201513209349310506,352194526,LONG TERM LIABILITIES,55000
201523179349300947,042104258,Conditional Asset Retirement Obligation,366627
201523179349300947,042104258,Fair Value Interest Rate Swap,4740864
201523179349300947,042104258,Perkins Loan Advances,2627350
201523179349300947,042104258,Annuity Payment Obligations,1159556
201523179349307367,260030436,CONSTRUCTION LOAN,345000
201523179349307367,260030436,LINE OF CREDIT,93877
201523179349307367,260030436,LOANS PAYABLE-OTHER,80000
201503119349300300,954366755,TENANTS DEPOSITS,23252
201503119349300300,954366755,DUE TO CESNA ALUMNI,2112
201503119349300300,954366755,ACCRUED EXPENSE,8062
