object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201503429349300415,381360586,Student Loans Receivable,16389803,C
201513159349300991,570324916,Wells Fargo,27569710,F
201513159349300991,570324916,Charitable Trust,578694,F
201513159349300991,570324916,Annuity Contracts,116073,F
201513159349300991,570324916,Real Estate,84496,C
201513159349300991,570324916,Various Stock,12607,C
201543169349304754,370706154,REAL ESTATE,24462278,F
201523249349300217,660540331,Net Investment Direct Fin Lease,59833403,C
201513169349302691,421351526,BENEFICIARY INTEREST IN MEMORIAL FOUNDATION OF ALLEN HOSPITAL,8539225,F
201620139349300407,560530240,Certificate of Deposit,2105467,F
201620099349300107,620475691,Private equities,3143168,F
201620099349300107,620475691,U.S. equities,28858182,F
201620099349300107,620475691,International equities,12987038,F
201620099349300107,620475691,Fixed income,20852886,F
201620099349300107,620475691,REITS,234923,F
201620099349300107,620475691,Other investments,1869883,F
201630139349300313,510198454,Endowed Funds: Invested @ ACEF,7039524,F
201513459349300301,231424055,STUDENT LOANS RECEIVABLE,1702728,F
201640289349300149,560650621,MUTUTAL FUNDS,713704,F
201640289349300149,560650621,EQUITY SECURITIES,256935,F
201640289349300149,560650621,MONEY MARKET ACCOUNTS,240117,F
201543149349303714,431742297,Annuity,301000,C
201543149349303714,431742297,Money Market,101298,F
201533139349302193,042104451,LAND HELD FOR INVESTMENT - BOARD DESIGNATED FOR ENDOWMENT,17100000,F
201533069349301488,362310478,Student Loan Portfolio,10704060,F
201610419349301386,383001876,Pooled funds,25121139,F
201610419349301386,383001876,Mutual Funds,10538234,F
201610419349301386,383001876,Hedge funds,4109071,F
201610419349301386,383001876,Real Estate,1000000,F
201610419349301386,383001876,Cash and cash equivalents,389081,F
201610419349301386,383001876,Private equity,801496,F
201621319349302532,237421224,SLOVAKIA INVESTMENTS,1111000,C
201631339349304193,390833608,Various Investments,16465284,F
201611279349301616,261999384,Equity in start-up,74067,C
201621049349300802,741400699,REAL ESTATE,24478664,F
201621049349300802,741400699,MINERAL RIGHTS,1293694,F
201631349349303978,264360361,"UCNM SUB-CDE I, LLC",1493,C
201631349349303978,264360361,"UCNM SUB-CDE II, LLC",499,C
201621339349303502,941196211,ARTWORK,9557500,F
201600439349301340,340714629,STUDENT LOANS,3816631,F
201600439349301340,340714629,KCM I,17162233,F
201600439349301340,340714629,KBS,13763374,F
201640409349300824,370711798,FARMLAND,6962075,F
201630609349300643,450306841,STUDENT NOTES RECEIVABLE,1108263,F
201630419349301118,131628149,Deposits with Trustees,71981152,C
201631339349301688,201415351,INVESTMENT IN RISKSENSE,2250000,C
201621349349302572,341695897,Federal agency mortgage backed securites,1531265,F
201621349349302572,341695897,certificate of deposit,60000,F
201631339349301958,560543261,INTERCOMPANY INVESTMENT,1552268,F
201621549349300207,410684657,STUDENT LOANS,7090176,F
201621379349308727,951246140,Student Loans,10182116,C
201621379349306147,480577656,STUDENT LOANS RECEIVABLE,1885605,C
201601349349301610,742599785,BAPTIST FOUNDATION OF TEXAS,3159469,F
201601349349301610,742599785,ARKANSAS BAPTIST FOUNDATION,3160,F
201631349349307243,221508627,CASH & CASH EQUIVALENTS,872532,F
201631349349307243,221508627,MONEY MARKET FUNDS,52947,F
201631349349307243,221508627,CORPORATE STOCKS,8207593,F
201631349349307243,221508627,CORPORATE BONDS,1094096,F
201631349349307243,221508627,MUTUAL FUNDS,19659194,F
201631349349307243,221508627,CLOSED END FUNDS,1173005,F
201631349349307243,221508627,US GOVERNMENT SECURITIES,854671,F
201631349349307243,221508627,LIMITED PARTNERSHIPS,1485772,F
201601379349305425,264028305,DOMESTIC AND INTERNATIONAL STOCKS,2989655,F
201621349349303092,231413680,INVESTMENT IN SUBSIDIARY,39616151,F
201601379349306205,480543734,STUDENT LOANS RECEIVABLE,1990412,C
201611069349300826,942356338,INVESTMENTS IN COMMONS AT FAIR OAKS LLC,2887957,F
201601339349301950,426081293,STUDENT LOANS,10420167,F
201641379349306759,581357177,INVESTMENT IN FOREIGN CAMPUS,39364250,C
201641319349302474,480730814,Student Loan Receivables,3201512,C
201640789349300904,560532296,Art Collection,2659821,F
201621379349303802,620202000,VARIOUS ART COLLECTIONS,15192350,F
201621379349303802,620202000,INVESTMENT IN AFFILIATE,49302663,F
201621829349300967,237133739,Net student loans notes receivable,815164898,C
201632239349301253,850365964,MUSEUM COLLECTIONS,5434959,C
201632239349301253,850365964,CONSTRUCTION IN PROGRESS,260609,C
201632239349301253,850365964,MUSEUM ART PARK,229578,C
