object_id,ein,Dsc,BkVlAmt
201533179349309518,476025325,LIBRARY INVENTORY,301377
201523009349300737,237050293,DUE FROM KIRKWOOD COMMUNITY COLLEGE FOUNDATION,640406
201522879349301422,344429091,CHARITABLE REMAINDER TRUSTS,1776294
201522879349301422,344429091,BOND ORIGINATION COSTS,1102415
201522879349301422,344429091,INTEREST IN PERPETUAL TRUSTS,7963274
201522879349301422,344429091,INTEREST IN REMAINDER TRUSTS,3325163
201522879349301422,344429091,OTHER RECEIVABLES,2286819
201522879349301422,344429091,"CASH, RESTRICTED ASSETS",4373611
201522879349301422,344429091,LAND HELD FOR SALE,99697
201522879349301422,344429091,CASH SURRENDER VALUE,766122
201542889349301604,660496239,CONSTRUCTION IN PROGRESS,5332243
201542889349301604,660496239,ARTWORKS AND SCULPTURE,23215
201542889349301604,660496239,DEPOSITS,4400
201542759349300634,020344073,BENEFICIAL INTEREST IN TRUST,1145126
201542759349300634,020344073,DEFERRED FINANCING COSTS,33623
201542759349300634,020344073,PROPERTY TAXES HELD IN ESCROW,13666
201502819349300415,592961536,CONSTRUCTION IN PROGRESS
201502819349300415,592961536,DEPOSITS,45030
201502819349300415,592961536,LONG TERM PROMISES TO GIVE,276801
201532829349300648,750855633,Beneficial interest,29193577
201502859349300300,760090602,petty cash,250
201503179349300525,201612906,RESTRICTED DEPOSITS AND RESERVES,4834232
201503179349300525,201612906,NET LOAN COSTS,765236
201503179349300525,201612906,DUE FROM LONGWOOD,290737
201503179349300525,201612906,DUE FROM LONGWOOD UNIV FDN
201503209349304355,274188208,SECURITY DEPOSITS,264870
201503209349304355,274188208,DUE TO CKGSB-CHINA,67583
201513209349308791,741339050,DUE FROM UNRESTRICTED FUND,195167
201503209349316020,116039909,MARKETABLE SECURITIES,37
201503209349316020,116039909,UNIVERSAL LIFE POLICIES,557557
201523519349300802,510205293,DEPOSITS,749
201523519349300802,510205293,INTELLECTUAL PROPERTY,820197
201503209349312390,870641318,Rights in Subsidiary,10000
201513209349302236,591407629,OTHER ASSETS,216023
201513209349302236,591407629,NOTE RECEIVABLE,70000
201503119349300300,954366755,DEPOSITS,66
201503139349301900,341726619,Interest in net assets of Foundation,1034571
201533149349302808,161359213,MALPRACTICE CAPITAL CONTRIBUTIONS,73033
201533149349302808,161359213,SECURITY DEPOSITS,33612
201533149349302808,161359213,"ELECTRONIC HEALTHCARE SYSTEM ACCESS, NET",538763
201543159349301319,550357056,INTEREST IN PERPETUAL TRUSTS,10821714
201543159349301319,550357056,DEPOSIT HELD BY TRUSTEE,5715122
201533169349301933,541854399,PREPAYMENT TO VIRGINIA COMMONWEALTH UNIVERSTITY,527358
201533169349301933,541854399,LOAN TO CENTRIEVA,202205
201543169349300044,410696906,Funds held by third-party trustees,12788211
201543169349300044,410696906,Cash value of life insurance,716562
201543169349300044,410696906,Funds on deposit with bond trustee,492596
201543169349300044,410696906,Bond issuance costs - net,491322
201533179349304498,364303682,DEFERRED COMPENSATION PLAN ASSETS,151333
201533039349301233,942992642,TUITION RECEIVABLE,19480930
201533039349301233,942992642,STUDENT LOANS RECEIVABLE,4519101
201533039349301233,942992642,NOTES RECEIVABLE,1465347
201533039349301233,942992642,OTHER RECEIVABLES,1043935
201543179349308294,263031521,DUE FROM RED LAKE BAND OF CHIPPEWA INDIANS,18876
201523249349300217,660540331,RESTRICTED FUND HELD BY TRUSTEE,13821545
201523249349300217,660540331,"BOND ISUANCE COST, NET OF ACCUMULATED DEPRECIATION",1677735
201523249349300217,660540331,OTHER ASSETS,1079779
201523249349300217,660540331,REIMBURSABLE TENENT IMPROVEMENTS RECEIVABLE,1487474
201533099349301888,942881684,DEPOSITS,25000
201523109349300232,840600653,EQUITY IN Y-CROSS RANCH,4421570
201523109349300232,840600653,PROPERTY HELD FOR CSU,4799700
201523109349300232,840600653,LONG-TERM RECEIVABLES,207796
201523109349300232,840600653,DEPOSITS AND DEFERRED COSTS,51681
201523109349300232,840600653,CONSTRUCTION IN PROGRESS - OTHER,236136
201523109349300232,840600653,INVESTMENT IN CSURF AC,1115072
201523109349300232,840600653,"DUE FROM INTO-CSU, LLC",252500
201523109349300232,840600653,RESTRICTED ASSETS,129651
201543209349316059,731679393,SECURITY DEPOSIT,3760
201533419349300518,590624401,BENEFICIAL INTEREST IN TRUST,10699571
201533419349300518,590624401,CASH SURRENDER VALUE OF LIFE INSURANCE,935997
201533419349300518,590624401,"BOND ISSUANCE COSTS, NET",450128
201533419349300518,590624401,OTHER ASSETS,102119
201543209349305519,610444671,Funds Held in Trust by Others,29229458
201543209349305519,610444671,Other Receivables,34609
201533359349301003,381627600,Beneficial Interest in perpetual trust,925924
201513489349300201,560767736,BENEFICIAL INTEREST IN CHARITABLE RE,5745129
201513489349300201,560767736,CASH/EQUIVALENTS RESTRICTED TO INVES,2637454
201513489349300201,560767736,CONSTRUCTION IN PROGRESS,346380
201513489349300201,560767736,LAND HELD FOR RESALE,257000
201513489349300201,560767736,OTHER ASSETS,25297
201543459349301024,460623034,SECURITY DEPOSITS,2170
201533529349300538,750851900,Assets held by External Trustees,3667848
201533529349300538,750851900,Other investments,1147618
201543569349300319,330934393,ACCREDITATION PREPARATIONS,38247
201543569349300319,330934393,LIBRARY BOOKS,19569
201503509349300340,480548361,DEFERRED FINANCING COSTS,79651
201503509349300340,480548361,PREPAID LONG-TERM LEASE,1044760
201503509349300340,480548361,INSURANCE DEPOSITS,562436
201503509349300340,480548361,TRUSTS & LIFE INCOME PLANS,221175
201503509349300340,480548361,BENEFICIAL INTEREST IN ASSETS HELD BY OTHERS,219966
201523169349300212,362167792,Investments in land and buildings,704043
201523169349300212,362167792,Investments other,2618409
201523169349300212,362167792,Other,377410
201523169349300212,362167792,Trust Holdings,169431298
201522879349300147,951916051,Trust and Annuity Assets,1869047
201522879349300147,951916051,Interest Receivable,337686
201522879349300147,951916051,Other Receivable,97263
201523029349300332,462298596,GASB 68,25046
201523029349300332,462298596,SECURITY DEPOSIT,1000
201503209349303390,550788917,FAIR VALUE OF PATENTS,24121
201503209349303780,264468758,CERTIFICATE OF NEED,1560000
201503209349303780,264468758,DEPOSIT,19925
201503209349303780,264468758,DEVELOPMENT COSTS,812590
201513209349307971,470724387,DEFERRED FINANCING COSTS,11332
201513209349307971,470724387,OTHER ASSETS,5031039
201513209349307971,470724387,BENEFICIAL INTEREST IN THE NET ASSETS OF THE FOUNDATION,6381570
201512589349300616,561065978,OTHER ASSETS,630000
201512589349300616,561065978,CASH SURRENDER VALUE OF LIFE INSURANCE,40526
201533159349303253,420686467,ACCRUED INTEREST RECEIVABLE,487355
201533159349303253,420686467,ARTWORK,14206483
201533159349303253,420686467,CASH VALUE OF LIFE INSURANCE,913771
201533159349303253,420686467,"REAL EST, LAND & MNRL RIGHTS",1696002
201533159349303253,420686467,TRUST AGREEMENTS,16655296
201533149349300038,592961536,DEPOSITS,43827
201533149349300038,592961536,LONG TERM PROMISES TO GIVE,289935
201542869349301414,566007078,Endowment Fund,2138893
201542869349301414,566007078,NC Sales Tax and Other Funds,222
201523199349300622,550753754,Interest in Net Asset : CAMC Foundation,3769155
201523199349300622,550753754,Affiliate Receivables,1729031
201523529349300627,381673400,INVESTMENT IN LIMITED LIABILITY COMPANY,981500
201523179349309337,136171197,OTHER ASSETS,10687127
201523179349309337,136171197,DUE FROM NYCH&H CORP.,4968218
201523179349309337,136171197,INSURANCE CLAIMS,145658400
201523179349309337,136171197,DUE FROM MRO,20870703
201600119349300525,620570060,ART COLLECTION,5000
201600119349300525,620570060,Cash Value of Life Insurance,17388
201600119349300525,620570060,Deposits,26000
201600119349300525,620570060,Loan Escrow Deposits,1244440
201600119349300525,620570060,loan Financing Cost,2048463
201600119349300525,620570060,Notes Receivables
201600119349300525,620570060,Real Estate,318592
201600119349300525,620570060,Restricted Deposits & funded Reserves,2470843
201630149349300213,610466713,FUNDS HELD IN TRUST BY OTHERS,4352583
201630149349300213,610466713,CASH SURRENDER VALUE OF LIFE INS.,457841
201630149349300213,610466713,BEQUEST RECEIVABLE,3650669
201630139349300313,510198454,"Capitalized Development Costs - Armonk, NY",6634642
201630139349300638,430653369,DEPOSITS HELD WITH TRUSTEES,25393350
201630139349300638,430653369,DEFERRED BOND ISSUANCE COSTS,1634102
201630139349300638,430653369,BENEFICIAL INTEREST HELD IN TR,115842
201600199349300640,440556862,BENEFICIAL INTEREST IN TRUSTS,159837810
201600199349300640,440556862,LIFE INSURANCE,132097
201503179349304600,743095284,SECURITY DEPOSIT,343087
201503179349304600,743095284,OTHER `,96
201503179349308660,462795989,COURSE CREATION - ONLINE COURSE MATERIAL,539440
201513299349300701,330683684,security deposits,18250
201512859349301031,480543782,STUDENT LOAN FUNDS RECEIVABLE,2497855
