object_id,ein,GrntTxt,RcpntCnt,CshGrntAmt
201533179349305948,620497990,Student Scholarships & Financial Aid,1333,12484976,0
201533179349309518,476025325,SCHOLARSHIPS,28,55243
201503079349301720,381359083,SCHOLARSHIPS AND AWARDS,1355,24691968
201543149349301819,620511454,"ACADEMIC, ATHLETIC, AND PERFORMING ARTS SCHOLARSHIPS",272,1164632
201513099349301401,222325405,EMPLOYEE DISASTER FUND,13,6250,BOOK
201513099349301401,222325405,KOMARMI SCHOLARSHIP,1,500,BOOK
201523209349309137,591092732,FINANCIAL AID/TUITION REMISSION,3490,24421516,COST OF ATTENDANCE,TUITION ASSISTANCE
201523209349309137,591092732,PELL GRANT AWARDS,1140,4397970,"COST OF ATTENDANCE, FINANCIAL NEED, AND ENROLLMENT STATUS"
201543159349300809,560529972,ACADEMIC SCHOLARSHIPS,1347,12830336
201543159349300809,560529972,ATHLETIC SCHOLARSHIPS,406,6605582
201543159349300809,560529972,OTHER SCHOLARSHIPS,911,3635734
201533169349302013,391620530,BC BOARD OF TRUSTEE PRESIDENTIAL SCHP,120,421532
201533169349302013,391620530,BC MERIT SCHOLARSHIP,71,133085
201533169349302013,391620530,BC NEED BASED SCHOLARSHIP,163,200000
201533169349302013,391620530,BOARD CURRENT SCHOLARSHIPS,13,39750
201533169349302013,391620530,CURRENT SCHOLARSHIPS,95,178618
201533169349302013,391620530,BOARD ENDOWED SCHOLARSHIPS,7,17000
201533169349302013,391620530,ENDOWED SCHOLARSHIPS,119,252818
201533169349302013,391620530,NISHIOKA,3,3000
201533169349302013,391620530,GROENDAHL,3,9200
201542599349300814,616002351,Scholarships,122,439001
201542549349300204,350715530,STUDENT FINANCIAL AID,2137,24600107
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,2186,28142592,0,N/A,N/A
201522879349301422,344429091,GRANTS AND ALLOCATIONS,2833,43769104
201542609349300404,362919340,SCHOLARSHIPS,241960
201533009349300718,750917417,Privately Funded Student Scholarships,535,518850
201522969349300432,232215278,REMARQUE CIRCLE SCHOLARSHIP,5,9000
201522969349300432,232215278,SEOG AWARDS,59,11400
201522969349300432,232215278,EMPLOYEE DISCOUNT,30,4828
201522969349300432,232215278,UPS SCHOLARSHIP,2,2400
201522969349300432,232215278,PORTFOLIO PREP DISCOUNT,16,1510
201522969349300432,232215278,TEACHER DISCOUNT,4,455
201522969349300432,232215278,YOUTH DISCOUNT,63,5955
201522969349300432,232215278,PCAD SCHOLARSHIP,56,73200
201522969349300432,232215278,BROSSMAN SCHOLARSHIPS AWARDED,26,14508
201522969349300432,232215278,MISCELLANEOUS CE DISCOUNT,3,260
201522969349300432,232215278,SCHOLARSHIPS- BFA DISCOUNT FOR CE,6,2515
201522969349300432,232215278,CORPORATE SCHOLARSHIPS AWARDED,3,3000
201522969349300432,232215278,SWAIN MEMORIAL SCHOLARSHIP AWARDED,1,1000
201522969349300432,232215278,FREEMAN SCHOLARSHIP AWARDED,1,1500
201522969349300432,232215278,PFALTZGRAFF ( YORK CO.) SCHOLARSHIP AWARDED,2,2100
201522969349300432,232215278,CE RESTRICTED SCHOLARSHIP,7,15000
201522969349300432,232215278,PRESIDENTIAL SCHOLARSHIP,79,95750
201512809349300101,742128239,Student Scholarships,26,53308
201512809349300101,742128239,Tuition Assistance,229,44900,Tuition reduction
201542789349300519,620535755,"CASH SCHOLARSHIPS FOR STUDENTS ATTENDING THE MILLIGAN COLLEGE CAMPUS IN CARTER COUNTY, TENNESSEE, U.S.",808,11212854,0,N/A,N/A
201542759349300634,020344073,SCHOLARSHIPS,98,1152054
201532829349300648,750855633,Scholarships,872,9042991
201503179349307680,620476661,FINANCIAL-AID SCHOLARSHIP,925,9582452
201522829349300632,381443369,Scholarships,1504,14490084
201503209349304230,221487322,EDUCATIONAL SCHOLARSHIPS,54,70225
201513519349300001,560554199,INSTITUTIONAL SCHOLARSHIPS,1460,14467506,FMV
201513519349300001,560554199,FEDERAL GRANTS,65,155779,FMV
201502869349300700,710236867,STUDENT FINANCIAL AID,534,365103,9684472,N/A,TUITION & FEES
201503279349300010,941339635,"SCHOLARSHIPS $0 TO $5,000",265,586753
201503279349300010,941339635,"SCHOLARSHIPS $5,001 TO $10,000",401,3189180
201503279349300010,941339635,"SCHOLARSHIPS $10,001 TO $15,000",196,2386763
201503279349300010,941339635,"SCHOLARSHIPS $15,001 TO $20,000",46,786361
201503279349300010,941339635,"SCHOLARSHIPS $20,001 TO $25,575",28,676675
201503499349300910,237410494,TUITION ASSISTANCE,51,104246,BOOK,REDUCE TUITION
201503429349300415,381360586,Federal SEOG,1109,1558724
201503429349300415,381360586,MI Tuition Grant,1310,1672644
201503429349300415,381360586,UDM Expendable Scholarships,336,1024310
201503429349300415,381360586,UDM Endowed Scholarships,249,1022328
201503429349300415,381360586,Other MI Grants,377,584374
201503429349300415,381360586,Other Federal Grants,67,475179
201503429349300415,381360586,UDM Departmental Grants,29,182240
201513459349300336,060646520,STUDENT FINANCIAL AID,1755,0,9871425,FAIR MARKET VALUE,REDUCTION OF TUITION COST CHARGED TO STUDENTS
201503419349300410,204984268,FOR VISUAL ARTS EDUCATION,31,213863
201513209349302031,560554230,EDUCATIONAL SCHOLARSHIPS,10,30000
201513209349302031,560554230,EMPLOYEE EMERGENCY ASSISTANCE,106,29148
201513209349302031,560554230,PHARMACY ASSISTANCE,2,116
201513179349300141,231352001,STUDENT AID- EMERGENCY ASSISTANCE,3,7000,FMV,N/A
201513179349300141,231352001,STUDENT FELLOWSHIP AWARDS,28,241100,FMV,N/A
