object_id,ein,RcpntBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,RcpntTbl_RcpntEIN,RcpntTbl_IRCSctnDsc,RcpntTbl_CshGrntAmt,RcpntTbl_PrpsOfGrntTxt
201543109349300934,952672750,LIUNA TRAINING AND EDUCATION FUND,37 DEERFIELD RD,POMFRET CENTER,CT,06259,237042734,386564,N/A,N/A,TRAINING LAB NEW SKILLS
201522879349301422,344429091,ADA-LIBERTY JOINT AMBULANCE DISTRICT,530 N GILBERT ST,ADA,OH,45810,346720624,118644,OPERATIONAL SUPPORT
201522879349301422,344429091,VILLAGE OF ADA,115 W BUCKEYE AVE,ADA,OH,45810,346400003,35302,INFRASTURCTURE SUPPORT
201522879349301422,344429091,LIBERTY TOWNSHIP TRUSTEES,110 E BUCKEYE AVE,ADA,OH,45810,346400772,83897,OPERATIONAL SUPPORT
201502889349300330,230868160,FAMILY SERVICES INC,2700 8TH AVE,ALTOONA,PA,16602,231533374,501C3,50000,OPERATIONS.
201502889349300330,230868160,THE COMMUNITY AT HOLY FAMILY MANOR INC,301 BELLEVUE ROAD,PITTSBURGH,PA,15229,841658772,501C3,260000,TUITION/FINANCIAL/FINANCING ASSISTANCE. STAFF HOUSING ASSISTANCE/EDUCATION PROGRAMS. PLAYGROUND UPGRADES.
201502889349300330,230868160,HOLY FAMILY INSTITUTE,8235 OHIO RIVER BLVD,PITTSBURGH,PA,15202,250984606,501C3,71400,PARENT-CHILD PROGRAM FUNDING.
201502889349300330,230868160,NAZARETH ACADEMY GRADE SCHOOL,4701 GRANT AVE,PHILADELPHIA,PA,19114,752322450,501C3,30000,TUITION ASSISTANCE.
201502889349300330,230868160,SISTERS PLACE,418 MITCHELL AVENUE,CLAIRTON,PA,15025,251728330,501C3,30000,FAMILY EDUCATION PROGRAMS.
201502889349300330,230868160,ST LEONARDS HOME,601 MONTGOMERY ST,HOLLIDAYSBURG,PA,16648,251460742,501C3,91800,EMPLOYEE HEALTH INSURANCE AND ASSISTANCE TO LOW INCOME RESIDENTS.
201502889349300330,230868160,NAZARETH ACADEMY HIGH SCHOOL,4001 GRANT AVENUE,PHILADELPHIA,PA,19114,231908022,501C3,60000,TUITION ASSISTANCE.
201502889349300330,230868160,HOLY FAMILY UNIVERSITY,9801 FRANKFORD AVENUE,PHILADELPHIA,PA,19114,231501197,501C3,50000,TUITION ASSISTANCE.
201502889349300330,230868160,CATHOLIC CHARITIES INC OF ALTOONA-JOHNSTOWN,1300 12TH AVENUE PO BOX 1349,ALTOONA,PA,16603,530196617,501C3,10000,EMERGENCY FINANCIAL ASSISTANCE PROGRAM.
201502589349300015,390813418,MAYO CLINIC HEALTH SYSTEM - OAKRIDGE INC,13025 8TH STREET,OSSEO,WI,54758,391029430,501(C)(3),5500000,HEALTH CARE
201502589349300015,390813418,MAYO CLINIC HEALTH SYSTEM - EAU CLAIRE FOUNDATION INC,733 W CLAIREMONT AVENUE,EAU CLIARE,WI,54702,391633407,501(C)(3),100000,0,COMMUNITY SUPPORT
201522589349301212,237385525,OCM Online Inc,225 Heritage Woods Parkway,Akron,OH,44321,424866564,Shared income
201503209349304230,221487322,SISTERS OF ST JOSEPH OF PEACE,399 HUDSON TERRACE,ENGLEWOOD CLIFFS,NJ,07632,223412084,501(C)(3),10000,PROGRAM SUPPORT
201532889349301438,226830873,TOMCHEI SHABBOS DLAKEWOOD INC FAMILY FOOD RELIEF OF NEW JERSEY,212 2ND ST STE 403,LAKEWOOD,NJ,08701,5150,TO HELP FOOD PANTRY WITH COSTS RELATING TO HOLIDAY FOOD PURCHASES
201503209349302675,420680452,AMERICAN CANCER SOCIETY,8364 HICKMAN RD STE D,DES MOINES,IA,50325,131788491,501(C)(3),5500,EVENT SPONSOR
201503209349302675,420680452,AMERICAN HEART ASSOCIATION,1111 NINTH ST STE 280,DES MOINES,IA,50314,135613797,501(C)(3),11500,EVENT SPONSOR
201503209349302675,420680452,ANKENY COMMUNITY FOUNDATION,410 WEST FIRST ST,ANKENY,IA,50023,203850596,501(C)(3),8333,CAPITAL BUILDING CAMPAIGN
201503209349302675,420680452,BLANK PARK ZOO,7401 SW 9TH ST,DES MOINES,IA,50315,421171821,501(C)(3),19667,CAPITAL BUILDING CAMPAIGN
201503209349302675,420680452,BRAVO GREATER DES MOINES,1915 GRAND AVE,DES MOINES,IA,50309,203598346,501(C)(3),5000,EVENT SPONSOR
201503209349302675,420680452,BRENTON SKATING PLAZA,520 ROBERT D RAY DR,DES MOINES,IA,50309,541958812,501(C)(3),10000,EVENT SPONSOR
