object_id,ein,OrgnztnBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,FndrsrActvtyInf_ActvtyTxt,FndrsrActvtyInf_FndrsrCntrlOfFndsInd,FndrsrActvtyInf_GrssRcptsAmt,FndrsrActvtyInf_RtndByCntrctrAmt,FndrsrActvtyInf_NtTOrgnztnAmt
201612449349300791,750891465,KSBJ Radio Education Foundation,1722,Treble Dr,Humble,TX,77338,KJCR Sharathon,0,214239,10044,204195
201602459349300930,350715530,WILSON BENNETT TECHNOLOGY,PHONATHON,false,154804,46691,108113
201613029349301206,750827409,RUFFALO CODY,221 3RD AVE SE,PO BOX 3018,CEDAR RAPIDS,IA,524063018,FDNRAISER,false,65217,-65217
201622729349300122,561065978,FINANCIAL PLANNING MINISTRY,2010 MAIN STREET,IRVINE,CA,926147265,"A PROGRAM TO ASSIST IN ""PLANNED GIVING"" BY SETTING UP AN EST",0,0,35040,0
201622819349300402,381443369,Parrish Consulting,401 Hall St SW Ste 309,Grand Rapids,MI,49503,consulting,false,12320
201622819349300402,381443369,Kennari Consulting,401 Hall St SW Ste 309,Grand Rapids,MI,49503,consulting,false,3000
201613149349302221,420680408,The Stelter Company,10435 New York Ave,Des Moines,IA,50322,Planned giving website and newsletter,0,0,21262,-21262
201623099349301137,540129860,THE VIRGINIA COLLEGE FUND,4900 AUGUSTA AVE,RICHMOND,VA,23230,SOLICITS FOR FINANCIAL SUPPORT,0,153180,74111,79069
201603099349300500,362167792,Pursuant Group,PO Box 203421,Plano,TX,75320,Direct mail,false,11262065,458008,10804057
201603099349300500,362167792,Messenger Media,869 Schaumburg,Schaumburg,IL,60194,Consulting,false,672521,207216,465305
201603099349300500,362167792,Roger Kemp & Co,31255 Cedar Val,Westlake V,CA,91362,Consulting,false,100500
201603099349300500,362167792,Five Q,PO Box 346,Atlantic,IA,50022,Consulting,false,89219
201603099349300500,362167792,Advocace,702 S Denton Tap Road,Coppell,TX,75019,Consultant,false,80100
201603099349300500,362167792,Timothy Group,1663 Sutherland,Grandrapid,MI,49508,Consulting,false,1296252,60000,1236252
201633129349300918,150532053,MELTZER-BASCH PRODUCTIONS,395 SOUTH END AVENUE SUITE 14F,NEW YORK,NY,10280,FUNDRAISING CONSULTING,0,696575,63725,632850
201632999349301133,750827409,RUFFALO CODY,RUFFALO CODY,221 3RD AVE SE,PO BOX 3018,CEDAR RAPIDS,IA,524063018,FDNRAISER,false,55405,-55405
201633079349301433,410694721,ARIA COMMUNICATIONS CORPORATION,717 W SAINT GERMAIN ST,SAINT CLOUD,MN,56301,TELEMARKETING,0,0,19097,0
201633129349301458,420730347,RUFFALO NOEL LEVITZ LLC,1025 KIRKWOOD PARKWAY SW PO BOX 301,CEDAR RAPIDS,IA,52404,TELE-FUNDRAISING,0,152454,43403,109051
201633129349301458,420730347,JEROLD PANAS LINZY & PARTNERS INC,500 NORTH MICHIGAN AVE,CHICAGO,IL,60611,FEASIBILITY AND DEVELOPMENTAL ANALYSIS,0,0,104558,-104558
201633149349300528,350885591,JOHNSON GROSSNICKLE ASSOCIATES,29 S PARK BLVD,GREENWOOD,IN,46143,FEASBILITY STUDY,false,78115
201623199349302557,042104451,DEVELOPMENT GUILD,233 HARVARD STREET SUITE 107,BROOKLINE,MA,02446,CONSULTING,0,522000,123433,398567
201603149349303245,260833212,AMERICAN PHILANTHROPIC LLC,18 N CHURCH STREET,STE 2,WESTCHESTER,PA,19380,false,20000,-20000
201623209349305232,980148939,Unlimited Philanthropy,1209 G Street NE,Washington DC,DC,20020,Consultant,false,140105,-140105
201623209349305232,980148939,Fenwick Wesson,67 Egley Road,Woking,Surrey,UK,GU22 0AY,Consultant,false,71696,-71696
201613209349309286,160743900,Ruffalo Noel Levitz,1025 Kirkwood Parkway SW,Cedar Rapids,IA,52404,Ruffalo Noel Levitz provides Phonathon services for the University to secure pledges and donations to support the operational activities of the University,0,317962,87500,230462
201613209349304336,231352008,Harris Connect,1511 Rt 22 - Suite C-25,Brewster,NY,10509,Phone solicitation,0,84659,114310,-29651
201613209349304336,231352008,Schultz & Williams Inc,5 Chestnut St Suite 700,Philadelphia,PA,191062422,Campaign consulting,0,0,7400,-7400
201633209349304203,620497990,Kent Dove,2910 E Olcott Blvd,Bloomington,IN,47401,Consulting,0,0,32000,-32000
201643199349310374,350868181,Langley Innovations,10958 Bloomingdale Dr,Rockville,MD,20852,Consulting,0,0,14580,-14580
201643519349300229,540575812,The Virginia College Fund,4900 August Ave,Richmond,VA,23230,The Virginia College Fund solicits contributions from Virginia businesses and individuals on behalf of five private colleges in Virginia.,1,145267,79009,66258
201613499349300521,530196583,RUFFALO NOEL LEVITZ LLC,1025 KIRKWOOD PARKWAY SW,CEDAR RAPIDS,IA,52404,PHONE PROGRAM,0,206090,193142,12948
201613499349300521,530196583,TELECOMP INC,3375 BRIGHTON HENRIETTA TL RD,ROCHESTER,NY,14623,PHONE PROGRAM,0,26886,11200,15686
201613499349300521,530196583,THE STELTER COMPANY,10435 NEW YORK AVE,DES MOINES,IA,50322,PLANNED GIVING NEWSLETTER,0,0,16534,-16534
