object_id,ein,Dsc,Amt
201703189349300425,742841146,BONDS PAYABLE,2770000
201703189349300425,742841146,2013 BONDS PAYABLE,2600000
201703179349306700,133459531,SECURITY DEPOSITS PAYABLE,8803
201703179349308695,203695075,Federal income taxes
201713199349318906,113811029,ACCRUED WAGES,7351
201713199349318906,113811029,PAYROLL TAX PAYABLE,-4122
201713469349300626,166031585,U.S. Government Loans Refundable,198359
201723419349300107,237373765,ACCRUED COMPENSATION AND VACATION,321787
201723419349300107,237373765,ACCRUED RETIREMENT,195030
201723419349300107,237373765,DUE TO STUDEN ACTIVITY,38
201703479349300920,910615846,GOVERNMENTAL STUDENT LOAN PROGRAMS,531788
201703479349300920,910615846,STUDENT DEPOSITS,612229
201703479349300920,910615846,SPLIT INTEREST AGREEMENT OBLIGATIONS,197827
201703479349300920,910615846,ASSET RETIREMENT OBLIGATIONS,154726
201703479349300920,910615846,INTEREST RATE SWAP AGREEMENT LIABILITY,2392070
201733189349312348,731338134,SALES TAXES PAYABLE
201703429349300225,750800653,Reserve for split-interest liability,61576
201703429349300225,750800653,Funds held for loan programs,964527
201703429349300225,750800653,Capital lease payable,962191
201713469349300631,943204136,Annuity Reserves,126826
201713179349308221,861160864,INVESTMENT-OSU,8257000
201713179349308221,861160864,INVESTMENT-OSU RESEARCH FOUNDATION,5900000
201713179349308221,861160864,N/P-BANCFIRST,94139
201713179349308221,861160864,N/P-OSU RESARCH FOUND. (FORMERLY CIED),7000000
201713179349308221,861160864,Rounding,2
201713179349308221,861160864,WAGES PAYABLE,249730
201713489349300116,390806263,Asset Retirement Obligation,3153983
201713489349300116,390806263,Annuities Payable,330544
201713189349309806,161359213,"DUE TO UB ASSOCIATES, INC.",590917
201713189349309806,161359213,CAO'S FUND PAYABLE,52642
201713199349308161,270005794,51797
201713199349308161,270005794,9838
201713199349318281,463116226,Rounding,1
201703179349301545,810231774,STUDENT DEPOSITS,52403
201703179349301545,810231774,ANNUITIES PAYABLE,819372
201703179349301545,810231774,OTHER LIABILITIES,32779
201703179349301545,810231774,FAIR VALUE OF SWAP CONTRACT,2088050
201703179349306835,861120719,CREDIT CARDS PAYABLE,68148
201703179349306835,861120719,CREDIT LINE,4800
201703179349306835,861120719,SCHOLARSHIPS PAYABLE,76987
201703429349300000,010802914,Funds Held for Others,122635
201703429349300000,010802914,Related Party Payables,131406
201703189349308560,581418202,OTHER LIABILITIES,123396
201713189349306656,980148939,EMPLOYEE ENTITLEMENTS,66471079
201713189349306656,980148939,LOAN FROM UNISERVICES,44595200
201713199349303801,160743900,Asset Retirement Obligation,2433837
201713199349303801,160743900,Postretirement Benefit Obligation,26007035
201713199349303801,160743900,Annuities Payable,922065
201713199349303801,160743900,US Government Refundable Grants,2869148
201743249349300234,954469618,Federal income taxes
201743249349300234,954469618,Security Deposit,6264
201743189349312639,231352008,Accrued pension costs,2752779
201743189349312639,231352008,Annuity obligations,71997
201743189349312639,231352008,Capital lease obligation,147649
201743179349306289,230973290,STUDENT DEPOSITS,143337
201743179349306289,230973290,ANNUITIES PAYABLE,1168249
201743179349306289,230973290,ACCRUED PENSION PLAN,353493
201733149349303423,042104451,ADVANCES FOR FEDERAL STUDENT LOANS,2364400
201733149349303423,042104451,ANNUITY PAYMENT LIABILITY,191158
201733149349303423,042104451,DEPOSITS HELD FOR OTHERS,164952
201733149349303423,042104451,DEPOSITS & OTHER LONG TERM PAYABLES,824690
201733189349306558,231937954,ANNUITIES PAYABLE,310343
201733189349306558,231937954,STUDENT SECURITY DEPOSITS,56135
201743259349300804,370661231,GOVERNMENT ADVANCES-STUDENT LOANS,541251
201713199349300126,550753754,"Affiliate Payable-CAMC, Inc.",384581
201743189349307114,370661491,PERKINS LOAN PROGRAM,65433
201743189349307114,370661491,CAPITAL LEASES PAYABLE,146977
201743189349307114,370661491,SPLIT INTEREST AGREEMENTS,258769
201743189349307114,370661491,DEPOSITS HELD IN CUSTODY FOR OTHERS,93940
201703149349304050,203185510,CREDIT CARD-COMMERCE BANK,18744
201743209349301324,237075717,TUITION & ROOM DEPOSITS,1550110
201743209349301324,237075717,PENSION BENEFITS,2594269
201743209349301324,237075717,ACCRUED EXPENSES,894091
201713179349305811,250965603,STUDENT DEPOSITS,518029
201713179349305811,250965603,UNEMPLOYMENT COMPENSATION RESERVE,32995
201713179349305811,250965603,SCHOLARSHIP LIABILITY,6785
201713179349305811,250965603,AGENCY FUNDS,595615
201713179349305811,250965603,ESCHEAT LIABILITY,1971
201713179349305811,250965603,ANNUITIES PAYABLE,403136
201733149349301638,470394397,Deferred giving payable,516842
201733149349301638,470394397,Deposits held for others,28019
201733149349301638,470394397,Accrued expenses,157160
201733149349301638,470394397,Charitable gift annuities payable,189245
201733149349301638,470394397,Trust obligations,150512
201703189349308925,480543728,OPERATING LOC,3550000
201703189349308925,480543728,OTHER LONG TERM PAYABLES,1699889
201703189349308925,480543728,US GOVT LOAN FUNDS REFUNDABLE,771675
201703189349308925,480543728,SPLIT-INTEREST AGREEMENTS,138307
201703189349308925,480543728,STUDENT DEPOSITS,45817
201733149349303603,410698301,ASSET RETIREMENT OBLIGATION,1058144
201733149349303603,410698301,DEPOSIT ACCOUNTS,683909
