object_id,ein,LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,LqdtnOfAsstsDtl_DstrbtnDt,LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt,LqdtnOfAsstsDtl_MthdOfFMVDtrmntnTxt,LqdtnOfAsstsDtl_EIN,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,LqdtnOfAsstsDtl_IRCSctnTxt
202043159349300509,541744931,MEMORIAL REGIONAL MEDICAL CENTER 2019 NET ASSETS,2019-12-31,211567760,GAAP,521988421,BS RICHMOND HEALTH SYSTEM,8580 Megallan Parkway Building IV,RICHMOND,VA,23227,501(C)(3)
202013159349300611,540793767,Bon Secours - St. Mary's Hospital of Richmond 2019 Net Assets,2019-12-31,797630247,GAAP,521988421,BS - Richmond Health System Inc,8580 Megallan Parkway Building IV,Richmond,VA,23227,501(c)(3)
202011979349300726,042452884,"THE COLLEGE SOLD ITS EQUIPMENT AND FIXTURES WITH A NBV OF $1,501,618 TO THE PUBLIC FOR $230,898.",2019-06-30,230898,PROCEEDS RECEIVED FOR DISPOSAL OF EQUIPMENT AND FIXTURES,VARIOUS - VARIOUS ADDRESSES,1309 BEACON STREET,BROOKLINE,MA,02446
202043189349313639,042103852,ACCOUNTS RECEIVABLE,2020-01-01,812317,BOOK,043561265,WHIDDEN MEMORIAL HOSPITAL INC,COMMERCE PLACE 350 MAIN ST,MALDEN,MA,02148,501(C)(3)
202043189349313639,042103852,CURRENT ASSETS,2020-01-01,9012,BOOK,043561265,WHIDDEN MEMORIAL HOSPITAL INC,COMMERCE PLACE 350 MAIN ST,MALDEN,MA,02148,501(C)(3)
202043189349313639,042103852,INVENTORY,2020-01-01,174406,BOOK,043561265,WHIDDEN MEMORIAL HOSPITAL INC,COMMERCE PLACE 350 MAIN ST,MALDEN,MA,02148,501(C)(3)
202043189349313639,042103852,PP&E,2020-01-01,13897498,BOOK,043561265,WHIDDEN MEMORIAL HOSPITAL INC,COMMERCE PLACE 350 MAIN ST,MALDEN,MA,02148,501(C)(3)
202043189349313639,042103852,OTHER ASSETS,2020-01-01,19687431,BOOK,043561265,WHIDDEN MEMORIAL HOSPITAL INC,COMMERCE PLACE 350 MAIN ST,MALDEN,MA,02148,501(C)(3)
202101059349301665,370661217,VARIOUS REMAINING ASSETS DISTRIBUTED IN TERMINATION,2020-05-31,2955869,CASH
202012559349300536,841123408,CASH,2019-12-23,91425,FAIR MARKET VALUE OF CASH BEFORE DISTRIBUTION.,421354468,THE OKINAGA FOUNDATION,446 N WOODLAND ST,ENGLEWOOD,NJ,07631,501(C)(3)
202043189349306569,141338457,"CASH, RECEIVABLES, INVENTORY, BUILDING, EQUIPMENT, AND OTHER ASSETS",2020-01-01,47783042,BOOK VALUE,141338544,SAMARITAN HOSPITAL,2215 BURDETT AVENUE,TROY,NY,12180,501(C)(3)
202100859349301535,510174094,All via merger,2020-12-31,7107837,GAAP,620485733,Lipscomb University,One University Park Dr,Nashville,TN,37204,501(c)(3)
