object_id,ein,SttsWhrGmngCndctdCd
201940089349301129,596046500,FL
201900999349300535,370661494,IL
201920919349300307,340714687,OH
201940929349300744,410695524,MN
201813189349307481,390806297,WI
201911359349307736,381359081,MI
201941359349311639,810235407,MT
201901339349301010,820200906,ID
201901339349303275,362167725,IL
201901339349301405,391024723,WI
201941309349300034,210634584,NJ
201901339349306670,381366958,MI
201901349349309485,390806261,WI
201901359349312125,050258810,RI
201921369349300622,381624684,MI
201901349349308535,460224600,SD
201911029349301101,160743150,NY
201900639349300955,350868074,IN
201921269349300402,030179403,VT
201931059349300018,420680412,IA
201901349349302185,430654876,MO
201901349349303950,941156599,CA
201921339349304827,060662150,CT
201930819349300708,381358014,MI
201901349349307895,610444780,KY
201911349349302481,231352665,PA
201911349349307931,141442493,NY
201931339349302858,111797182,NY
201921359349306222,310537516,OH
201941349349303899,210634981,NJ
201941429349302104,951860996,CA
201911339349304226,350868188,IN
201912269349301721,237275328,WA
201941909349301159,111630906,NY
201941359349305744,720423889,LA
201911339349303986,042121659,MA
201921359349301397,530196603,DC
201921359349301397,530196603,VA
201931349349302203,420707120,IA
201903039349300620,410698301,MN
201901419349301225,381374230,MI
201921369349300117,516000297,DE
