object_id,ein,FrmAndLnRfrncDsc
201933369349300903,561388743,"SCHEDULE E, PART I, LINE 3",THE NONDISCRIMINATORY POLICY IS PUBLISHED ANNUALLY IN THE COLLEGE CATALOG. THE COLLEGE CATALOG IS AVAILABLE AT THE COLLEGE IN HARD COPY AND ON THE WEBSITE.
201903579349300855,141463151,"SCHEDULE E, PART I, LINE 3",THE POLICY IS PUBLICIZED ON THE INTERNET AND IN THE PRINTED CATALOGUE.
201903579349300855,141463151,"SCHEDULE E, PART I, LINE 6","THE SCHOOL RECEIVES FEDERAL STUDENT AID IN THE FORM OF GOVERNMENT DIRECT STUDENT LOANS, SEOG GRANTS, FEDERAL WORK STUDY, PELL GRANTS, NYS NURSING GRANTS, LIBRARY GRANTS, AND TUITION ASSISTANCE PROGRAMS."
201933199349313523,953797687,"SCHEDULE E, PART I, LINE 3","THE INSTITUTE'S BROCHURES AND APPLICATIONS ALL INCLUDE STATEMENTS OF ITS NONDISCRIMINATION POLICY. THE INSTITUTE CUSTOMARILY DRAWS A SUBSTANTIAL PERCENTAGE OF ITS STUDENTS NATIONWIDE OR WORLDWIDE AND FOLLOWS A NONDISCRIMINATION POLICY. ACCORDINGLY, THE NEWSPAPER OR BROADCAST PUBLICATION REQUIREMENT IS SATISFIED BY ADHERENCE TO REV. PROC. 75-50, SECTION 4.02."
201933199349313523,953797687,"SCHEDULE E, PART I, LINE 6","GIA IS ACCREDITED BY ACCSC, WHICH IS RECOGNIZED BY THE US DEPARTMENT OF EDUCATION. GIA PARTICIPATES IN TITLE IV PROGRAMS. GIA ALSO ACCEPTS VETERAN'S BENEFITS FOR PROGRAMS THAT QUALIFY."
201912889349300246,344429091,"SCHEDULE E, PART I, LINE 3",OHIO NORTHERN UNIVERSITY POSTS ITS RACIALLY NONDISCRIMINATORY POLICY ON ITS WEBSITE AND MARKETING MATERIALS.
201912889349300246,344429091,"SCHEDULE E, PART I, LINE 6A","OHIO NORTHERN UNIVERSITY RECEIVES GOVERNMENTAL ASSISTANCE SUCH AS PELL, FSEOG AND FEDERAL WORK-STUDY GRANTS AND STAFFORD, PERKINS, HEALTH PROFESSIONS, AND NURSING STUDENT LOANS."
201912849349301106,750891464,"Schedule E, Part I, Line 3",The school's bulletin publicizes its racially nondiscriminatory policy
201912849349301461,480543782,"SCHEDULE E, PART I, LINE 3",A NONDISCRIMINATION POLICY IS DISCLOSED IN STUDENT MAGAZINES IN ADDITION TO DISCLOSURES AS DESCRIBED IN #2 ABOVE.
201912849349301461,480543782,"SCHEDULE E, PART I, LINE 6",THE SCHOOL RECEIVES FEDERAL FINANCIAL AID FROM THE US DEPARTMENT OF EDUCATION.
201943529349300639,620481463,"SCHEDULE E, PART I, LINE 3","WE DO NOT SERVE A LOCALIZED COMMUNITY, BUT A DENOMINATIONAL CONSTITUENCY. WHILE WE HAVE, ON OCCASION, ADVERTISED OUR RACIALLY NON-DISCRIMINATORY POLICY IN LOCAL NEWSPAPERS, WE HAVE NOT DONE THIS ANNUALLY. OUR CATALOG, WHICH IS THE BASIS FOR COMMUNICATING SCHOOL POLICIES TO OUR TRUE CONSTITUENCY OF PROSPECTIVE STUDENTS IN THE DENOMINATION (AND ALL OTHERS WHO INQUIRE), ALWAYS CONTAINS NOTICE OF THE NON-DISCRIMINATORY POLICY."
201943529349300639,620481463,"SCHEDULE E, PART I, LINE 6","THE COLLEGE RECEIVES FINANCIAL AID FOR STUDENTS IN THE FORM OF PELL GRANTS, SUPPLEMENTAL OPPORTUNITY GRANTS, FEDERAL WORK STUDY, AND FEDERAL FAMILY EDUCATIONAL LOANS. THESE ARE AWARDED TO STUDENTS BASED ON FEDERAL ELIGIBILITY REQUIREMENTS."
201913439349300841,620548913,"SCHEDULE E, PART I, LINE 3",THE ORGANIZATION'S NONDISCRIMINATORY POLICY IS PUBLISHED IN THE EMPLOYEE AND STUDENT HANDBOOKS.
201913439349300841,620548913,"SCHEDULE E, PART I, LINE 6",THE DEPARTMENT OF EDUCATION PROVIDES FUNDS ALONG WITH THE COLLEGE WHICH ARE USED TO MAKE LOANS TO ELIGIBLE STUDENTS AT LOW INTEREST RATES.
201913519349300816,750827421,Governmental Agency Financial Aid (Questions 6a and 6b),The Seminary only participates in the Federal Direct Student Loan Program and provides administrative support.
201913519349300816,750827421,Description of nondiscriminatory policy (Question 3),"The Seminarys racially nondiscriminatory policy is included in its catalog and other publications, which are accessible on its public website."
202030989349301708,391353508,"SCHEDULE E, PART I, LINE 3",THE UNIVERSITY HAS A NONDISCRIMINATION POLICY. A COPY IS AVAILABLE UPON REQUEST.
202030989349301708,391353508,"SCHEDULE E, PART I, LINE 6",THE UNIVERSITY RECEIVES STATE AND FEDERAL ASSISTANCE INCLUDING FINANCIAL AID THAT IS USED TO FURTHER THE EXEMPT PURPOSE OF THE UNIVERSITY.
201932839349301028,616002351,"Schedule E, Part I, Line 6","The college receives Federal funds through the PELL, SEOG, and Federal Workstudy programs."
202041979349305184,042103542,"Schedule E, Part I, Line 3","The following statement is in (1) the College's annual catalog, (2) admission application, (3) yearly admission report sent to all secondary schools, (4) the brochure ""This is Amherst"" describing the College to all interested parties and (5) Amherst's website www.amherst.edu: Amherst College does not discriminate in its admission or employment policies and practices on the basis of factors such as race, genetics, gender identity or gender expression, sex, sexual orientation, age, color, religion, national origin, disability, or veteran status."
202041979349305184,042103542,"Schedule E, Part I, Line 6a","The Trustees of Amherst College receives federal grants for research, etc. and is a pass through entity for certain federal and state financial aid."
202041979349307414,951664112,DISCLOSURE FOR SOLICITATION,"FORM 990, SCHEDULE E, LINE 3 ALL BROCHURES AND CATALOGS SENT TO THE GENERAL PUBLIC CONTAIN THE COLLEGE'S NONDISCRIMINATORY POLICY. THESE BROCHURES AND CATALOGS ARE AVAILABLE ON CAMPUS FOR INSPECTION."
202041979349307414,951664112,DISCLOSURE FOR GRANTS RECEIVED FROM GOVERNMENT AGENCIES,"FORM 990, SCHEDULE E, PART I, LINE 6A POMONA COLLEGE IS AWARDED GRANTS FROM GOVERNMENT AGENCIES, SUCH AS THE DEPARTMENT OF EDUCATION, AND THE CALIFORNIA STUDENT AID COMMISSION, TO PROVIDE FINANCIAL AID TO STUDENTS."
