object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201713469349300626,166031585,Hallmark Management Services,521 Harmon Avenue,Columbus,OH,43223,Food Service,781544
201713469349300626,166031585,Bieler Janitorial Services,3592 N Buffalo Road,Orchard Park,NY,14127,Maintenance services,148399
201713469349300626,166031585,Niagara Scenic Tours,5175 Southwestern Blvd,Hamburg,NY,14075,Transportation,113121
201713469349300626,166031585,BHNT Architects,2495 Main St,Suite 434,Buffalo,NY,14214,Architectural,105095
201703479349300920,910615846,SIGNIFICANT SYSTEMS,916 N 3RD ST STE 101,HARRISBURG,PA,17102,ON-LINE LEARNING,1647582
201703479349300920,910615846,PIONEER COLLEGE CATERERS,303 GLENROSE AVE,NASHVILLE,TN,37210,STUDENT FOOD SERVICES,1373237
201703479349300920,910615846,NATIONAL MANAGEMENT RESOURCES,PO BOX 1224,LAGRANGE,GA,30241,FACILITY AND LANDSCAPE MAINTENANCE,1328108
201703479349300920,910615846,BOELTER,PO BOX 8741,CAROL STREAM,IL,60197,EQUIPMENT,241172
201703479349300920,910615846,SYNERGY CAMPUS SECURITY,PO BOX 1224,LAGRANGE,GA,30241,SECURITY PATROL,191516
201703429349300225,750800653,Sodexo Inc & Affiliates,PO Box 538922,Atlanta,GA,30353,Food service,1342275
201703429349300225,750800653,Guidestone Financial Services,2401 Cedar Springs Rd,Dallas,TX,75201,Investment Services,1094865
201703429349300225,750800653,First Financial Administrators,PO Box 670329,Houston,TX,77267,HR consulting,203365
201703429349300225,750800653,Ruffalo Noel Levitz,PO Box 718,Des Moines,IA,50303,Admissions consulting,194281
201703429349300225,750800653,Abilene Library Consortium,3305 North 3rd Street Ste 301,Abilene,TX,79603,Library resource services,119897
201713469349300631,943204136,Sodexo Inc & Affiliates,1000 El Camino Real,Atherton,CA,94027,Food services,2504094
201713469349300631,943204136,Apex,70 Domain Street Suite 2,San Francisco,CA,94124,Janitorial Services,302863
201713469349300631,943204136,Gachina Landscape Management Inc,1130 OBrien Drive,Menlo Park,CA,94025,Landscaping/Grounds,222641
201713469349300631,943204136,FA Solutions LLC,600 1st Ave N,St Petersburg,FL,33701,Consulting,218520
201713469349300631,943204136,Universal Protection Service,1551 N Tustin Ave Suite 650,Santa Ana,CA,92705,Security Guard Services,125684
201713489349300116,390806263,Food Services Inc,1801 W Glendale Ave,Milwaukee,WI,53209,Food services,2399766
201713489349300116,390806263,Eagle Enterprises LTD,333 N 121st St,Milwaukee,WI,53226,Janitorial,1038802
201713489349300116,390806263,David J Frank Landscape,PO Box 70,Germantown,WI,53022,Landscaping,485120
201713489349300116,390806263,JF Ahern Co,3201 W Canal St,Milwaukee,WI,53208,HVAC,353678
201713489349300116,390806263,Ellucian Company LP,4375 Fair Lakes Ct,Fairfax,VA,22033,Software,262331
201703179349301545,810231774,DICK ANDERSON CONSTRUCTION INC,3424 E US HIGHWAY 12,HELENA,MT,59601,CONSTRUCTION CONTRACTOR,8250206
