object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201703479349300920,910615846,NORTHWEST UNIVERSITY FOUNDATION,5520 108TH AVENUE NE PO BOX 579,KIRKLAND,WA,98083,952008029,SUPPORT HIGHER EDUCATION,WA,501(C)(3),"LINE 12A, I",NORTHWEST UNIVERSITY,1
201703429349300225,750800653,Baptist General Convention of Texas,7557 Rambler Rd Ste 1200,Dallas,TX,75231,756044885,Convention of churches,TX,501(c)(3),Line 1,0
201713469349300631,943204136,Menlo School and Menlo College,1000 El Camino Real,Atherton,CA,94027,941156656,HOLDS TITLE TO BUILDINGS USED BY MENLO SCHOOL AND MENLO COLLEGE,CA,501(C)(3),"Line 12a, I",N/A,0
201713489349300116,390806263,School Sisters of St Francis,US Province,1515 South Layton Blvd,Milwaukee,WI,53215,390806266,Religious organization,WI,501(c)(3),N/A,N/A,0
201713189349309806,161359213,UB ASSOCIATES INC,UB DOWNTOWN GATEWAY BUILDING 77 GOO,BUFFALO,NY,14203,161559460,PROVIDE ADMIN SUPPORT TO SUNY BUFFALO MEDICAL SCHOOL PRACTICE PLAN,NY,501(C)(3),LINE 10,N/A,0
201713189349309806,161359213,STATE OF NEW YORK,ONE COMMERCE PLAZA 99 WASHINGTON AV,ALBANY,NY,12231,146013200,GOVERNMENT,NY,501(C)(1),N/A,0
201713189349309806,161359213,UNIVERSITY AT BUFFALO FOUNDATION,PO BOX 900,BUFFALO,NY,14226,160865182,PROVIDES SUPPORT FOR AND PROMOTES THE ACTIVITIES OF THE UNIVERSITY,NY,501(C)(3),LINE 10,N/A,0
201713189349309806,161359213,UNIVERSITY PSYCHIATRIC PRACTICE INC,462 GRIDER STREET,BUFFALO,NY,14215,161426208,PROVIDES MEDICAL SERVICES AND SUPPORTS THE UNIVERSITY EDUCATION,NY,501(C)(3),LINE 10,N/A,0
201713189349309806,161359213,UNIVERSITY AT BUFFALO NEUROSURGERY INC,3980 SHERIDAN DRIVE SUITE 501,AMHERST,NY,14226,030445678,PROVIDES MEDICAL SERVICES AND SUPPORTS THE UNIVERSITY EDUCATION,NY,501(C)(3),LINE 10,N/A,0
201733429349300628,911838771,Metropolitan Community College,PO Box 3777,Omaha,NE,681030777,470557228,Education Government,NE,N/A,N/A,0
201703189349310400,452880238,HOLY SPIRIT PREPARATORY SCHOOL INC,4449 NORTHSIDE DRIVE,ATLANTA,GA,30327,582141813,PRIVATE SCHOOL - PRESCHOOL THROUGH 12,GA,501(C)(3),LINE 2,0
201703429349300000,010802914,California St UniversityChannel Islands,One University Drive,Camarillo,CA,93012,922153805,4 Year University,CA,St Agency,N/A,false
201703429349300000,010802914,CI University Auxiliary Services Inc,One University Drive,Camarillo,CA,93012,731633096,Commercial Svcs,CA,501(c)(3),11d Type III-O,N/A,false
201703429349300000,010802914,CSU Channel Islands Foundation,One University Drive,Camarillo CA,CA,93012,730433230,University Auxiliary,CA,501(c)(3),5,N/A,false
