object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblCrpTr_EIN,IdRltdOrgTxblCrpTr_PrmryActvtsTxt,IdRltdOrgTxblCrpTr_LglDmclSttCd,IdRltdOrgTxblCrpTr_EnttyTxt,IdRltdOrgTxblCrpTr_ShrOfTtlIncmAmt,IdRltdOrgTxblCrpTr_ShrOfEOYAsstsAmt,IdRltdOrgTxblCrpTr_OwnrshpPct,IdRltdOrgTxblCrpTr_CntrlldOrgnztnInd
201703179349307400,111635088,RADIOLOGY CONSULTING OF LONG ISLANDPLLC,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,421646134,HEALTHCARE SVC,NY,GOOD SAMARITAN,C-CORP,false
201703179349307400,111635088,SAMARITAN PEDIATRIC SERVICES PC,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,208180263,HEALTHCARE SVC,NY,GOOD SAMARITAN,C-CORP,false
201703179349307400,111635088,SAMARITAN MEDICAL SERVICES PC,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,208088453,HEALTHCARE SVC,NY,GOOD SAMARITAN,C-CORP,false
201703179349307400,111635088,SOUTHWEST SUFFOLK MEDICAL PC,580 UNION BOULEVARD,WEST ISLIP,NY,11795,061603195,HEALTHCARE SVC,NY,GOOD SAMARITAN,C-CORP,false
201703179349307400,111635088,CARDIAC EKG INTERPRETATION PC,992 N VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,112924518,HEALTHCARE SVC,NY,GOOD SAMARITAN,C-CORP,false
201703179349307400,111635088,LI REGIONAL ARTHRITIS & OSTEOPOROSIS CAR,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,208964140,HEALTHCARE SVC,NY,GOOD SAMARITAN,C-CORP,false
201703179349307400,111635088,SAMARITAN MANAGEMENT SERVICES,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,112838185,HEALTHCARE SVC,NY,CHSLI,C-CORP,false
201703179349307400,111635088,ADVANCED REHABILIATION MEDICINE PLLC,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,113640709,HEALTHCARE SVC,NY,STCHARLES HOSP,C-CORP,false
201703179349307400,111635088,ST FRANCIS CARDIAC PREVENTION SERVICES,100 PORT WASHINGTON BLVD,ROSLYN,NY,11576,113224885,HEALTHCARE SVC,NY,STFRANCIS HOSP,C-CORP,false
201703179349307400,111635088,SOUTH SHORE PRACTICE MANAGEMENT,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,113307977,HEALTHCARE SVC,NY,SAMARITAN MGMT,C-CORP,false
