object_id,ein,RcpntBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,RcpntTbl_RcpntEIN,RcpntTbl_IRCSctnDsc,RcpntTbl_CshGrntAmt,RcpntTbl_PrpsOfGrntTxt
201443179349303609,210634462,Susan G Komen Breast Cancer Foundation,125 South 9th Street,Philadelphia,PA,19107,752949264,501(c)(3),17500,Sponsorship
201443179349303609,210634462,Juvenile Diabetes Research Foundation,26 Broadway 14th Floor,New York,NY,10004,231907729,501(c)(3),8500,Sponsorship
201443179349303609,210634462,International Healthcare Volunteers,PO Box 8231,Trenton,NJ,08650,721530030,501(c)(3),8600,Sponsorship
201443179349303609,210634462,NJAFPNJ EMS Conference,224 West State Street,Trenton,NJ,08608,226063156,501(c)(3),25000,Sponsorship
201443179349303609,210634462,Jewish Federation of Southern New Jersey,1301 Springdale Rd,Cherry Hill,NJ,08033,210634489,501(c)(3),8820,Sponsorship
201443179349303609,210634462,National Brain Tumor Society,55 Chapel St Ste 200,Newton,MA,02458,043068130,501(c)(3),10000,Sponsorship
201443189349301799,410693962,MACALESTER GROVELAND COMMUNITY COUNCIL,320 GRIGGS ST,ST PAUL,MN,55105,411414691,501(C)(3),30500,N/A,N/A,SUPPORT OF COMMUNITY ORGANIZING IN THE MACALESTER-GROVELAND NEIGHBORHOOD
201443189349301799,410693962,FAMILY TREE CLINIC,1619 DAYTON AVE STE 205,ST PAUL,MN,55104,237133742,501(C)(3),5000,N/A,N/A,SUPPORT OF THE DEAF & BLIND WOMEN'S HEALTH PROGRAM
201443189349301799,410693962,MACALESTER-SUMMIT HILL LIVING AT HOME PROGRAM,1600 GRAND AVE,ST PAUL,MN,55105,411745779,501(C)(3),5000,N/A,N/A,SUPPORT FOR LOCAL HOME NURSE PROGRAM
201443189349301799,410693962,TRANSIT FOR LIVABLE COMMUNITIES,2356 UNIVERSITY AVE W SUITE 403,ST PAUL,MN,55114,411833066,501(C)(3),8000,N/A,N/A,SUPPORT FOR LOCAL TRANSIT ADVOCACY GROUP
