object_id,ein,GrntTxt,RcpntCnt,CshGrntAmt
201423169349301652,204811544,SCHOLARSHIPS,76,304673
201443179349303604,231352008,Tuition assistance,49,83405
201443159349302919,042104451,TUITION DISCOUNTS : GENERAL,214,261465
201443159349302919,042104451,REGIS GRANTS : FINANCIAL AID-UG INTERNAL,819,7715590
201443159349302919,042104451,REGIS GRANTS : FINANCIAL AID NT INTERNAL,52,237997
201443159349302919,042104451,SEOG IY & CY : FINANCIAL AID UG EXTERNAL,308,51398
201443159349302919,042104451,TOWER SCHOLARSHIP : FINANCIAL AID-UG INTER,116,1595775
201443159349302919,042104451,ALUMNAE SPONS AWARDS : FINANCIAL AID-UG IN,2,2000
201443159349302919,042104451,ANNIVERSARY SCHOLARSHIP : FINANCIAL AID-UG,306,3654718
201443159349302919,042104451,FOUNDERS SCHOLARSHIP : FINANCIAL AID-UG IN,1,12950
201443159349302919,042104451,NURSING GRADUATE ASSISTANCESHIP : FINANCIA,48,283350
201443159349302919,042104451,MASSACHUSETTS U-PLAN : FINANCIAL AID-UG IN,5,2834
201443159349302919,042104451,SIBLING DISCOUNT : FINANCIAL AID-UG INTERN,25,60000
201443159349302919,042104451,HEALTH ADMINISTRATION SCH : FINANCIAL AID,8,28500
201443159349302919,042104451,HEALTH ADMINISTRATION SCH : FINANCIAL AID,30,170000
201443159349302919,042104451,SR. T. HIGGINS CSJ SCHOLARSHIP: FINANCIAL AID,54,938050
201443159349302919,042104451,SR. J. D'ARC MERIT SCHOLARSHIP : FINANCIAL AID,190,2929560
201443159349302919,042104451,ALUMNI SCHOLARSHIP : FINANCIAL AID,71,138000
201443159349302919,042104451,SCHRAFFTS BOSTON : FINANCIAL AID,9,25000
201443159349302919,042104451,NURSING-GEN MASTERS SCHOLARSHIPS : GENERAL,2,5210
201443159349302919,042104451,THE KANEB SCHOLARS PROGRAM : GENERAL,33,62550
201443159349302919,042104451,SHARING OPPORTUNITYS : GENERAL,9,67705
201443159349302919,042104451,EXPENDED ENDOWMENT INCOME : GENERAL,140,405620
201443159349302919,042104451,S. JOHN SULLIVAN SCHOLARSHIPS : GENERAL,2,7500
201443159349302919,042104451,YAWKEY FOUNDATION : GENERAL,9,22804
201443159349302919,042104451,STACY STOTT SCHOLARSHIP : GENERAL,4,2000
201443159349302919,042104451,DINEEN CATHOLIC TEACHERS : GENERAL,1,500
201443159349302919,042104451,BOGAN COMMUNICATIONS GR : GENERAL,1,1000
201443159349302919,042104451,MD HENIGHAN SCHOLARSHIP : GENERAL,2,10000
201443159349302919,042104451,CENTER FOR GLOBAL CONNECTION SCHOLARSHIP: GENERAL,2,12000
201443159349302919,042104451,MJE SCHOLARSHIP : GENERAL,1,20000
201443159349302919,042104451,LLARC SHARING OPS SCHOLARSHIP : GENERAL,1,2150
201403249349300010,237034324,EDUCATIONAL ASSISTANCE TO VARIOUS STUDENTS,531362,104362,VARIOUS CREDITS AND WAIVERS OF TUITION
201443189349301799,410693962,SCHOLARSHIPS AND GRANTS TO STUDENTS,1544,44821726,0,N/A,N/A
