object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_UBICdVAmt,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd
202121349349303522,042103552,PARTNERSHIP 1,INVESTING,TX,BRANDEIS,EXCLUDED,-2289186,53567296,false,0,false,0.99800
202121349349303522,042103552,PARTNERSHIP 2,INVESTING,DE,BRANDEIS,EXCLUDED,1020360,34739374,false,0,false,0.96976
202121349349303522,042103552,PARTNERSHIP 3,Investing,DE,NA,UNRELATED,116949,15507479,false,114897,false,0.92819
202031959349303053,620476822,Dore Capital LP,2100 West End Ste 1000,Nashville,TN,37203,264337679,Investments,DE,VU,Excluded,-2847923,43285529,true,-150745,true
202031959349303053,620476822,Dore Capital Real Estate LP,2100 West End Ste 1000,Nashville,TN,37203,264581574,Investments,DE,VU,Unrelated,2563681,25190689,true,1423921,true
202031959349303053,620476822,Altos Hybrid 2 V LLC,2882 Sand Hill Road,Suite 100,Menlo Park,CA,94025,822083773,Investments,DE,VU,Excluded,9747,8062702,false,false
202031959349303053,620476822,Valar Co-Invest 7 LP,915 Broadway,Suite 1101,New York,NY,10010,Investment,DE,VU,Excluded,0,0,false,false
202031959349303053,620476822,Valar Velocity Holdings LP,915 Broadway,Suite 1101,New York,NY,10010,Investment,DE,VU,Excluded,0,0,false,false
202041059349300414,420680404,BVU FUND LP,C/O CAMBRIDGE ASSOCIATES LLC 125 HI,BOSTON,MA,02110,462921999,INVESTMENTS,DE,BVU,EXCLUDED FROM TAX,7530738,124524405,false,-218326,false,0.99999
202041059349301334,260152908,CHAPMAN FILMED ENTERTAINMENT LLC,ONE UNIVERSITY DRIVE,ORANGE,CA,92866,454860703,FILM PRODUCTION,CA,NA
202041969349300214,042103552,PARTNERSHIP 1,INVESTING,NA,157926,36225234,true,0,false,0.99944
202041969349300214,042103552,PARTNERSHIP 2,INVESTING,NA,604870,13928408,true,357927,false,0.92819
202041969349300214,042103552,PARTNERSHIP 3,INVESTING,NA,-24600,28584346,true,0,false,0.98349
202023019349300422,541547408,MANAGEMENT SERVICES LLC,814 GREENBRIER CIRCLE,CHESAPEAKE,VA,23320,541365012,HLTH MGT SV,VA,N/A
202023019349300422,541547408,MANAGEMENT SERVICES LLC,814 GREENBRIER CIRCLE,CHESAPEAKE,VA,23320,541365012,HLTH MGT SV,VA,SH,UNRELATED,5517,151468,0,1,0.20000
202023019349300422,541547408,OBICI REAL ESTATE HOLDINGS LLC,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,261749881,RE RENTAL,VA,SH,RELATED,97155,3344761,0,1,0.71790
202023019349300422,541547408,PRINCESS ANNE AMB SURG MGT LLC,1975 GLENN MITCHELL STE 300,VA BEACH,VA,23456,204920880,HEALTH CARE,VA,SH,RELATED,1891993,3663609,0,1,0.52590
202023019349300422,541547408,VA BEACH AMBULATORY SURGERY CENTER,1700 WILL O WISP DRIVE,VA BEACH,VA,23454,541448218,HEALTH CARE,VA,SH,RELATED,621968,3406964,0,1,0.50000
202023019349300422,541547408,CANCER CENTERS OF VA LLC,5900 LAKE WRIGHT DRIVE,NORFOLK,VA,23502,201338518,HEALTH CARE,VA,SH,RELATED,-1362451,8482721,0,1,0.50000
202023019349300422,541547408,HAMPTON ROADS LITHOTRIPSY LLC,225 CLEARFIELD AVE,VIRGINIA BEACH,VA,23462,200942600,HEALTH CARE,VA,N/A
202023019349300422,541547408,RADIOLOGY SERVICES OF HAMPTON ROADS LC,814 GREENBRIER CIRCLE STE L,CHESAPEAKE,VA,23320,541774472,HEALTH CARE,VA,N/A
202023019349300422,541547408,RADIOLOGY SERVICES OF HAMPTON ROADS LC,814 GREENBRIER CIRCLE STE L,CHESAPEAKE,VA,23320,541774472,HEALTH CARE,VA,SH,RELATED,-80340,1078088,0,1,0.25000
202023019349300422,541547408,SENTARA OBICI AMBULATORY SURGERY LLC,2750 GODWIN BLVD,SUFFOLK,VA,23434,260144898,HEALTH CARE,VA,SH,RELATED,476578,1974315,0,1,0.61540
202023019349300422,541547408,ST LUKES PROPERTIES LLC,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,272774684,MOB RENTAL,VA,N/A
202023019349300422,541547408,POTOMAC INOVA HEALTHCARE ALLIANCE LLC,8110 GATEHOUSE RD STE 400W,FALLS CHURCH,VA,22042,541802733,HEALTHCARE,VA,N/A
202023019349300422,541547408,CAREPLEX ORTHOPAEDIC ASC LLC,3000 COLISEUM DRIVE,HAMPTON,VA,23666,271867311,HEALTH CARE,VA,SH,RELATED,2742135,2693761,0,1,0.50000
202023019349300422,541547408,PHYSICAL THERAPY ACACLLC,501 ALBEMARLE SQUARE,CHARLOTTESVILLE,VA,22901,260080717,HEALTH CARE,VA,N/A
202023019349300422,541547408,MNS SUPPLY CHAIN NETWORK LLC,11525 N COMMUNITY HOUSE RD STE 450,CHARLOTTE,NC,28277,454235238,GPO,DE,N/A
202023019349300422,541547408,LAKE RIDGE AMBULATORY SURGERY CENTER LLC,12825 MINNIEVILLE RD STE 204,WOODBRIDGE,VA,22192,455347932,HEALTH CARE,VA,N/A
202023019349300422,541547408,MEDSTREAMING LLC,9840 WILLOWS ROAD NE SUITE 200,REDMOND,WA,98052,451573625,SOFTWARE DEV,WA,N/A
202023019349300422,541547408,HIGHLAND CORE FIXED INCOME FUND,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474618533,POOLED INV FD,DE,N/A
202023019349300422,541547408,HIGHLAND EQUITY FUND,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474606269,POOLED INV FD,DE,N/A
202023019349300422,541547408,HIGHLAND PUBLIC INFLATION HEDGES FD,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474601867,POOLED INV FD,DE,N/A
202023019349300422,541547408,LEIGH ORTHOPEDIC SURGERY CENTER LLC,830 KEMPSVILLE ROAD,NORFOLK,VA,23502,832402528,SURGERY CENTER,VA,SH,RELATED,38651,3051400,0,1,0.51000
202023019349300422,541547408,SURGICAL SUITES OF COASTAL VIRGINIA LLC,400 SENTARA CIRCLE,WILLIAMSBURG,VA,23188,833205375,SURGERY CENTER,VA,SH,RELATED,-341176,1897599,0,1,0.51000
202003239349301515,362169147,DMA SURGERY CENTER,2357 SEQUOIA DRIVE,AURORA,IL,60506,363890298,MEDICAL SERVICES,IL,N/A,0,0
202031929349301853,061645496,ARI 1740 FUND,N SETSON AVE STE 5500,CHICAGO,IL,60601,320472404,INVESTMENT,IL,NA,N/A,false
202031929349301853,061645496,DVG 1740 FUND LP,ONE FAWCETT PLACE,GREENWICH,CT,06830,800961539,INVESTMENT,CT,NA,N/A,false
202031929349301853,061645496,EAST MARSHALL STREET PARTNERSHIP LP,929 SOUTH HIGH STREET,WEST CHESTER,PA,19382,232902742,INVESTMENT,PA,NA,N/A,false
202031929349301853,061645496,FERN HILL PARTNERSHIP III LP,929 SOUTH HIGH STREET,WEST CHESTER,PA,19382,300409614,RENTAL,PA,NA,N/A,false
202031929349301853,061645496,FERN HILL LLC,929 SOUTH HIGH STREET,WEST CHESTER,PA,19382,233005147,RENTAL,PA,NA,N/A,false
202031929349301853,061645496,GALLOPAVO LP,2000 McKINNEY AVE STE 2125,DALLAS,TX,75201,464621967,INVESTMENT,TX,NA,N/A,false
202031929349301853,061645496,LANCASTER PET PARTNERSHIP LLP,PO BOX 4216,LANCASTER,PA,17604,233102793,MEDICAL SERVICES,PA,NA,N/A,false
202031929349301853,061645496,LG HEALTH COMMUNITY CARE COLLABORATIVE,555 NORTH DUKE STREET,LANCASTER,PA,17604,455542179,ACO,PA,NA,N/A,false
202031929349301853,061645496,LIONVILLE MED OFFICE BLDG PARTNERSHIP,929 SOUTH HIGH STREET,WEST CHESTER,PA,19383,161640799,INVESTMENT,PA,NA,N/A,false
202031929349301853,061645496,MRI GROUP LLP,PO BOX 4216,LANCASTER,PA,17604,331011386,MEDICAL SERVICES,PA,NA,N/A,false
202031929349301853,061645496,NEIGHBRHD PRES & DEV FUND LP,240 NEW YORK DR STE 1,FORT WASHINGTON,PA,19034,233037919,RENTAL,PA,NA,N/A,false
202031929349301853,061645496,OAKLANDS WAY MEDICAL BUILDING ASSOCIATES,929 SOUTH HIGH STREET,WEST CHESTER,PA,19382,830490251,RENTAL,PA,NA,N/A,false
202031929349301853,061645496,SRP INVESTORS FUND A LP,2001 ROSS AVE SUITE 2800,DALLAS,TX,75201,611748291,INVESTMENT,TX,NA,N/A,false
202031929349301853,061645496,JOG V C LIMITED PARTNERSHIP,2300-440 2ND AVE SW,CALGARY,AL,CA,T2P5E9,INVESTMENT,CA,NA,N/A,false
202031929349301853,061645496,TURK'S HEAD SURGERY CENTER LLC,915 OLD FERN HILL ROAD BLDG B,WEST CHESTER,PA,19380,200184603,MEDICAL SERVICES,PA,NA,N/A,false
202031929349301853,061645496,CYRUS 1740 MASTER FUND LP,89 NEXUS WAY CAMANA BAY,GR,CJ,KY1-9009,981361754,INVESTMENT,CJ,NA,N/A,false
202031929349301853,061645496,JOG VI C LIMITED PARTNERSHIP,STE 2370 440 2ND AVE SW,CALGARY,AL,CA,INVESTMENT,CA,NA,N/A,false
202031929349301853,061645496,LIFT REAL ESTATE PARTNERS FUND I LP,180 SUTTER STREET SUITE 400,SAN FRANCISCO,CA,94104,831339929,INVESTMENT,CA,NA,N/A,false
