object_id,ein,BsnssNmLn1Txt,TrnsctnTxt,InvlvdAmt,MthdOfAmntDtrmntnTxt
201533169349302013,391620530,BELLIN MEMORIAL HOSPITAL,P,297638,ACTUAL
201533169349302013,391620530,BELLIN MEMORIAL HOSPITAL,Q,329760,ACTUAL
201533169349302013,391620530,BELLIN HEALTH SYSTEMS INC,P,191375,ACTUAL
201533169349302013,391620530,BELLIN MEMORIAL HOSPITAL,C,714845,ACTUAL
201542599349300409,541954969,Mavi Consulting LLC,b,1281002,FMV
201542599349300409,541954969,Mavi Consulting LLC,c,1623307,FMV
201542599349300409,541954969,Mavi Consulting LLC,d,5497050,Cost
201542599349300409,541954969,Mavi Consulting LLC,i,1762948,FMV
201542599349300409,541954969,Mavi Consulting LLC,k,863392,Per lease
201542599349300409,541954969,Mavi Consulting LLC,l,179210,FMV
201542599349300409,541954969,Mavi Consulting LLC,m,224855,FMV
201542599349300409,541954969,Mavi Consulting LLC,n,6000,FMV
201542599349300409,541954969,Mavi Consulting LLC,o,179210,FMV
201542599349300409,541954969,Mavi Consulting LLC,p,61,FMV
201522969349300717,411407214,MN STATE COMMUNITY & TECH COLLEGE,b,153850,FMV
201523009349300737,237050293,KIRKWOOD COMMUNITY COLLEGE,L,116208,FAIR-MARKET-VALUE
201522879349301422,344429091,THE INN AT OHIO NORTHERN UNIVERSITY MGMT CO,P,928087,FMV
201522879349301422,344429091,THE INN AT OHIO NORTHERN UNIVERSITY MGMT CO,Q,2156036,FMV
201533009349300718,750917417,Christian Methodist episcopal Curch,c,170500,FMV
201532829349300648,750855633,Betty Jo Mowry Inc,d,99995,Cost
201522829349300632,381443369,Asia Biblical Theological Seminary LLC,r,15000,cash method
201503279349300010,941339635,SIMPSON UNIVERSITY FOUNDATION,C,1480384
201513209349308791,741339050,CONGREGATIONAL METHODIST,C,180670,CASH
201513209349308791,741339050,CONGREGATIONAL METHODIST,S,20055,CASH
201513209349304156,470424785,Sisters of Mercy of the Americas - Outstanding Land Agreement,E,760000,Cash Value
201513209349304156,470424785,Sisters of Mercy of the Americas - Current year payment,E,250000,Cash Value
201513209349304156,470424785,Sisters of Mercy of the Americas,M,36000,Cash Value
201513209349304156,470424785,Sisters of Mercy of the Americas - Cash gifts for scholarships and new hall,C,303400,Cash Value
201513209349304156,470424785,College of Saint Mary Spellman Early Childhood Development Center - Cash,L,100000,Cash Value
201502929349300700,464091111,UPPER VALLEY TEACHER TRAINING PROGRAM,p,204180,REIMBURSED EXP
201512949349300036,480556726,ASSOCIATED COLLEGES OF CENTRAL KANSAS,M,283791
201503169349304560,350885591,WESLEYAN CHURCH CORPORATION,C,1218100,CASH
201503169349304560,350885591,WESLEYAN RETIREMENT CENTER,C,1281126,CASH
201523169349300122,204273074,Regent University,c,440000
201503149349302635,200617900,THE FREEDOM FORUM INC,C,4819742,CASH
201503149349302635,200617900,NEWSEUM INC,N,459914,CASH
201503149349302350,486106237,KANSAS STATE UNIVERSITY,P,282215
201503149349302350,486106237,KSU-IC,K,5945
201503149349302350,486106237,KSU-IC,M,50000
201503149349302350,486106237,KSU-IC,R,113604
201503149349302350,486106237,KSU-IC,N,1186
201503149349302350,486106237,KSU-IC,P,11069
201503149349302350,486106237,KANSAS STATE UNIVERSITY,B,154200
201503139349301900,341726619,MERCY COLLEGE OF OHIO FOUNDATION,C,114822,GAAP
201513169349303321,541919810,PATRICK HENRY COLLEGE FOUNDATION,E,208787
201513169349303321,541919810,PATRICK HENRY COLLEGE FOUNDATION,C,9000
201533149349302808,161359213,STATE OF NEW YORK,P,203609,MARKET VALUE
201533149349302808,161359213,STATE OF NEW YORK,C,50000,MARKET VALUE
201533149349302808,161359213,STATE OF NEW YORK,E,32401,MARKET VALUE
201523149349300962,112206183,SEAFARERS HARRY LUNDEBERG SCHOOL OF SEAMANSHIP,Q,14278046,ACTUAL COSTS
201523149349300962,112206183,SEAFARERS JOINT EMPLOYMENT FUND,Q,96840,ACTUAL COSTS
201523149349300962,112206183,SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA ATLANTIC GULF LAKES,P,15834,ACTUAL COSTS
201523149349300962,112206183,SEAFARERS MARYLAND BUILDING CORPORATION,K,74219,ACTUAL COSTS
201523149349300962,112206183,SEAFARERS VACATION PLAN,Q,583537,ACTUAL COSTS
201543159349301319,550357056,WV CONOF THE UNITED METHODIST CH,C,98863,CASH VALUE
201533229349300418,270932196,Independent Electrical Contractors Dakotas Inc,c,Payments Received
201543179349303829,581418202,GEORGIA REGENTS UNIVERSITY,B,59484688,AUDITED FINANCIAL STATEMENT
201533039349301233,942992642,SUTTER EAST BAY HOSPITAL,S,738996,FMV
201543179349308294,263031521,RED LAKE BAND OF CHIPPEWA INDIANS,C,474960,AMOUNT RECEIVED
201543179349308294,263031521,RED LAKE BAND OF CHIPPEWA INDIANS (RETIREMENT CONTRIBUTIONS),R,30439,AMOUNT PAID
201543179349308294,263031521,RED LAKE BAND OF CHIPPEWA INDIANS (INSURANCE CONTRIBUTIONS),R,76405,AMOUNT PAID
201543179349308294,263031521,RED LAKE BAND OF CHIPPEWA INDIANS (UNEMPLOYMENT CONTRIBUTIONS),R,5193,AMOUNT PAID
201543179349308294,263031521,RED LAKE BAND OF CHIPPEWA INDIANS (INDIRECT COSTS),R,77752,AMOUNT PAID
201543179349308294,263031521,RED LAKE BAND OF CHIPPEWA INDIANS,M,96624,AMOUNT RECEIVED
201543169349301839,263162145,IU HEALTH WHITE MEMORIAL HOSPITAL INC,K,196946,FMV
201543169349301839,263162145,IU HEALTH WHITE MEMORIAL HOSPITAL INC,L,298076,FMV
201543169349301839,263162145,INDIANA RADIOLOGY PARTNERS INC,M,113925,FMV
201543169349301839,263162145,IU HEALTH CARE ASSOCIATES INC,M,147480,FMV
201543169349301839,263162145,METHODIST OCCUPATIONAL HEALTH CENTER INC,M,244976,FMV
201543169349301839,263162145,IU HEALTH WHITE MEMORIAL HOSPITAL INC,O,79926,FMV
201543169349301839,263162145,IUH ASSURANCE SPC LTD,R,644141,FMV
201543169349301839,263162145,IU HEALTH RISK RETENTION GROUP INC,R,2910319,FMV
201523109349300232,840600653,COLORADO STATE UNIVERSITY VENTURES INC,Q,151588
201523109349300232,840600653,COLORADO STATE UNIVERSITY RESEARCH FOUNDATION DE MEXICO AC,B,568497
201533159349300908,430471057,RANKEN COMMUNITY DEVELOPMENT CORP,R,85963,INTERCO A/R
201523169349304777,203287316,RAF INC,C,106250
201523169349304777,203287316,OAK SERVICE CORPORATION,C,276902
201523169349304777,203287316,RAF INC,P,6680
201523169349304777,203287316,OAK SERVICE CORPORATION,M,146850
201523169349304777,203287316,PI KAPPA ALPHA CORPORATION,C,285673
201523169349304777,203287316,PI KAPPA ALPHA CORPORATION,M,146850
201533209349314783,610461768,UC REAL PROPERTIES LLC NMTC,N
201503379349300320,620812782,ST CECILIA CONGREGATION,M,544309,ACTUAL SR STIPENDS PAID
201503379349300320,620812782,DOMINICAN CAMPUS,N,529872,ACTUAL ASSESSMENT
201503379349300320,620812782,ST CECILIA CONGREGATION,B,833528,ACTUAL SR SCHLR AWARDS
201503379349300320,620812782,ST CECILIA CONGREGATION,C,533341,DONATED SERVICES ESTIMATE
201533359349300443,850164940,USW FOUNDATION,C,173950,4% OF FOUR YR INVST RETUR
201543519349300144,530196583,ALBERT E FARONE & ANGELA T FARONE FOUNDATION,C,575600,SCHOLARSHIPS AWARDED TO CUA STUDENTS
201543519349300144,530196583,ALBERT E FARONE & ANGELA T FARONE FOUNDATION,Q,641825,REIMBURSEMENT PAYMENT FOR EXPENSE
201543519349300144,530196583,THE CATHOLIC UNIVERSITY OF AMERICA FOUNDATION,P,40395,REIMBURSEMENT PAYMENT FOR EXPENSE
201543519349300144,530196583,THE WASHINGTON RESEARCH LIBRARY CONSORTIUM,M,627736,PAYMENT FOR PERFORMANCE OF SERVICES
201533559349300803,566049935,WINGATE UNIVERSITY FOUNDATION,S,452618,BOOK VALUE
201533529349300538,750851900,ACIMCO,c,80000,Cash Received
201533529349300538,750851900,ACIMCO,m,1359470,Cash paid
201533529349300538,750851900,Grace L Woodward Memorial Endowment,c,1522021,Cash Received
201513349349300641,710430687,MID-AMERICA STUDENT HOUSING INC,A,34712,IMPUTED INTEREST
201513349349300641,710430687,MID-AMERICA STUDENT HOUSING INC,B,2178,IMPUTED INTEREST
201513349349300641,710430687,MID-AMERICA STUDENT HOUSING INC,D,500000,LOANS RECEIVABLE FROM PY
201513349349300641,710430687,MID-AMERICA STUDENT HOUSING INC,D,870315,NOTE RECEIVABLE
201513349349300641,710430687,MID-AMERICA STUDENT HOUSING INC,L,65000,ADMINISTRATIVE SERVICES
201543349349300469,350868181,William Taylor Foundation,O,64000,Per Agreement
201543349349300469,350868181,Taylor University Broadcasting Inc,L,1357788,Actual
201503509349300340,480548361,MENNONITE EDUCATION AGENGY INC,C,15334,CASH RECEIVED
201503509349300340,480548361,MENNONITE EDUCATION AGENGY INC,M,42052,CASH PAID
201523169349303162,420730347,HEALTH EDUCATION AND RESIDENCY TRAINING NETWORK,B,60000,GAAP
201523169349303162,420730347,HEALTH EDUCATION AND RESIDENCY TRAINING NETWORK,Q,104725,GAAP
201503199349300635,930999148,MERIDIAN SPRINGLLC,K,583470,CASH
201503199349300635,930999148,TAO OF WELLNESS,3000,CASH
201503209349303390,550788917,EAST TENNESSEE STATE UNIVERSITY,B,118844
201503209349303780,264468758,HEBREW HOMES HEALTH NETWORK INC,E,3387213,HISTORICAL COST
201503209349303780,264468758,UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER INC,D,501970,HISTORICAL COST
201503209349303780,264468758,UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER INC,J,1611816,HISTORICAL COST
201512589349300616,561065978,MID-ATLANTIC CHRISTIAN UNIVERSITY,C,76071,CASH PAID
201512589349300616,561065978,FOUNDATION INC GAVE MID-ATLANTIC
201512589349300616,561065978,CHRISTIAN UNIVERSITY GRANTS FOR
201512589349300616,561065978,FUNDING STUDENT AND FACULTY SCHOLAR-
201512589349300616,561065978,SHIPS AND FOR INSTITUTIONAL OPERA-
201512589349300616,561065978,TIONS (GENERAL FUND LIBRARY ETC)
201512589349300616,561065978,MID-ATLANTIC CHRISTIAN UNIVERSITY,B,1232,CASH PAID
201512589349300616,561065978,TRANSFERRED TO MID-ATLANTIC CHRISTIAN
201512589349300616,561065978,UNIVERSITY FOUNDATION INC MONEY FOR
201512589349300616,561065978,THE ENDOWMENT FUND
201533159349303253,420686467,K RAYMOND CLARK ALUMNI CENTER TRUST,B,7568,ACTUAL
201533159349303253,420686467,K RAYMOND CLARK ALUMNI CENTER TRUST,Q,63387,ACTUAL
201533159349303253,420686467,K RAYMOND CLARK ATHLETIC FACILITIES,C,131379,ACTUAL
201533159349303253,420686467,K RAYMOND CLARK RACQUET CENTER TRUST,C,15304,ACTUAL
201533159349303253,420686467,K RAYMOND CLARK RACQUET CENTER TRUST,Q,268473,ACTUAL
201523199349300622,550753754,Charleston Area Medical Center Inc,S,6436162
201523199349300622,550753754,Charleston Area Medical Center Inc,K,257204
201523199349300622,550753754,Charleston Area Medical Center Inc,M,375360
201523199349300622,550753754,Charleston Area Medical Center Inc,P,2305504
201523199349300622,550753754,Charleston Area Medical Center Inc,Q,652438
201523199349300622,550753754,CAMC Foundation Inc,C,113879
201523199349300622,550753754,Charleston Area Medical Center Inc,L,15323133
201523529349300627,381673400,V & V CROSSINGS LLC,S,64693,CASH VALUE OF MEMBER DISTRIBUTION
201523559349300117,840442429,CCU Endowment Foundation,C,FMV-Cash
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,c,36196704,COST
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,d,2604752,COST
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,j,7441665,COST
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,n,12683208,COST
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,o,27961342,COST
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,p,1057739000,COST
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,q,206082585,COST
201523179349309337,136171197,THE MOUNT SINAI MEDICAL CENTER INC,I,3257351,cost
201523179349309337,136171197,THE MOUNT SINAI MEDICAL CENTER INC,s,506180,COST
201523179349309337,136171197,VALENTIN FUSTER MT SINAI FND SCI HLTH,c,1015081,cost
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,s,506180,cost
201523179349309337,136171197,THE MOUNT SINAI HOSPITAL,i,3257351,COST
201523179349309337,136171197,MOUNT SINAI CHILDREN'S CENTER FOUNDATION inc,c,3022820,COST
201523179349309337,136171197,MOUNT SINAI CHILDREN'S CENTER FOUNDATION inc,o,195074,cost
201523179349309337,136171197,new york eye and ear infirmary,q,263801,cost
201523179349309337,136171197,MITRAL FOUNDATION,O,192969,COST
201523179349309337,136171197,MOUNT SINAI BETH ISRAEL,q,4351829,COST
