object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201533169349302013,391620530,BELLIN HEALTH SYSTEMS INC,744 SOUTH WEBSTER,GREEN BAY,WI,54305,391512904,SUPPORT OF NON-PROFIT HEALTHCARE ORGANIZATIONS,WI,501(C)(3),"LINE 11B, II",N/A,0
201533169349302013,391620530,LAKE MICHIGAN HEALTH SERVICES INC,744 SOUTH WEBSTER,GREEN BAY,WI,54305,391512903,SUPPORT PURPOSES OF BELLIN MEMORIAL HOSPITAL,WI,501(C)(3),"LINE 11B, II",BELLIN HEALTH SYSTEMS INC,1
201533169349302013,391620530,THE BELLIN HEALTH FOUNDATION INC,PO BOX 23400,GREEN BAY,WI,54305,391809171,FOUNDATION,WI,501(C)(3),LINE 7,BELLIN HEALTH SYSTEMS INC,1
201533169349302013,391620530,BELLIN PSYCHIATRIC CENTER INC,PO BOX 23725,GREEN BAY,WI,54305,391657627,PSYCHIATRIC HOSPITAL,WI,501(C)(3),LINE 3,BELLIN HEALTH SYSTEMS INC,1
201533169349302013,391620530,BELLIN MEMORIAL HOSPITAL INC,PO BOX 23400,GREEN BAY,WI,54305,390884478,ACUTE CARE HOSPITAL,WI,501(C)(3),LINE 3,BELLIN HEALTH SYSTEMS INC,1
201533169349302013,391620530,OCONTO HOSPITAL & MEDICAL CENTER INC,PO BOX 357,OCONTO,WI,54153,061745397,HOSPITAL,WI,501(C)(3),LINE 3,BELLIN MEMORIAL HOSPITAL INC,1
201522879349301212,350869063,OAKLAND CITY UNIVERSITY FOUNDATION,143 N LUCRETIA,OAKLAND CITY,IN,47660,237442945,FUNDRAISING-INACTIVE,IN,501(C)(3),LINE 5,N/A,0
201522969349300717,411407214,MN STATE COMMUNITY & TECH COLLEGE,900 HIGHWAY 34 EAST,DETROIT LAKES,MN,56501,411687554,EDUCATION,MN,501(C)(3),2,N/A,false
201523009349300737,237050293,KIRKWOOD COMMUNITY COLLEGE,6301 KIRKWOOD BLVD SW,CEDAR RAPIDS,IA,52404,420924685,HIGHER EDUCATION,IA,N/A,0
201523009349300737,237050293,KIRKWOOD COMMUNITY COLLEGE FOUNDATION,6301 KIRKWOOD BLVD SW,CEDAR RAPIDS,IA,52404,237076632,SUPPORT THE EDUCATION AND DEVELOPMENT NEEDS OF KIRKWOOD COMMUNITY COLLEGE,IA,501(C)(3),LINE 5,KIRKWOOD COMMUNITY COLLEGE,0
201522879349301422,344429091,POLAR ENTERPRISES,402 WEST COLLEGE AVENUE UNIT 1089,ADA,OH,45810,272573390,ENTREPRENEUR,OH,501(C)(3),9,NA,true
