LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Description of asset(s) distributed or transactional expenses paid
LqdtnOfAsstsDtl_DstrbtnDt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Date of distribution
LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Fair market value of asset(s) distributed or amount of transactional expenses
LqdtnOfAsstsDtl_MthdOfFMVDtrmntnTxt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Method of determining FMV for asset(s) distributed or transactional expenses
LqdtnOfAsstsDtl_EIN|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; EIN of recipient (if tax-exempt)
USAddrss_ZIPCd|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - US; ZIP code
FrgnAddrss_FrgnPstlCd|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - Foreign; Postal code
USAddrss_AddrssLn1Txt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - US; Address line 1
FrgnAddrss_CntryCd|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - Foreign; Country
FrgnAddrss_PrvncOrSttNm|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - Foreign; Province or state
FrgnAddrss_CtyNm|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - Foreign; City
BsnssNm_BsnssNmLn2Txt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Name - Business; Business name line 2
BsnssNm_BsnssNmLn1Txt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Name - Business; Business name line 1
LqdtnOfAsstsDtl_PrsnNm|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Name - Person
FrgnAddrss_AddrssLn2Txt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - Foreign; Address line 2
USAddrss_AddrssLn2Txt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - US; Address line 2
FrgnAddrss_AddrssLn1Txt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - Foreign; Address line 1
USAddrss_CtyNm|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - US; City
USAddrss_SttAbbrvtnCd|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; Address - US; State
LqdtnOfAsstsDtl_IRCSctnTxt|Complete Part I if the organization ceased its operations and any remaining activities are for the purpose of dissolving, paying debts, or distributing any remaining assets; IRC code section of recipient(s) (if tax-exempt) or type of entity
