object_id,ein,Dsc,BkVlAmt
202033039349301753,221821292,PENSION DEFERRALS,13751430
202033039349301753,221821292,DEFERRED LOSS ON REFUNDING,114308
202033039349301753,221821292,OTHER POSTEMPLOYMENT BENEFITS DEFERRALS,952323
202001029349300200,410918317,Beneficial interest in assets at foundation,37128
202111349349303906,560530005,SPLIT INTEREST AGREEMENTS,899978
202111349349303906,560530005,CASH SURRENDER VALUE OF LIFE INSURANCE,967274
202111349349303906,560530005,INTEREST IN OIL WELL,50389
202111349349303906,560530005,BENEFICIAL INTEREST IN PERPETUAL TRUSTS,7175365
202111349349303906,560530005,ASSETS HELD FOR SALE,27014
202023019349301807,840600653,PROPERTY HELD FOR CSU,12057437
202023019349301807,840600653,LONG-TERM RECEIVABLES LEASED EQUIPMENT,61561
202023019349301807,840600653,DEPOSITS AND DEFERRED COSTS,74897
202023019349301807,840600653,CONSTRUCTION IN PROGRESS - OTHER,3215838
202023019349301807,840600653,INVESTMENT IN CSURF AC,1115071
202023019349301807,840600653,"DUE FROM INTO-CSU, LLC",1227500
202023019349301807,840600653,ASSETS HELD FOR SALE,1629836
202041119349300514,430662529,INTERFUND RECEIVABLE,26175185
202041119349300514,430662529,BENEFICIAL INTEREST IN TRUSTS,6712427
202140999349300814,461001797,EMPLOYEE ADVANCES
202140999349300814,461001797,RENT DEPOSIT,26988
202140999349300814,461001797,Rounding,1
202140999349300814,461001797,WORKSHOP SPACE DEPOSIT,4000
202121339349303267,381624684,Prepaid Deposits,212615
202011969349305526,590668483,Beneficial Interest in FMU Foundation,13768797
202011969349305526,590668483,Other receivables,808435
202031969349303968,760690847,PREPAID EXPENSES,118268
202031969349303968,760690847,SECURITY DEPOSIT,15642
202031969349303968,760690847,OTHER,305
202012879349300626,020344073,BENEFICIAL INTEREST IN TRUST,1174775
202012879349300626,020344073,PROPERTY TAXES HELD IN ESCROW,13830
202012879349300626,020344073,OTHER ASSETS,5438
202043189349304149,470724387,OTHER ASSETS,6177461
202043189349304149,470724387,BENEFICIAL INTEREST IN THE NET ASSETS OF THE FOUNDATION,11711430
202043189349304149,470724387,CONSTRUCTION IN PROGRESS,86910
202043189349304149,470724387,DUE FROM AFFILIATES,601549
202041759349300209,221815636,Pension Related,6897711
202041769349300729,560547498,ASSETS HELD UNDER SPLIT-INTEREST AGREEMENT,82647
202041769349300729,560547498,FUNDS HELD IN TRUST,1993562
202101309349302485,542116256,DEFERRED OUTFLOWS - PENSION,2268382
202101309349302485,542116256,DUE FROM BUILDING COMPANY,93102
202003219349321590,200403281,LIBRARY COLLECTION,59783
202003219349321590,200403281,MISC,1388
202032799349301303,954452381,SECURITY DEPOSIT,23764
202023189349308802,452494161,Security Deposit,10000
202033189349306133,942881684,DEPOSITS,25500
202031069349301728,730555460,INTERCO RECEIVABLE,3314072
202031069349301728,730555460,ASSETS RESTRICTED FOR LONG TER,3710566
202031069349301728,730555460,FUNDS HELD BY OTHERS,1278205
202031069349301728,730555460,LONG TERM INVESTMENTS,17575909
202031839349302108,952988463,Related Party Receivables,4286925
202041959349302114,370661227,CAPITAL CAMPAIGN INVESTMENT,41660
202041959349302114,370661227,CHARITABLE REMAINDER TRUST - INVESTMENTS,918124
202041959349302114,370661227,LIFE INSURANCE - CSV,65505
202041959349302114,370661227,MUSEUM & ARTS COLLECTION,1747306
202013219349308856,201612906,RESTRICTED DEPOSITS AND RESERVES,62598762
202013219349308856,201612906,DUE FROM LONGWOOD,2622935
202013219349308856,201612906,ACCRUED INTEREST RECEIVABLE,758735
202013219349308856,201612906,INTEREST DERIVATIVES,83359
