object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,ExclsnAmt
201503079349301720,381359083,PE CENTER USER FEE,713940,107779,107779
201543149349301819,620511454,OTHER SOURCES,611710,67528,67528
201513089349300746,470418641,MISC STUDENT CHARGES,611710,1917300,1917300
201513089349300746,470418641,MISCELLANEOUS REVENUE,611710,341003,341003
201543159349300809,560529972,MISCELLANEOUS,532000,2716488,2582815,133673
201542599349300409,541954969,Consulting Income,611710,53763,53763
201542599349300409,541954969,Other Income,900099,12671,12671
201542599349300814,616002351,Actuarial adjustments,611710,-13790,-13790
201542599349300814,616002351,Net appreciation (depr,611710,-533866,-533866
201542549349300204,350715530,GOLF COURSE INCOME,900099,369821,369821
201522879349301212,350869063,COLLECTION COSTS RECOVE,900099,15759,15759
201522879349301212,350869063,VENDING,900099,8875,8875
201523009349300737,237050293,OTHER REVENUE,900099,1020,1020
201522879349301422,344429091,INVESTMENT INCOME FROM K-1,523000,333812,333812
201522879349300727,452586013,LAUNDRY INCOME,611710,850,850
201522879349300727,452586013,ANNUAL RENTAL INCOME F,611710,500,500
201522879349300727,452586013,T-SHIRT PURCHASE,611710,30,30
201542609349300404,362919340,OTHER REVENUE,20785,20785
201533009349300718,750917417,Other Income,900099,38693,38693
201522969349300432,232215278,GOVERNMENT ADMIN FEES,900099,1895,1895
201522969349300432,232215278,VENDING & APPAREL COMMISSIONS,900099,927,927
201522969349300432,232215278,MISCELLANEOUS REVENUE,900099,91,91
201542889349301604,660496239,STUDENT FEES,900099,10416,10416,0,0
201542889349301604,660496239,PROFESSIONAL EDUCATION AND COACHING FEES,900099,70,70,0,0
201502889349300345,240795439,MISCELLANEOUS (BINGHAM,611710,73066,73066
201502889349300345,240795439,MISCELLANEOUS,611710,30733,30733
201512789349300866,770495799,Miscellaneous income,900099,221,0,0,221
201542759349300634,020344073,UNREALIZE GAIN ON BENE. TRUST,6353,6353
201542759349300634,020344073,GAIN ON INVESTMENTS,173,173
201502859349300720,630329409,OTHER REVENUE,900099,1051644,1051644
201502859349300720,630329409,SECURITY SERVICE REVENUE,812900,23400,23400
201502859349300720,630329409,TELEPHONE SERVICE,812900,6086,6086
201533029349301343,561388743,MISCELLANEOUS,13873,13873
201533029349301343,561388743,RENTAL INCOME,1500,1500
201533029349301343,561388743,INCREASE IN INSURANCE CSV,331,331
201503179349307680,620476661,FORT SANDERS NURSING SUPPLEMENT,611600,409650,409650
201513519349300001,560554199,DUES,713940,2673,2673
201503179349300525,201612906,MISCELLANEOUS INCOME,531390,6252,6252
201502869349300700,710236867,MISCELLANEOUS - EXEMPT,346645,346645
201502869349300700,710236867,MISCELLANEOUS - EXCLUDED,110578,110578
201502869349300700,710236867,JP MORGAN WORKING INTEREST,211110,1549,1549
201503209349313205,620789275,OTHER INCOME,900099,138786,138786
201503279349300010,941339635,BOOKSTORE,451211,31888,31888
201503419349300000,263453472,REBATE,900099,591,591
201513209349304156,470424785,Other revenue,900099,39104,39104
201503209349316020,116039909,PTR/S CORP GROSS INCOM,900099,63541,63541
201503209349316020,116039909,CAPITAL GAIN DISTRIBUT,900099,267,267
201503209349305010,236408773,MISC REVENUE,611710,29,29
201523519349300802,510205293,MISC FEES & REVENUE,611600,3721,3721
201513209349302236,591407629,CHOIR AND GOSPEL TEAM REVENUE,96108,96108
201513209349302236,591407629,MISCELLANEOUS INCOME,31035,31035
201523179349307722,390806325,SUMMER CONFERENCES,721000,364449,364449
201523179349307722,390806325,OTHER INCOME,900099,161870,161870
