object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201533179349305948,620497990,Tuition and fees,611710,40821645,40821645
201533179349305948,620497990,Auxiliary enterprises,611710,6760561,6760561
201533179349305948,620497990,Other program revenue,611710,265436,265436
201533209349302238,200683049,TUITION AND RELATED FEES,611600,715836,715836
201533179349309518,476025325,TUITION,611310,113450,113450
201533179349309518,476025325,DORM RENT,611310,38200,38200
201533179349309518,476025325,ONLINE TUITION - K ELE,611310,7350,7350
201533179349309518,476025325,RECRUITMENT & MISSIONS,611310,6433,6433
201533179349309518,476025325,LIBRARY FEE,611310,4785,4785
201503079349301720,381359083,STUDENT TUITION AND FEES,611600,45816662,45816662
201503079349301720,381359083,STUDENT ROOM AND BOARD,611710,11857947,11857947
201503079349301720,381359083,STUDENT PROGRAM FEES,611710,2850453,2850453
201503079349301720,381359083,STUDENT RECRUITING,611710,379804,379804
201543149349301819,620511454,TUITION,611600,3581962,3581962
201543149349301819,620511454,BOARD REVENUE,611600,418291,418291
201543149349301819,620511454,STUDENT HOUSING,611600,319403,319403
201513089349300746,470418641,TUITION & FEES,611600,3785661,3785661
201523209349309137,591092732,TUITION & FEES,611310,78307467,78307467
201523209349309137,591092732,AUXILIARY,611310,10454870,10454870
201523209349309137,591092732,MISC SERVICE CHGES/ACCOUNT FEES,611310,462633,462633
201543159349300809,560529972,TUITION AND FEES,900099,66572885,66572885
201533169349302013,391620530,STUDENT TUTIION & FEES,611710,8200403,8200403
201533169349302013,391620530,LIBRARY,611710,329760,329760
201533169349302013,391620530,OTHER REVENUE,611710,10496,10496
201542599349300409,541954969,Professional Development,611430,4570,4570
201542599349300409,541954969,Student Tuition,611600,10631536,10631536
201542599349300814,616002351,"Tuition, fees, room an",611710,432183,432183
201542599349300814,616002351,Auxiliary enterprises,611710,274602,274602
201542599349300814,616002351,Other sources,611710,78175,78175
201542549349300204,350715530,TUITION AND FEES,611710,55467839,55467839
201542549349300204,350715530,AUXILIARY INCOME,900099,10934195,10617233,316962
201542549349300204,350715530,ATHLETIC INCOME,900099,504589,504589
201542549349300204,350715530,CONFERENCE AND EVENTS,900099,316962,127649,189313
201542549349300204,350715530,MISCELLANEOUS INCOME,452186,452186
201543019349300834,237360416,CONTRACT INCOME-UPHS MQT,611600,2120451,2120451
201543019349300834,237360416,CONTRACT INCOME-MSU,611600,679553,679553
201543019349300834,237360416,SERVICE FEE INCOME,611600,45612,45612
201543019349300834,237360416,RESIDENCY ACTIVITY FUND,611600,4851,4851
201512879349301636,410694721,TUITION AND FEES,611710,81988062,81988062
201512879349301636,410694721,AUXILIARY ENTERPRISES,711210,9354953,9354953
201512879349301636,410694721,OTHER STUDENT SERVICES,900099,1410513,1323125,87388
201512879349301636,410694721,EDUCATIONAL ACTIVITIES,611710,404543,404543
201522879349301212,350869063,STUDENT TUITION & FEES,611710,17095743,17095743
201522879349301212,350869063,RESIDENCE HALLS & CAFETERIA,721310,1620180,1620180
201522879349301212,350869063,OTHER,900099,75508,75508
201523009349300737,237050293,PROPERTY MANAGEMENT,561700,116208,116208
201523009349300737,237050293,FOOD SERVICE VENDING,561700,92045,92045
201522879349301422,344429091,TUITION AND FEES,611710,95221347,95221347
201522879349301422,344429091,AUXILIARY,611710,21607449,21607449
201522879349301422,344429091,OTHER INCOME,900099,1008912,1008912
201522879349300727,452586013,TUITION INCOME,611710,222245,222245
201522879349300727,452586013,RENTAL INCOME,611710,52700,52700
201522879349300727,452586013,ACTIVITIES FEE INCOME,611710,10350,10350
201522879349300727,452586013,BOOK SALES INCOME,611710,4765,4765
201542609349300404,362919340,PROGRAM SERVICE REVENUE -EXCL,1466504,1466504
201533009349300718,750917417,Tuition and Fees,611600,8276721,8276721
201533009349300718,750917417,Sales and services of auxiliary enterprises,611710,2524740,2524740
201522969349300432,232215278,TUITION,900099,4550044,4550044
201522969349300432,232215278,APARTMENT RENT,531110,216368,216368
201522969349300432,232215278,PROG.SERV.REVENUE-RELATED-990,900099,8879,8879
201543029349301494,462711511,Tuition and Fees Reven,611710,185383,185383
201543029349301494,462711511,Clinic Revenue,621400,23815,23815
201542969349300834,620548917,TUITION AND FEES,541900,16571976,16571976
201542969349300834,620548917,EDUCATIONAL DEPT,541900,6216999,6216999
201542969349300834,620548917,STUDENT LOAN INTEREST REVENUE,541900,366376,366376
201542889349301604,660496239,TUITION AND ENROLLMENT,900099,300,300,0,0
201503019349301075,150532053,TUITION & FEES,611600,223834,223834
201502889349300345,240795439,TUITION & FEES,611710,7138808,7138808
201502889349300345,240795439,HOUSING/FOOD SERVICES,611710,407572,407572
201502889349300345,240795439,AUXILIARY PROGRAMS-CON,611710,169790,169790
201512789349300866,770495799,Ticket Sales and Seminars,900099,299100,299100,0,0
201542789349300519,620535755,TUITION AND FEES,611710,26225693,26225693
201542789349300519,620535755,AUXILIARY ENTERPRISES,611710,4140114,4140114
201542789349300519,620535755,OTHER INCOME,611710,417583,197201,220382
201542789349300519,620535755,SUMMER CAMPS,611710,318288,318288
201542789349300519,620535755,STUDENT AID,611710,118297,118297
201542759349300634,020344073,TUITION AND FEES,2440728,2440728
201542759349300634,020344073,ROOM AND BOARD,835599,835599
201542759349300634,020344073,AUXILIARY ENTERPRISES,211705,211705
201542759349300634,020344073,COMMUNITY RELIGIOUS ED. PROG.,5771,5771
201502819349300415,592961536,OTHER FEES,366409,366409
201502819349300415,592961536,Room and board,1734880,1734880
201502819349300415,592961536,Tuition and fees,5477314,5477314
201502819349301100,161476258,Student Tuition and Fees,611710,89416295,89416295,0,0
201502819349301100,161476258,Auxilliary Enterprises,611710,11563002,11528002,35000,0
201502859349300720,630329409,TUITION & FEES,900099,46310493,46310493
201502859349300720,630329409,AUXILIARY ENTERPRISES,900099,4469532,4469532
201532829349300648,750855633,Tuition and Fees,611600,21911982,21911982
201532829349300648,750855633,Auxiliary Enterprises,611710,2063419,2063419
201532829349300648,750855633,Other Revenues,611710,912907,912907
201532829349300648,750855633,Athletic Events,611710,195078,195078
201532829349300648,750855633,Bookstore,611710,2342,2342
201502859349300300,760090602,school fees,611600,546783,546783
201533029349301343,561388743,TUITION,530614,530614
201503179349307680,620476661,TUITION,624310,20175808,20175808
201503179349307680,620476661,FOOD SERVICE,722210,1550551,1550551
201503179349307680,620476661,RESIDENCE HALL,721310,888456,888456
201503179349307680,620476661,BOOKSTORE,451211,50081,50081
201503179349307680,620476661,CAMPS AND CONFERENCES,900099,3850,3850
201522589349301212,237385525,"Tuition, net",611600,865605,865605
201522589349301212,237385525,Seminars,611710,5295,5295
201522589349301212,237385525,Other,13793,13793
201522829349300632,381443369,Tuition fee revenue,611710,41823651,41823651
201522829349300632,381443369,Organized activity revenue,611710,1112551,1112551
201522829349300632,381443369,Radio auxiliary revenue,611710,551701,551701
201522829349300632,381443369,Other auxiliary revenue,611710,7262497,7262497
201513519349300001,560554199,STUDENT TUITION AND FE,611310,30690611,30690611
201513519349300001,560554199,AUXILIARY ENTERPRI,611310,9750600,9750600
201503179349300525,201612906,RENT,531110,10038444,10038444
201503179349300525,201612906,PARKING,531190,137067,137067
201503179349300525,201612906,SALE OF PROPERTY,531390,20049,20049
201503209349304355,274188208,TUITION,611430,2256132,2256132
201502869349300700,710236867,STUDENT TUITION AND FEES,900099,15761566,15761566
201503209349301605,262664906,Conservation programs,110000
201503209349313205,620789275,TUITION - MASTER'S PRO,611310,3579280,3579280
201503209349313205,620789275,COUNSELING PROGRAM FEE,541900,1333004,1333004
201503209349313205,620789275,CONVERSATIONS PUBLICAT,511120,73875,73875
201503279349300010,941339635,TUITION,611310,23355896,23355896
201503279349300010,941339635,RESIDENCE HALLS AND MEALS,611310,3212800,3212800
201503279349300010,941339635,OTHER,611310,146980,146980
201503419349300000,263453472,ACADEMIC INCOME,611600,116643,116643
201503179349307750,810661056,ASSESSMENT FEES,561000,66094980,66094980
201513209349304156,470424785,Tuition and fees,611310,13723050,13723050
201513209349304156,470424785,Auxiliary enterprises,611710,2137595,2137595
201503209349316020,116039909,TUITION,611600,275201,275201
201503209349305010,236408773,ROOM & BOARD,721310,28001,28001
201503209349305010,236408773,RENTAL INCOME,532000,338500,338500
201503499349300910,237410494,TUITION AND REGISTRATIONS,1403164,1403164
201503429349300415,381360586,Tuition,611310,125735577,125735577,0,0
201503429349300415,381360586,Auxiliary Enterprises,611710,8572752,8572752,0,0
201513459349300336,060646520,TUITION AND FEES,900099,28733050,28733050
201513459349300336,060646520,STUDENT SUPPORT SERVICE,611710,2633300,2633300
201513459349300336,060646520,ATHLETIC MEMBERSHIPS,713940,96430,96430
201513459349300336,060646520,MISCELLANEOUS,611710,76070,76070
201523519349300802,510205293,TUITION & FEES,611600,62936,62936
201503209349313585,830306202,TUITION INCOME,673654,673654
201513179349302526,311813143,LEASE INCOME,531120,418664,418664
201513179349302526,311813143,RENT INCOME,532000,350,350
201503209349305875,461912064,Auxillary Enterpriswes,611710,294249,294249,0,0
201503209349312390,870641318,Tuition and Fees,611310,89294,89294,0,0
201503209349312390,870641318,Seminar,611310,1980,1980,0,0
201513209349302236,591407629,COLLEGE TUITION AND FEES,829061,829061
201513209349302236,591407629,ACADEMY TUITION AND FEES,807220,807220
201513209349302236,591407629,FOOD CENTER REVENUE,257657,257657
201513209349302236,591407629,STUDENT HOUSING,90981,90981
201513209349302236,591407629,FACULTY HOUSING,52975,52975
