object_id,ein,OrgnztnBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,FndrsrActvtyInf_ActvtyTxt,FndrsrActvtyInf_FndrsrCntrlOfFndsInd,FndrsrActvtyInf_GrssRcptsAmt,FndrsrActvtyInf_RtndByCntrctrAmt,FndrsrActvtyInf_NtTOrgnztnAmt
201913519349300816,750827421,Todd Dexter Associates,17950 Preston Rd Ste 340,Dallas,TX,75252,Process Direct Mail,false,1257582,428826,828756
201913519349300816,750827421,Next After LLC,6175 Main St Ste 385,Frisco,TX,750343442,Consultation,false,546794,160598,386196
201913519349300816,750827421,Westfall Group Inc,1300 Peachtree Indust Blvd Ste 3216,Suwanee,GA,30024,Event Consulting,false,729910,221612,508298
202020979349300507,221487354,EAB GLOBAL INC,DIG & DIR. MAIL MKT.,false,102291,-102921
202020979349300507,221487354,PENTERA INC,DIG & DIR. MAIL MKT.,false,29899,-29899
202020979349300507,221487354,GT MARKETING LTD,DIR MAIL MKT.,false,850,-850
202041979349305184,042103542,REICHENBACK CONSULTING LLC,FUNDRAISING ADVICE,false
201912849349300401,381443369,Kennari Consulting,401 Hall St SW Ste 309,Grand Rapids,MI,49503,consulting,false,16390
202042249349300309,980391928,USA FRIENDS OF TEL AVIV UNIVERSI,FUNDRAISING,true,26913000,3249408,23663592
202042249349300309,980391928,ISRAEL FRIENDS OF TEL AVIV UNIVERSI,FUNDRAISING,true,18543500,899475,17644025
202042249349300309,980391928,CANADA FRIENDS OF TEL AVIV UNIVERSI,FUNDRAISING,true,13454000,506946,12947054
202042249349300309,980391928,UNITED KINGDOM FRIENDS OF TAU,FUNDRAISING,true,4122900,573778,3549122
202042249349300309,980391928,FRANCE FRIENDS OF TEL AVIV UNIVERSI,FUNDRAISING,true,2386100,146648,2239452
202042249349300309,980391928,ARGENTINA FRIENDS OF TEL AVIV UNIVE,FUNDRAISING,true,1025000,97502,927498
202042249349300309,980391928,AUSTRALIA FRIENDS OF TEL AVIV UNIVE,FUNDRAISING,true,424600,128005,296595
202042249349300309,980391928,MEXICO FRIENDS OF TEL AVIV UNIVERSI,FUNDRAISING,true,95900,18651,77249
202042249349300309,980391928,BRAZIL FRIENDS OF TEL AVIV UNIVERSI,FUNDRAISING,true,235100,36307,198793
202042249349300309,980391928,SWITZERLAND FRIENDS OF TEL AVIV UNI,FUNDRAISING,true,537000,38725,498275
202001149349301525,951641455,EAB,1920 E PARHAM ROAD,RICHMOND,VA,23228,ANNUAL GIVING CAMPAIGN FUNDRAISING,0,201664,86961,114703
202040949349300014,560556753,ACTIVE INTERNET TECHNOLOGIES,655 WINDING BROOK DR,GLASTONBURY,CT,06033,DONOR WEBSITE MAINTENANCE,0,0,6800,-6800
202040949349300014,560556753,CRESCENDO INTERACTIVE INC,110 CAMINO RUIZ,CAMARILLO,CA,93012,DONOR WEBSITE DESIGN,0,0,4150,-4150
202040949349300014,560556753,JENKINS IMAGING INC,2351 29TH AVE S,SEATTLE,WA,98144,PHOTOGRAPHY,0,0,8433,-8433
202040949349300014,560556753,JACKSON CREATIVE LLC,219 1ST AVE SW,HICKORY,NC,28602,ADVANCEMENT VIDEO,0,0,2729,-2729
202040949349300014,560556753,WILDFIRE LLC,709 N MAIN ST,WINSTONSALEM,NC,27101,FUNDRAISING MAILING SERVICE,0,0,2495,-2495
202021399349300237,540573801,FMB ADVERTISING,145 S GAY STREET,KNOXVILLE,TN,37902,MAIL / PHONE FUNDRAISER,0,0,0,105600
202021399349300237,540573801,JESSICA C HASTINGS AKA COLEMAN HAS,905 TURKEY FOOT ROAD,LEXINGTON,KY,40502,PHONE FUNDRAISER,0,0,0,16410
202041419349301659,951699394,Grenzebach Glier & Associates Inc,200 S Michigan Ave Suite 2100,Chicago,IL,60604,Fundraising consulting/capital campaign exploration,0,0,77087,-77087
202021489349300987,420703280,THE STOCKADE GROUP,650 FRANKLIN ST,SCHENECTADY,NY,12305,OUTSOURCE OF PHONATHON,0,16075,11500,4575
201933129349301853,042104451,DEVELOPMENT GUILD,233 HARVARD STREET SUITE 107,BROOKLINE,MA,02446,CONSULTING,0,0,28045,-28045
201923199349305957,231352008,TSM Donor Engagement Team Inc,155 Commerce Drive,Freedom,PA,15042,Phone solicitation,0,82880,230903,-148023
202021959349303612,050258810,MARIA LAWRENCE,651A COOPER HILL ROAD,MAPLEVILLE,RI,02839,FUNDRAISING CONSULTING,false,49514
202021959349303612,050258810,DANIEL ALLENBY AGN,PO BOX 201,MEDFIELD,MA,02052,ANNUAL GIVING,false,31945
202021959349303612,050258810,WORKING PHILANTHROPY,3425 BANNERMAN RD SUITE 105-175,TALLAHASSEE,FL,32312,PROSPECT RESEARCH,false,15300
