object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt,OthrSpprtAmt
201900289349200420,952492344,University of California SB,956006145,5,false,0,0
201900519349300615,237133739,City of Arlington Texas,756004503,6,1,0,31747111
201901009349301060,911838771,Metropolitan Community College,470557228,6,1,0,0
201940749349301604,760765625,KANSAS STATE UNIVERSITY,480771751,6,0,0,0
201910239349300021,271870108,ASPIRE PUBLIC SCHOOLS,943311088,2,1,0,0
201900589349300105,202394946,Puritan Ref Theo Semin,202394341,2,true,45215,0
201900429349301130,800957275,COE COLLEGE,420686467,2,1,298335,0
201803139349303445,980150041,METROPOLITAN ANDREY SHEPTYTSKY INST ST PAUL UNIV OTTAWA ONTARIO CANADA,000000000,2,1,327443,0
201901359349310525,942514843,UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,943067788,2,false,18000,0
201913059349201106,166073701,ROCHESTER INSTITUTE OF TECHNOLOGY,160743140,2,false,0,0
201940679349300414,201415351,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,856000411,2,1,5000,4419
201932739349301758,760765625,KANSAS STATE UNIVERSITY,480771751,6,0,0,0
201900679349300735,562244952,CENTRAL PIEDMONT COMMUNITY COLLEGE,560797174,6,1,34716,0
201813199349313631,137096544,University of Virginia,546001796,5,true,60000,0
201813199349316516,472553196,University of Wisconsin School of Medicine and Public Health,391805963,6,0,0,0
201813199349316516,472553196,University of Wisconsin Hospitals and Clinics,391835630,3,0,97891160,0
201813199349316516,472553196,University of Wisconsin Medical Foundation,391824445,10,0,142750129,0
201843179349304394,201612906,LONGWOOD UNIVERSITY,546001788,6,true,0,0
201803199349304585,550777066,ALDERSON BROADDUS UNIVERSITY,550357072,2,1,259545,0
201803199349304585,550777066,BETHANY COLLEGE,550356985,2,1,279169,0
201803199349304585,550777066,DAVIS & ELKINS COLLEGE,550357021,2,1,206793,0
201803199349304585,550777066,EMORY & HENRY COLLEGE,540505892,2,1,235314,0
201803199349304585,550777066,UNIVERSITY CHARLESTON,550357039,2,1,394759,0
201803199349304585,550777066,WV WESLEYAN COLLEGE,550357056,2,1,291652,0
201803199349304585,550777066,TUSCULUM COLLEGE,620484185,2,1,408592,0
201803199349304585,550777066,WILLIAM PEACE UNIVERSITY,560529988,2,1,402427,0
201803199349304585,550777066,STILLMAN COLLEGE,630315935,2,1,25000,0
201803199349304585,550777066,WHEELING JESUIT UNIVERSITY,550394213,2,1,25000,0
201803199349312665,550753754,Charleston Area Medical Center Inc,550526150,3,1,0,0
201803189349304380,264468758,UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER INC,300541840,10,true,0,0
201901339349306105,570933257,CLEMSON UNIVERSITY,576000254,6,1,0,0
201901339349306105,570933257,CLEMSON UNIVERSITY FOUNDATION,570426335,5,1,177021,0
201911359349301371,010802914,Cal State UnivChannel Islands,912153805,5,true,0,0
201911359349304961,593086453,UNIVERSITY OF CENTRAL FLORIDA,592924021,5,1,10882121,0
201911349349307581,200118161,FRANCIS MARION UNIVERSITY,FRANCIS MARION UNIVERSITY,570522624,6,true,565823,0
201901339349306185,311146505,UNIVERSITY OF KENTUCKY,616001218,6,true,246869,0
201931359349301093,381870664,COVENANT HEALTHCARE,COVENANT HEALTHCARE,383369443,3,true,0,0
201931359349301093,381870664,ST MARY'S MEDICAL CENTER,ST MARY'S MEDICAL CENTER,380997730,3,true,0,0
201931359349301093,381870664,CENTRAL HEALTH ADVANCEMENT SOLUTIONS,CENTRAL HEALTH ADVANCEMENT SOLUTIONS,453862232,5,true,0,0
201931359349306268,550713410,GLENNVILLE STATE COLLEGE,556000779,2,1,0,0
201941229349200049,166073701,ROCHESTER INSTITUTE OF TECHNOLOGY,160743140,2,false,0,0
201911439349300721,550665758,WEST VIRGINIA UNIV,556000842,5,1,141762331,0
201911419349300526,470991892,WILMINGTON COLLEGE,310537514,2,true,0,0
201921349349308892,320152376,Pitzer College,952261113,2,1,0,0
201932149349300703,541744996,OLD DOMINION UNIVERSITY,546000884,6,true,0,191860
201901349349308200,721304948,LSU HEALTH SCIENCES CENTER - NEW ORLEANS,726087770,6,1,87688057,0
201941349349303819,237126805,UNIVERSITY OF NEW MEXICO,856000642,6,1,130020,2477364
201823189349306987,237050293,KIRKWOOD COMMUNITY COLLEGE,420924685,2,1,400000,218773
201813559349200221,522247526,SALISBURY UNIVERSITY FOUNDATION INC,521127396,7,1,0,0
201813489349300941,134356799,FLORIDA STATE UNIVERSITY,591961248,2,1,687150,0
201921299349301357,570967350,UNIVERSITY OF SOUTH CAROLINA,576001153,2,true,167456,0
201921279349302022,452543410,College Track,943279613,7,false,16457,0
201833199349318843,270869586,ASPIRE PUBLIC SCHOOLS,943311088,2,1,100000,172029
201833199349318843,270869586,PARTNERSHIPS TO UPLIFT COMMUNITIES,743102820,2,1,100000,172029
201833199349318843,270869586,STRIVE PREPARATORY SCHOOLS,202562193,2,1,100000,172029
201833199349318843,270869586,THE NOBLE NETWORK OF CHARTER SCHOOLS,364241970,2,1,25000,43007
201833199349318843,270869586,PUC-LVT,743102820,2,1,100000,172029
201910169349300541,261999384,PURDUE RESEARCH FOUNDATION,351052049,7,true,0,0
201910169349300541,261999384,PURDUE UNIVERSITY,356002041,2,true,0,0
201921339349204537,202928582,SANTA FE COMMUNITY COLLEGE,850311615,6,1,0,0
201941199349300914,331127376,UNCC,560791228,6,1,951,0
201901899349300745,952988463,CU-KC,446000294,2,true,1461580,0
201941309349300649,820538478,COMM COLLEGE OF BALTIMORE CO,521977456,5,false,25000,0
201941309349300649,820538478,GOUCHER COLLEGE,520591613,5,false,32500,0
201941309349300649,820538478,JOHNS HOPKINS UNIVERSITY,520595110,5,false,32500,0
201941309349300649,820538478,LOYOLA UNIVERSITY MARYLAND,520591623,5,false,32500,0
201941309349300649,820538478,MD INSTITUTECOLLEGE OF ART,520591661,5,false,32500,0
201941309349300649,820538478,MORGAN STATE UNIVERSITY,526002033,5,false,36000,0
201941309349300649,820538478,NOTRE DAME OF MARYLAND UNIVERSITY,520591641,5,false,29000,0
201941309349300649,820538478,STEVENSON UNIVERSITY,520705392,5,false,32500,0
201941309349300649,820538478,TOWSON UNIVERSITY,526002033,5,false,32500,0
201941309349300649,820538478,UNIVERSITY OF BALTIMORE,526002033,5,false,32500,0
201941309349300649,820538478,UNIVERSITY OF MD BALTIMORE,526002033,5,false,28500,0
201941309349300649,820538478,UMBC,526002033,5,false,32499,0
201941309349300649,820538478,COPPIN STATE UNIVERSITY,526002033,5,false,25000,0
201941309349300649,820538478,UNIVERSITY OF MD COLLEGE PARK,526002033,5,false,25000,0
201941339349307469,264359927,KYUSHU UNIVERSITY,JAPANESE UNIVERSITY,981083876,2,true,35107,4093
201931629349301003,521932054,ABILENE CHRISTIAN UNIVERSITY GRADUATE SCHOOL OF THEOLOGY,750851900,2,1,0,0
201931629349301003,521932054,ACADIA DIVINITY COLLEGE,118776723,2,1,0,0
201931629349301003,521932054,AMBROSE SEMINARY,872804406,2,1,0,0
201931629349301003,521932054,AMERICAN BAPTIST SEMINARY OF THE WEST,941156250,2,1,10000,0
201931629349301003,521932054,ANABAPTIST MENNONITE BIBLICAL SEMINARY,351902148,2,1,0,0
201931629349301003,521932054,ANDERSON UNIVERSITY SCHOOL OF THEOLOGY,350867954,2,1,0,0
201931629349301003,521932054,AQUINAS INSTITUTE OF THEOLOGY,431233793,2,1,0,0
201931629349301003,521932054,ASBURY THEOLOGICAL SEMINARY,610445823,2,1,0,0
201931629349301003,521932054,ASHLAND THEOLOGICAL SEMINARY,340714626,2,1,0,0
201931629349301003,521932054,ASSEMBLIES OF GOD THEOLOGICAL SEMINARY,431002542,2,1,9605,0
201931629349301003,521932054,ASSOCIATED CANADIAN THEOLOGICAL SCHOOLS (ACTS),776986697,2,1,0,0
201931629349301003,521932054,ATHENAEUM OF OHIO,310537076,2,1,0,0
201931629349301003,521932054,ATLANTIC SCHOOL OF THEOLOGY,130400617,2,1,0,0
201931629349301003,521932054,AZUSA PACIFIC SEMINARY,951744369,2,1,0,0
201931629349301003,521932054,AUSTIN PRESBYTERIAN THEOLOGICAL SEMINARY,741143056,2,1,0,0
201931629349301003,521932054,B H CARROLL THEOLOGICAL INSTITUTE,753116657,2,1,10000,0
201931629349301003,521932054,BAPTIST BIBLE COLLEGE,440567840,2,1,0,0
201931629349301003,521932054,BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY,750959998,2,1,0,0
201931629349301003,521932054,BETHANY THEOLOGICAL SEMINARY,352092595,2,1,0,0
201931629349301003,521932054,BETHEL SEMINARY OF BETHEL UNIVERSITY,410708577,2,1,0,0
201931629349301003,521932054,BEXLEY SEABURY SEMINARY FEDERATION,362169186,2,1,0,0
201931629349301003,521932054,BOSTON COLLEGE SCHOOL OF THEOLOGY,042103545,2,1,10000,0
201931629349301003,521932054,BOSTON UNIVERSITY SCHOOL OF THEOLOGY,042103547,2,1,0,0
201931629349301003,521932054,BRITE DIVINITY SCHOOL,237121060,2,1,0,0
201931629349301003,521932054,BYZANTINE CATHOLIC SEMINARY OF SS CYRIL & METHODIUS,251141842,2,1,0,0
201931629349301003,521932054,CALVIN THEOLOGICAL SEMINARY,383001876,2,1,10000,0
201931629349301003,521932054,CAMPBELL UNIVERSITY DIVINITY SCHOOL,560529940,2,1,0,0
201931629349301003,521932054,CANADIAN SOUTHERN BAPTIST SEMINARY,132291642,2,1,0,0
201931629349301003,521932054,CANDLER SCHOOL OF THEOLOGY OF EMORY UNIVERSITY,580566256,2,1,0,0
201931629349301003,521932054,CAREY THEOLOGICAL COLLEGE,118838432,2,1,0,0
201931629349301003,521932054,CATHOLIC THEOLOGICAL UNION,362647967,2,1,0,0
201931629349301003,521932054,CENTRAL BAPTIST THEOLOGICAL SEMINARY,480547725,2,1,10000,0
201931629349301003,521932054,CHICAGO THEOLOGICAL SEMINARY,362167014,2,1,0,0
201931629349301003,521932054,CHINA EVANGELICAL SEMINARY NORTH AMERICA,954366755,2,1,0,0
201931629349301003,521932054,CHRISTIAN THEOLOGICAL SEMINARY,351045939,2,1,0,0
201931629349301003,521932054,CHURCH DIVINITY SCHOOL OF THE PACIFIC,941156508,2,1,0,0
201931629349301003,521932054,CLAREMONT SCHOOL OF THEOLOGY,951904355,2,1,0,0
201931629349301003,521932054,COLGATE ROCHESTER CROZER DIVINITY SCHOOL,160743916,2,1,0,0
201931629349301003,521932054,COLUMBIA THEOLOGICAL SEMINARY,580566165,2,1,0,0
201931629349301003,521932054,CONCORDIA LUTHERAN SEMINARY,106966575,2,1,0,0
201931629349301003,521932054,CONCORDIA SEMINARY ST LOUIS,430655869,2,1,10000,0
201931629349301003,521932054,CONCORDIA THEOLOGICAL SEMINARY,370673478,2,1,0,0
201931629349301003,521932054,CORBAN UNIVERSITY SCHOOL OF MINISTRY,941312349,2,1,0,0
201931629349301003,521932054,COVENANT THEOLOGICAL SEMINARY,430863116,2,1,0,0
201931629349301003,521932054,DALLAS THEOLOGICAL SEMINARY,750827421,2,1,0,0
201931629349301003,521932054,DENVER SEMINARY,840421879,2,1,0,0
201931629349301003,521932054,DOMINICAN HOUSE OF STUDIES,314379535,2,1,0,0
201931629349301003,521932054,DREW UNIVERSITY THEOLOGICAL SCHOOL,221487164,2,1,0,0
201931629349301003,521932054,DUKE UNIVERSITY DIVINITY SCHOOL,560532129,2,1,0,0
201931629349301003,521932054,EARLHAM SCHOOL OF RELIGION,350868073,2,1,10000,0
201931629349301003,521932054,EASTERN MENNONITE UNIVERSITY,540575812,2,1,0,0
201931629349301003,521932054,ECUMENICAL THEOLOGICAL SEMINARY,382385150,2,1,0,0
201931629349301003,521932054,EDEN THEOLOGICAL SEMINARY,430654855,2,1,0,0
201931629349301003,521932054,EMMANUEL CHRISTIAN SEMINARY AT MILLIGAN COLLEGE,620819352,2,1,0,0
201931629349301003,521932054,EMMANUEL COLLEGE OF VICTORIA UNIVERSITY,108173436,2,1,0,0
201931629349301003,521932054,EVANGELICAL SEMINARY OF PUERTO RICO,660192508,2,1,0,0
201931629349301003,521932054,FRANCISCAN SCHOOL OF THEOLOGY,941745605,2,1,10000,0
201931629349301003,521932054,FRESNO PACIFIC BIBLICAL SEMINARY,941021164,2,1,0,0
201931629349301003,521932054,FULLER THEOLOGICAL SEMINARY,951699394,2,1,0,0
201931629349301003,521932054,GAMMON SCHOOL OF THEOLOGY,580622972,2,1,0,0
201931629349301003,521932054,GARRETT-EVANGELICAL THEOLOGICAL SEMINARY,363232201,2,1,0,0
201931629349301003,521932054,GATEWAY SEMINARY,941294918,2,1,0,0
201931629349301003,521932054,GENERAL THEOLOGICAL SEMINARY,135563022,2,1,0,0
201931629349301003,521932054,GORDON-CONWELL THEOLOGICAL SEMINARY,042463847,2,1,0,0
201931629349301003,521932054,GRACE THEOLOGICAL SEMINARY,350860950,2,1,0,0
201931629349301003,521932054,GRAND CANYON UNIVERSITY COLLEGE OF THEOLOGY,203356009,2,1,0,0
201931629349301003,521932054,GRAND RAPIDS THEOLOGICAL SEMINARY,381443369,2,1,5000,0
201931629349301003,521932054,HARDING SCHOOL OF THEOLOGY,710236896,2,1,0,0
201931629349301003,521932054,HARTFORD SEMINARY,060647016,2,1,5000,0
201931629349301003,521932054,HARVARD DIVINITY SCHOOL,042103580,2,1,0,0
201931629349301003,521932054,HERITAGE THEOLOGICAL SEMINARY,107641581,2,1,0,0
201931629349301003,521932054,HOOD THEOLOGICAL SEMINARY,562231069,2,1,0,0
201931629349301003,521932054,HOUSTON GRADUATE SCHOOL OF THEOLOGY,760057699,2,1,0,0
201931629349301003,521932054,HURON UNIVERSITY COLLEGE,118965714,2,1,0,0
201931629349301003,521932054,ILIFF SCHOOL OF THEOLOGY,840404244,2,1,10000,0
201931629349301003,521932054,INTER-AMERICAN ADVENTIST THEOLOGICAL SEMINARY (IATS),660727703,2,1,0,0
201931629349301003,521932054,INTERDENOMINATIONAL THEOLOGICAL CENTER,580814544,2,1,0,0
201931629349301003,521932054,INTERNATIONAL THEOLOGICAL SEMINARY,953890724,2,1,0,0
201931629349301003,521932054,JAMES AND CAROLYN MCAFEE SCHOOL OF THEOLOGY OF MERCER UNIVERSITY,585066167,2,1,0,0
