object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201443179349303604,231352008,Evans Continental LLC,3649 W Road,Signal Mountain,TN,37377,Strategic consulting,166166
201443179349303604,231352008,Allen McLellan,1405 North Red Maple Way,Downingtown,PA,19335,Academic consulting,143808
201443179349303604,231352008,Mercer Inc,PO Box 730182,Dallas,TX,753750182,Investment consulting,137500
201443179349303604,231352008,Dechert LLP,PO Box 7247-6643,Philadelphia,PA,191706643,Legal services,135626
201443179349303604,231352008,Oberon Technologies Inc,PO Box 428,Saline,MI,48176,Academic consulting,120086
201403189349301725,900893455,Martinsburg WV 2012 LLC,6737 W Washington St Suite 3245,Milwaukee,WI,53214,Rent,102079
201443159349302919,042104451,CHARTWELLS DINING SERVICES,PO BOX 417632,BOSTON,MA,022417632,FOOD SERVICE,1807238
201443159349302919,042104451,WRIGHT EXPRESS FINANCIAL SERVICES,33548 TREASURY CENTER,CHICAGO,IL,60694,CREDIT CARD SERVICES,1117399
201443159349302919,042104451,SASAKI ASSOCIATES INC,64 PLEASANT STREET,WATERTOWN,MA,02472,ARCHITECTURAL PLANNING,1045819
201443159349302919,042104451,RIST-FROST SHUMWAY ENGINEERING,71 WATER STREET,LACONIA,NH,03246,ENGINEERING SERVICES,257228
201443159349302919,042104451,COLLIERS INTERNATIONAL NE LLC,160 FEDERAL STREET STE 1100,BOSTON,MA,02110,CONSTRUCTION MANAGEMENT,222090
201443189349301799,410693962,MCGOUGH CONSTRUCTION,2737 FAIRVIEW AVENUE NORTH,ST PAUL,MN,55113,CONSTRUCTION,18894845
201443189349301799,410693962,BON APPETIT MANAGEMENT CO,91337 COLLECTIONS DRIVE,CHICAGO,IL,60603,FOOD SERVICE,5105580
201443189349301799,410693962,NORTHERN TRUST,50 LASALLE STREET,CHICAGO,IL,60603,INVESTMENT CUSTODIAN,1640424
201443189349301799,410693962,WORLD LEARNING INC,KIPLING ROAD PO BOX 676,BRATTLEBORO,VT,05302,STUDY ABROAD PROGRAM,1022944
201443189349301799,410693962,METROPOLITAN MECHANICAL CONTRACTORS INC,7450 FLYING CLOUD DR,EDEN PRAIRIE,MN,55344,MECHANICAL CONTRACTOR,805277
201403529349300205,580566143,Carroll Daniel Construction Co,921 Athens St SE,Gainesville,GA,30501,Construction contractors,3011790
201403529349300205,580566143,Aramark Services Inc,1101 Market Street,Philadelphia,PA,191072988,Food service vendor,1486272
201403529349300205,580566143,Royall & Company,1920 East Parham Rd,Richmond,VA,23228,Student services-WC,835233
201403529349300205,580566143,Aramark Facility Services,1101 Market Street,Philadelphia,PA,191072988,Custodial services,749053
201403529349300205,580566143,Optima Properties LLC,3139 Campus Drive Suite 700,Norcross,GA,30071,Real estate property management,497803
201423529349300412,370661211,CHARTWELLS,91337 COLLECTIONS DRIVE,CHICAGO,IL,606931337,FOOD SERVICE,1937064
201423529349300412,370661211,HYMES CONSTRUCTION,108 EDLEN LANE,JACKSONVILLE,IL,62650,CONSTRUCTION,355539
201423529349300412,370661211,DOYLE PLUMBING AND HEATING CO INC,PO BOX 19046,GREEN BAY,WI,543079046,CONSTRUCTION,345799
201423529349300412,370661211,FRONTIER,603 N AMOS AVENUE,SPRINGFIELD,IL,62707,PHONE SERVICES,273934
201423529349300412,370661211,US BANK TRUST SERVICES,2321 LAKESHORE DRIVE,PEKIN,IL,61554,INVESTMENT FEES,233751
201403469349300145,596046500,ABA TECHNOLOGIES INC,3011 S BABCOCK ST STE 353,MELBOURNE,FL,32901,PROGRAMMING,3790272
201403469349300145,596046500,ELLUCIAN CO LP,2300 MAITLAND CENTER PKWY,MAITLAND,FL,32751,SOFTWARE,1709241
201403469349300145,596046500,CERT GENERAL CONTRACTORS,1120 E PALMETTO AVE,MELBOURNE,FL,32901,CONTRACTING,950715
201403469349300145,596046500,OMNI HEALTHCARE,95 BULLDOG BLVD STE 202,MELBOURNE,FL,32901,HEALTH CENTER,592924
201403469349300145,596046500,WESTBROOK SERVICE CORPORATION,1411 S ORANGE BLOSSOM TRAIL,ORLANDO,FL,328054582,CONTRACTOR,446048
201423219349311822,274967732,PROPHET BRANDING STRATEGY,BRANDING & MARKETING,302759
201423219349311822,274967732,BUZZFEED INC,EVENT HOSTING,200000
201433469349300968,980042539,Compass Group Canada,1907 Oxford Street East,London,Ontario,CA,N5V 4L9,contracted food services,762312
201433469349300968,980042539,Pattison MGM Architectural Services,3434 Regina,Regina,Saskatchewan,CA,S4S 7J9,Construction - new student residence,1396138
201433469349300968,980042539,Ledcor Construction Limited,1105 E Pettigrew Avenue,Regina,SK,CA,S4N 5W1,Rehabilitation of parking lot,794471
201433469349300968,980042539,Westridge Construction Ltd,2090 Saskatchewan Drive,Regina,SK,CA,S4T 1H4,University entrance monument,687161
201433469349300968,980042539,PCL Construction Management Inc,1433 - 1st Avenue,Regina,SK,CA,S4R 8H2,Hall A Construction,28188722
201423429349300102,560547511,CHARTWELLS,501 N MAIN,LOUISBURG,NC,27549,FOOD SERVICE,1470126
201423429349300102,560547511,ANDRUS CONSTUCTION INC,7622 HWY 481,ENFIELD,NC,27823,CONSTRUCTION,374037
201423429349300102,560547511,BLACKBOARD,PO BOX 200957,PITTSBURG,PA,15251,EDUCATIONAL TECHNOLOGY,221604
201423429349300102,560547511,ALLRED MECHNICAL SERVICES,PO BOX 7663,ROCKY MOUNT,NC,27804,HVAC MAINTENANCE,160274
201423429349300102,560547511,VARROW INC,PO BOX 602499,GREENSBORO,NC,27408,TECHNOLOGY,154648
201423519349300952,610660795,CANTEEN SERVICE COMPANY,PO BOX 1785,OWENSBORO,KY,42302,STUDENT DINING,558938
201423519349300952,610660795,LEARNING HOUSE INC,333 GUTHRIE ST SUITE 200,LOUISVILLE,KY,40202,ONLINE COURSES,513858
201423519349300952,610660795,ROYALL & COMPANY,1920 E PARHAM RD,RICHMOND,VA,23228,MARKETING SERVICES,133805
201423519349300952,610660795,GREENWELL CHISHOLM,420 E PARRISH AVENUE,OWENSBORO,KY,42303,PRINTING SERVICES,110559
201423129349300002,566049935,ARAMARK SERVICES INC,PO BOX 198532,ATLANTA,GA,30384,FOOD SERVICE,4123738
201423129349300002,566049935,ROYALL & COMPANY,1920 E PARHAM ROAD,RICHMOND,VA,23228,STUDENT SEARCH,772904
201423129349300002,566049935,HINSON ELECTRIC INC,2200 STAFFORD ST EXT,MONROE,NC,28110,ELECTRICAL WIRING,636304
201423129349300002,566049935,BONITZ CONTRACTING,PO BOX 82,COLUMBIA,SC,29202,CONSTRUCTION,456355
201423129349300002,566049935,T & C FOOTINGS,2302 LANCASTER HIGHWAY,MONROE,NC,28112,CONSTRUCTION,370672
201443189349306249,133705284,BETHEL GOSPEL ASSEMBLY,2-26 EAST 120TH STREET,NEW YORK,NY,10035,LANDLORD,794858
201443189349306249,133705284,BLUE CHIP,BUILDING MAINTENANCE INC 242,WEST TH STREET,NY,10001,HOUSEKEEPING,111815
201443189349306249,133705284,ASSESSMENT TECHNOLOGY INTSTITUTION LLC,7500 W 160TH STREET,STILLWELL,KS,66085,TESTING FOR STUDENTS,105255
201443189349300214,410698301,DONALD HOLM CONSTRUCTION CO INC,3211 WEST 3RD STREET,DULUTH,MN,55806,CONSTRUCTION,402595
201443189349300214,410698301,JAMAR COMPANY,1996 PAYSPHERE CIRCLE,CHICAGO,IL,60674,CONSTRUCTION,355551
201443189349300214,410698301,VOYAGEUR BUS COMPANY,3941 EAST CALVARY ROAD,DULUTH,MN,55803,TRANSPORTATION,266685
201443189349300214,410698301,ROYALL & COMPANY,1920 EAST PARHAM ROAD,RICHMOND,VA,23228,MARKETING,258279
201443189349300214,410698301,EBSCO SUBSCRIPTION SERVICES,1140 SILVER LAKE ROAD,CARY,IL,60013,SUBSCRIPTION SERVICES,242056
201443229349301409,237424429,AMERICAN CONSTRUCTORS,PO BOX 120129,NASHVILLE,TN,37212,CONSTRUCTION FEES,3556386
201443229349301409,237424429,SAGE DINING SERVICE INC,1402 YORK ROAD SUITE 100,LUTHERVILLE,MD,21093,CAFETERIA MANAGEMENT,475773
201443229349301409,237424429,MANUEL ZEITLIN ARCHITECTS,516 HAGAN STREET SUITE 100,NASHVILLE,TN,37203,ARCHITECT FEES,370370
201443229349301409,237424429,CROSS GATE SERVICE INC,1730 GEN GEORGE PATTON DR,BRENTWOOD,TN,37027,JANITORIAL SERVICES,226465
