object_id,ein,Dsc,BkVlAmt
201900429349301195,846024048,ACCRUED INTEREST RECEIVABLE,17173
201900429349301195,846024048,"PREPAID RENT, NET OF CURRENT PORTION",164311
201920709349301017,263161884,RESTRICTED CASH FOR IDA PROGRAM,210738
201900809349300610,480547702,CASH VALUE OF LIFE INSURANCE,259856
201900809349300610,480547702,ART,750
201900809349300610,480547702,OTHER ASSETS,121353
201900809349300610,480547702,INTEREST IN PERPETUAL TRUST,6204376
201900809349300610,480547702,MINERAL INTERESTS,243203
201900999349300230,750983821,Beneficial interest - perpetual trust,263559
201940569349300119,470376524,ASSETS HELD BY BOND TRUSTEE,1631591
201940569349300119,470376524,BENEF INTEREST IN PERPETUAL TRUSTS,4485585
201940569349300119,470376524,CHARITABLE REMAINDER TRUSTS HELD BY OTHERS,2452780
201940569349300119,470376524,CHARITABLE REMAINDER TRUSTS,110679
201930509349300228,750851900,INSURANCE RECEIVABLE,1959694
201930509349300228,750851900,MINERAL INTERESTS,32347227
201930509349300228,750851900,OTHER INVESTMENTS,731147
201930509349300228,750851900,ASSETS HELD BY EXTERNAL TRUSTEES,2713367
201910429349300411,135596846,ASSETS HELD IN TRUST,128327513
201930529349300968,620570060,Art Collection,100605
201930529349300968,620570060,Cash Value of Life Insurance,16624
201930529349300968,620570060,Deposits,26000
201930529349300968,620570060,Loan Escrow Deposits,1083167
201930529349300968,620570060,loan Financing Cost,1802645
201930529349300968,620570060,Real Estate,318592
201930529349300968,620570060,Restricted Deposits & Funded Reserves,2822860
201930949349300013,221487354,DEPOSITS WITH BOND TRUSTEES,61073737
201930949349300013,221487354,OTHER ASSETS,50400
201930659349300333,350868096,INSURANCE,198157
201930659349300333,350868096,PERPETUAL TRUSTS,10897953
201930659349300333,350868096,REMAINDER TRUST,1130762
201900509349300600,750827421,Perpetual trusts held by others,516158
201940159349301154,060647016,BENEFICIAL INTEREST IN PERPETUAL TRUSTS,9993511
201940159349301154,060647016,SPLIT-INTEREST AGREEMENTS,56616
201920589349300117,990240539,ASSETS IN PROGRESS,4043202
201920589349300117,990240539,INVESTMENT IN HUALALAI CONDOS,2330000
201920589349300117,990240539,FRAUD RESTITUTION,300000
201930299349300218,042108346,WALLACE FARM SECURITY DEPOSIT,10000
201930299349300218,042108346,OTHER ASSETS,15154
201930299349300218,042108346,ASSETS UNDER CAPITAL LEASING ARRANGEMENTS,3795195
201930299349300218,042108346,ICE RINK SECURITY DEPOSIT,270000
201930299349300218,042108346,INTEREST RATE SWAP AGREEMENT,62714
201910889349300401,231352641,FUNDS HELD IN TRUST BY OTHERS,39702737
201910889349300401,231352641,DEBT AGREEMENT DEPOSITS,9115468
201900199349300800,626047697,"INVESTMENT IN TENNERA, LLC",63321125
201920169349300722,233069199,DUE FROM RELATED PARTIES,604031
201920439349300852,112157078,CLOSING COSTS,2279438
201920439349300852,112157078,DEPOSITS,36500
201920439349300852,112157078,INSURANCE REFUND RECEIVABLE,501
201920439349300852,112157078,OTHER ASSETS,5000
201901019349300965,240795441,BENEFICIAL INTEREST IN PERPETUAL TRUSTS,2075669
201910529349300116,231352692,ASSETS HELD IN TRUST UNDER SPLIT INTEREST AGREEMENTS,11238777
201910089349301856,811469086,DEPOSIT FOR BUILDING LEASE,35008
201910099349300526,386080947,LONG-TERM RECEIVABLE-CELL TOWER,200000
201911019349300236,941156628,Investments,222136033
201930809349300813,135562314,FUNDS HELD BY BOND TRUSTEES,1509336
201930809349300813,135562314,INVEST DESIGN FOR CONSTRUCTION,42448731
201920789349300127,620475689,Construction in Progress,292407
201920379349300807,381393841,ARTWORK,1404513
201920379349300807,381393841,ART HELD FOR RESALE,323900
201920379349300807,381393841,CHARITABLE REMAINDER UNITRUST INTEREST,322450
201930469349302263,753220279,WELLS FARGO INVESTMENT,51108
201910509349301201,341695897,Goodwill,2557008
201910509349301201,341695897,Bond Issuance Costs
201940779349300324,231352668,UNEXPENDED BOND PROCEEDS,43468686
201940429349301179,420686467,ACCRUED INTEREST RECEIVABLE,680787
201940429349301179,420686467,ARTWORK,14660483
201940429349301179,420686467,CASH VALUE OF LIFE INSURANCE,1140012
201940429349301179,420686467,"REAL EST, LAND & MNRL RIGHTS",1675002
201940429349301179,420686467,TRUST AGREEMENTS,9721837
201940429349301179,420686467,ACCRUED GAIN ON INTEREST RATE SWAPS,1036263
201940799349300539,560767736,BENEFICIAL INTEREST IN CHARITABLE RE,5753540
201940799349300539,560767736,CONSTRUCTION IN PROGRESS,1202083
201940799349300539,560767736,CASH/EQUIVALENTS RESTRICTED TO INVES,1030015
201940799349300539,560767736,LAND HELD FOR RESALE,295511
201940799349300539,560767736,OTHER ASSETS,44729
201930109349301813,660540331,Restricted Fund Held by Trustee,15164196
201930109349301813,660540331,Reimbursable Tenant Improvements Receivable,1329686
201930109349301813,660540331,Other Assets,1011116
201940939349301209,440556862,BENEFICIAL INTEREST IN TRUSTS,166422841
201940939349301209,440556862,LIFE INSURANCE,184642
201940569349301059,610470593,ASSETS HELD IN TRUST BY OTHERS,18060952
201940569349301059,610470593,OTHER ASSETS,187818
201940569349301059,610470593,ASSETS LIMITED AS TO USE,1854240
201940569349301059,610470593,REAL ESTATE,24288101
201931059349301333,630288841,INTERESTS IN PERPETUAL TRUSTS,26134439
201931059349301333,630288841,STUDENT LOANS RECEIVABLE,731852
201941009349300324,952556403,Deposits,15060
201932279349302938,113135077,AFFILIATE RECEIVABLES,254730
201902269349300845,061331677,BENEFICIAL INTEREST IN FOUNDATION,3197624
201902269349300845,061331677,INTEREST IN INVESTMENTS HELD BY ASCENSION HEALTH ALLIANCE
201902269349300845,061331677,OTHER RECEIVABLES,2047
201902269349300845,061331677,DUE FROM AFFILIATES,287306
201823189349311097,750959996,ENDOWMENT ASSETS,1362568
201803199349316850,593722760,DEPRECIABLE ASSETS NOT PLACED IN SERVICE,42005
201803199349316850,593722760,PATENT - BRIDGE BIDDING SYSTEM,7815
201932259349300513,620730291,VARIABLE ANNUITY,448871
201942279349300709,464588696,PER CAPITA APPROPRIATION SIMR,1276000
201942279349300709,464588696,SUPPLEMENTAL APPROP. - SIMR,549000
201942279349300709,464588696,INTERCOMPANY REC. FROM SIMR,144271
201902479349301465,770576082,INVESTMENT IN AI LLC,964908
201823469349301117,474548573,SECURITY DEPOSITS,117430
201823329349300907,020344073,BENEFICIAL INTEREST IN TRUST,1167062
201823329349300907,020344073,PROPERTY TAXES HELD IN ESCROW,14824
201912279349300316,980391928,SERVICE CONCESSION ASSETS,129232699
201813529349300826,800454615,RENT SECURITY DEPOSIT,5000
201902349349301550,753140593,BUILDING NOT IN SERVICE,163147
201901139349300240,931139187,BENEFICIAL INTEREST IN CHARITABLE REMAINDER UNITRUST,48468
201901139349300240,931139187,BENEFICIAL INTEREST IN PERPETUAL TRUSTS,809526
201901139349300240,931139187,BENEFICIAL INTEREST IN INVESTMENTS HELD AT OCF,1597454
201901139349300240,931139187,INVESTMENT IN AFFILIATES,6482554
201933159349301378,161554414,CONT. REC. FROM SPLIT-INTEREST,385171
201941579349301124,471804087,INTERCOMPANY BALANCE,960667
201942809349300764,610510937,"DUE FROM RELATED PARTY (HILLCREST BURIAL PARK, INC.)",36790
201942809349300764,610510937,RELATED PARTY NOTES RECEIVABLE,172721
201942809349300764,610510937,BENEFICIAL INTEREST IN PERPETUAL TRUST,957022
201942809349300764,610510937,STUDENT LOANS RECEIVABLE,588012
201813199349320751,463187118,Advance for purchase of building,1022776
201901309349301715,943185612,SECURITY DEPOSITS,239014
201901309349301715,943185612,REFUNDABLE BOND,250000
201901309349301715,943185612,REFUNDABLE BOND - ACCRUED INTEREST,4413
201903119349301020,136171197,OTHER ASSETS,3184969
201903119349301020,136171197,DUE FROM MRO,65289194
201903119349301020,136171197,INSURANCE CLAIMS,150506896
201903119349301020,136171197,SEMA4 EQUIPMENT SUBLEASE REC,5416427
201903119349301020,136171197,DUE FROM NYCH&H CORP.,31066
201941419349300229,760057699,Endowment,223664
201911359349313896,465225793,SECURITY DEPOSIT,5000
201833379349300358,954860047,SECURITY DEPOSIT,12642
201911359349307076,472654761,GOODWILL,7806000
201911359349307076,472654761,SECURITY DEPOSITS,4958
201912809349300901,010681650,SECURITY DEPOSITS,52950
201912809349300901,010681650,TENANT RENT RECEIVBLE,78863
201912809349300901,010681650,RESTRICTED CASH DEBT SERVICE,2272947
201912809349300901,010681650,DEFERRED BOND,0
201912809349300901,010681650,DUE FROM VSU TROJAN DEVELOPMENT COMPANY,0
201912809349300901,010681650,DUE FROM VSU FOUNDATION,0
201911359349313256,941196198,ACCRUED INTEREST RECEIVABLE,2759
201911359349313256,941196198,LOAN FEES - NET,82236
201911359349313256,941196198,DEPOSIT - SOLAR SYSTEM,1400000
201930179349300818,480554341,ASSETS HELD IN CHARITABLE REMAINDER UNITRUST,89553
201930179349300818,480554341,CASH TEMPORARILY RESTRICTED,235425
201930179349300818,480554341,UNCONDITIONAL PROMISES TO GIVE,520701
201930179349300818,480554341,BENEFICIAL INTEREST IN ASSETS HELD BY OTHERS,102475
201930179349300818,480554341,BENEFICIAL INTEREST IN ASSETS HELD IN TRUST,354626
201911359349300946,570387838,CONSTRUCTION IN PROGRESS,1706402
201900739349300245,440589787,ASSETS HELD IN TRUST,9631223
201900739349300245,440589787,OTHER RECEIVABLES,17253
201900739349300245,440589787,EST AMOUNT DUE FROM 3RD PARTY,115728
201900739349300245,440589787,CSV OF LIFE INSURANCE PROCEEDS,302349
201903129349303170,472237488,Other Receivables
201903129349303170,472237488,Deposits,1472720
201903129349303170,472237488,Due From Foundation,315
201901279349301245,866042458,UNDEPOSITED FUNDS,708
201900749349301420,314379584,REMAINDER INTEREST IN LIFE INCOME TRUST,702118
201900749349301420,314379584,BENEFICIAL INTEREST IN PERPETUAL TRUST,16846617
201900749349301420,314379584,PREPAID BOND COSTS
201900369349300745,610444671,FUNDS HELD IN TRUST BY OTHERS,30399682
201900369349300745,610444671,OTHER RECEIVABLES,81864
201901149349300335,941156617,DEPOSITS WITH TRUSTEES,88330368
201901149349300335,941156617,OTHER ASSETS,8971015
201901149349300335,941156617,RECEIVABLE FROM JST,9641842
201901149349300335,941156617,BENEFICIAL INTEREST IN FUNDS HELD BY OTHERS,7903517
201940449349300979,470384159,BENEFICIAL INTEREST IN LAND,693548
201910789349300721,956001907,Contribution Receivable from Trust,3282968
201910789349300721,956001907,Asset held for sale,2205612
201910789349300721,956001907,Asset held for investment,1732500
201910789349300721,956001907,Interest rate swap,148819
201803199349320755,954366755,DEPOSITS,66
