object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt,MthdOfDtrmnngRvnsTxt
202100639349300445,381627600,X,Laboratory Materials and Equipment,3,42946,Invoice or Industry Estimates
202100639349300445,381627600,X,Animals for Agriculture Program,8,5185,Market values from Industry professionals
202100639349300445,381627600,X,Musical Instruments,1,450,Donor estimate
202121349349303522,042103552,X,BOOK COLLECTION,1,9000,APPRAISAL
202121349349303522,042103552,X,Lab Equipment,15,197045,APPRAISAL
202001019349300300,430654876,X,HORSES,32,8000,$250 EACH - ORGANIZA
202030769349301243,530196583,X,EVENT DONATIONS-CATERING,2,980,COST
202030769349301243,530196583,X,CAMERA EQUIPMENT,1,1907,MARKET VALUE
202030769349301243,530196583,X,FURNITURE,1,1000,MARKET VALUE
202031959349303053,620476822,X,Donor paid expenses,6,24690,Market value
202031959349303053,620476822,X,Miscellaneous,28,9347,Market value
202031959349303053,620476822,X,Software,1,3197920,Market value
202031959349303053,620476822,X,Misc. Equipment,4,15609,Market value
202041059349300414,420680404,X,CAR LEASES,2,16000,COST
202041059349300414,420680404,X,TOWER RENT,1,12000,COST
202041059349300414,420680404,X,FOOD,2,3692,COST
202041059349300414,420680404,X,GIFT CARD/HOTEL ROOMS,3,1105,COST
202041059349300414,420680404,X,CONSTRUCTION MATERIALS,1,6142,COST
202041969349300214,042103552,X,PHONOGRAPH & BOOKSHELVES,7,1,NO APPRAISAL
202041969349300214,042103552,X,SPECIAL COLLECTION,4,10350,NO APPRAISAL
202041969349301239,042103637,X,OTHER PERS.PP,1,1,FMV/$1 FOR TRACKING
202121339349303292,941712371,X,DVDS and Legos,1,392,FMV
202121339349303292,941712371,X,Services,1,23461,FMV
202121339349303292,941712371,X,Services,1,9557,FMV
202111349349303906,560530005,X,ORIENTAL RUG,1,9500,APPRAISAL
202111349349304581,340877803,X,MISCELLANEOUS,1,55,ESTIMATED
202021329349302117,540506306,X,LIVESTOCK,3,0,DONOR VALUE
202111479349300326,720408946,X,Miscellaneous Donations,158,0,FMV
202100849349300905,591023117,X,Musical instrument - Violin and Violin Bows,2,34800,Opinions of experts
202013189349303356,710236867,X,CUSTOM WALL PADS,1,4650,FAIR MARKET VALUE
202013189349303356,710236867,X,BIKES,2,1614,FAIR MARKET VALUE
202041119349300514,430662529,X,CAMERA EQUIPMENT,1,7735,FAIR MARKET VALUE
202001339349303270,951667177,X,SYNTHETIC TURF,1,24420,DONOR RECEIPTS/FMV
202001339349303270,951667177,X,MISC. EVENT EXPENSES,12,11131,DONOR RECEIPTS/FMV
202001339349303270,951667177,X,GIFT CERTIFICATES/PASSES,1,1200,DONOR RECEIPTS/FMV
202001339349303270,951667177,X,ART SUPPLIES,1,500,DONOR RECEIPTS/FMV
202140999349301114,520591661,X,ART SUPPLIES,1,0,0
202140999349301114,520591661,X,EQUIPMENT,8,0,0
202121339349303267,381624684,X,Gift Certificates & Hotel Stay,1,1250
202121339349303267,381624684,X,Hotel and Golf Certificates,1,2000
202121339349303267,381624684,X,Multiple items for auction,1,6530
202121339349303267,381624684,X,Complimentary Items for Event,1,5000
202121339349303267,381624684,X,Plants & Flowers for campus,1,436
202121339349303267,381624684,X,Statute & Disc. on Furniture,1,15000
202121339349303267,381624684,X,Camper Trailer,1,6500
202121339349303267,381624684,X,Billboards,1,35000
202121339349303267,381624684,X,3 Night Stay at Condo,1,507
202120919349301707,610444708,X,HORSES,1,29000,FAIR MARKET VALUE
202033219349315688,251065148,X,TRAVEL EXPENSE,12,39549,RECEIPTS
202032899349302553,942830046,X,Software,1,15000,FMV
202032899349302553,942830046,X,Software,1,66000,FMV
202032899349302553,942830046,X,Online Ads,1,120000,FMV
202041769349300729,560547498,X,MEALS,2,1581,RECEIPTS
202041769349300729,560547498,X,EQUIPMENT,2,1350,RESALE VALUE
202041969349302774,540505940,X,MISCELLANEOUS,49,32025,DONOR VALUE
202031969349302758,381359081,X,HORSES,10,156418,APPRAISAL
202031969349302758,381359081,X,PROGRAM SUPPORT,5,40398,ACTUAL VALUE
202111049349301136,231352654,X,AUCTION ITEMS,30,19918,SELLING PRICE
