object_id,ein,BsnssNmLn1Txt,AddrssLn1Txt,CtyNm,SttAbbrvtnCd,ZIPCd,FcltyTxt
201803199349303295,111631796,AMBULATORY INFUSION CENTER,343 4TH AVE,BROOKLYN,NY,11215,CHEMO CLINIC
201803199349303295,111631796,METRO SPORTS MED,263 7TH AVE,BROOKLYN,NY,11215,PHYSICAL & OCCUPATIONAL THERAPY CLINIC Pediatric
201803199349303295,111631796,NYM EXTENSION CLINIC,ONE PROPSPECT PARK WAY,BROOKLYN,NY,11215,WOUND CARE FOOT AND ANKLE
201803199349303295,111631796,NYMH CARDIO-VASCULAR EXTENSION CLINIC,8721 FIFTH AVENUE,BROOKLYN,NY,11209,CARDIOLOGY PULMONARY MEDICINE
201833189349304138,363196629,IMMC AMBULATORY PAVILLION,836 WEST WELLINGTON AVE,CHICAGO,IL,60657,Patient Care - Out Patient
201833189349304138,363196629,IMMC CANCER CENTER,901 WEST WELLINGTON AVE,CHICAGO,IL,60657,PATIENT CARE - OUT PATIENT
201833189349304138,363196629,IMMC EDUCATION CENTER,814 WEST NELSON STREET,CHICAGO,IL,60657,PATIENT EDUCATION
201833189349304138,363196629,IMMC MEDICAL OFFICE BUILDING,3000 NORTH HALSTED ST VARIOUS SUIT,CHICAGO,IL,60657,PATIENT CARE - OUT PATIENT
201833189349304138,363196629,IMMC OFFICE BUILDING,836 WEST NELSON STREET,CHICAGO,IL,60657,PATIENT CARE - OUT PATIENT
201833189349304138,363196629,IMMC PRIMARY CARE CENTER,3048 NORTH WILTON,CHICAGO,IL,60657,PATIENT CARE - OUT PATIENT
201833189349304138,363196629,IMMC - PAIN CLINIC,3000 N HALSTEAD ST SUITE 823,CHICAGO,IL,60657,PATIENT CARE - OUT PATIENT
201803189349309990,362739299,1 - TRINITY CENTER FOR WOUND CARE,4480 UTICA RIDGE ROAD SUITE 110,BETTENDORF,IA,52722,OUTPATIENT ONLY
201803189349309990,362739299,2 - TRINITY OUTPATIENT REHABILITATION SERVIC,4480 UTICA RIDGE ROAD SUITE 102,BETTENDORF,IA,52722,OUTPATIENT ONLY
201803189349309990,362739299,3 - QUAD CITY AMBULATORY SURGERY CENTER,520 VALLEY VIEW DRIVE SUITE 300,MOLINE,IL,61265,AMBULATORY SURGERY CENTER
201813169349302906,390830664,1 - AYLWARD SURGERY CENTER,120 SECOND STREET,NEENAH,WI,54956,OUTPATIENT SURGERY CENTER
201813169349302906,390830664,2 - RENAISSANCE SURGERY CENTER,2400 WITZEL AVENUE,OSHKOSH,WI,54904,OUTPATIENT SURGERY CENTER
201833179349300403,340753531,The Surgery Center of Southwest General,19250 Bagley Rd,Middleburg Hts,OH,44130,Ambulatory Outpatient Surgery
201833179349300403,340753531,Big Creek Surgery Center,15345 Bagley Road,Middleburg Hts,OH,44130,Ambulatory Outpatient Surgery
201833179349300403,340753531,LifeWorks of Southwest General,7390 Old Oak Blvd,Middleburg Hts,OH,44130,Physical Therapy
201833179349300403,340753531,Southwest Brunswick ED,4065 Center Road,Brunswick,OH,44212,Emergency Dept.
201833179349300403,340753531,Pain Management,18780 Bagley Road,Middleburg Hts,OH,44130,Pain Management
201833179349300403,340753531,Strongsville Med Center,18181 Pearl Road,Strongsville,OH,44136,Radiology Lab
201833179349300403,340753531,Southwest Home Health Services,17951 Jefferson Park Road,Middleburg Hts,OH,44130,Home Health Services
201833179349300403,340753531,Southwest Hospice Services,18659 Drake Road,Strongsville,OH,44136,Hospice
201833169349301343,310785684,SPRINGFIELD REGIONAL MEDICAL GROUP - PALLIATIVE MEDICINE,100 MEDICAL CENTER DRIVE,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,CARDIOLOGISTS OF CLARK AND CHAMPAIGN COUNTIES - SPRINGFIELD,100 W MCCREIGHT AVE FIRST FLOOR,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,COMMUNITY MERCY FOUNDATION,100 W MCCREIGHT AVE SUITE 200,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,MITCHELL THOMAS CENTER - ADMINISTRATION,100 W MCCREIGHT AVE SUITE 4 4TH FLO,OR,SPRINGFIELD,OH,45505,OTHER
201833169349301343,310785684,COMMUNITY MERCY HOME CARE,1111 N PLUM STREET SUITE 4,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,SOUTH URBANA FAMILY MEDICINE,1300 US SOUTH 68,URBANA,OH,43078,PRIMARY CARE DOCTORS
201833169349301343,310785684,SPRINGFELD REGIONAL IMAGING CENTER,1343 N FOUNTAIN BLVD,SPRINGFIELD,OH,45504,IMAGING
201833169349301343,310785684,SPRINGFIELD HEALTH RESOURCE CENTER,1343 N FOUNTAIN BLVD SUITE 205,SPRINGFIELD,OH,45504,OTHER
201833169349301343,310785684,EXCEL PEDIATRIC REHABILITATION,1345 N FOUNTAIN BLVD,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,SPRINGFIELD REGIONAL MEDICAL GROUP - WOUND CARE - URBANA,1430 US HIGHWAY 36 EAST SUITE B,URBANA,OH,43078,SPECIALIST DOCTORS
201833169349301343,310785684,EXCEL SPORTS MEDICINE AND REHABILITATION - URBANA,1450 E US HIGHWAY 36,URBANA,OH,43078,SPECIALIST DOCTORS
201833169349301343,310785684,SPRINGFIELD REGIONAL CANCER CENTER,148 W NORTH STREET,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,OAKWOOD VILLAGE,1500 VILLA ROAD,SPRINGFIELD,OH,45503,SENIOR LIVING
201833169349301343,310785684,EAST SPRINGFIELD FAMILY MEDICINE,160 SOUTH TUTTLE ROAD,SPRINGFIELD,OH,45505,PRIMARY CARE DOCTORS
201833169349301343,310785684,COMMUNITY MERCY HOME MEDICAL EQUIPMENT,1702 N LIMESTONE STREET,SPRINGFIELD,OH,45504,SPECIALIST DOCTORS
201833169349301343,310785684,NORTH FAMILY MEDICINE - WITTENBERG HEALTH CLINIC,200 W WARD STREET ROOM 003,SPRINGFIELD,OH,45504,PRIMARY CARE DOCTORS
201833169349301343,310785684,MERCY HEALTH - URBANA FAMILY MEDICINE AND PEDIATRICS,204 PATRICK AVENUE,URBANA,OH,43078,SPECIALIST DOCTORS
201833169349301343,310785684,MERCY HEALTH - URBANA LAB SERVICES,204 PATRICK AVENUE,URBANA,OH,43078,OTHER
201833169349301343,310785684,SOUTH SPRINGFIELD FAMILY MEDICINE,2055 S LIMESTONE STREET,SPRINGFIELD,OH,45504,PRIMARY CARE DOCTORS
201833169349301343,310785684,EAST SPRINGFIELD INTERNAL MEDICINE,2105 E HIGH STREET,SPRINGFIELD,OH,45505,PRIMARY CARE DOCTORS
201833169349301343,310785684,NORTHPARKE INTERNAL MEDICINE,211 NORTHPARKE DRIVE,SPRINGFIELD,OH,45503,PRIMARY CARE DOCTORS
201833169349301343,310785684,SPRINGFIELD PHYSICAL MEDICINE - OUTPATIENT,211 NORTHPARKE DRIVE,SPRINGFIELD,OH,45503,SPECIALIST DOCTORS
201833169349301343,310785684,MERCY HEALTH - SPRINGFIELD LAB SERVICES,2205 N LIMESTONE STREET,SPRINGFIELD,OH,45503,OTHER
