object_id,ein,BsnssNmLn1Txt,PrmryActvtsTxt,OrgPrftOrOwnrshpPct,PhyscnsPrftOrOwnrshpPct
201803189349309990,362739299,1 QUAD CITY AMBULATORY SURGERY CENTER LLC,AMBULATORY SURGERY CENTER,0.50000,0.50000
201803189349309990,362739299,4 MISSISSIPPI VALLEY SLEEP DISORDER CENTER,SLEEP STUDY CLINIC,0.51000,0.49000
201803189349309990,362739299,5 ADVANCED IMAGING CENTER LLC,DIAGNOSTIC RADIOLOGY CENTER,0.50000,0.50000
201833179349300403,340753531,Foundation Surgery of Middleburg,Ambulatory Surgery,0.20000,0.70000
201833179349300403,340753531,SW General Heart & Vascular Institute,Cardiovascular Services,0.40000,0.13860,0.46140
201833169349301343,310785684,Mercy Medical Office Condominium Association,Real Property Management,0.496,0.0,0.504
201833169349301343,310785684,Northpark Condominium Association,Real Property Management,0.55,0.0,0.45
201942279349303564,540506332,1 Roanoke Ambulatory Surgery Center LLC,Ambulatory surgery,0.50000,0.46480
201942279349303564,540506332,2 Southwest Virginia Health Properties LLC,Real estate,0.48540,0.46480
201922259349301202,060646554,1 NONE,NONE
201912259349302266,362167060,HPMOB Limited Partnership,Owns a medical office building located on the hospital campus,0.3482,0.6518
201912259349302266,362167060,Ravine Way Surgery Center LLC,Operates an orthopaedic surgery center,0.285,0.715
201912259349302266,362167060,NorthShoreUSP Surgery Centers II LLC,Operates general surgery centers,0.5,0.5
201922259349300417,060646652,1 NONE,NONE
201932259349300543,060646768,1 Central CT Endoscopy Center LLC,Endoscopy Services,0.06500,0.50000
201942279349302714,141338471,1 PET SCAN LLC,IMAGING SERVICES,0.49000,0.00000,0.51000
201902279349302635,550357050,HUNTINGTON AREA MRI,PROVIDE MRI SCANS,0.49,0.51
201902279349302635,550357050,THREE GABLES SURGERY,OUTPATIENT HEALTH CARE,0.5234,0.4756
201813199349315401,440545297,KANSAS CITY ORTHOPAEDIC INSTITUTE LLC,ORTHOPAEDIC SERVICES,0.51,0.381
201813199349315401,440545297,SAINT LUKES GI DIAGNOSTICS LLC,GASTROENTEROLOGY SERVICES,0.51,0.49
