object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201443179349303604,231352008,The American College Foundation,270 S Bryn Mawr Avenue,Bryn Mawr,PA,19010,233015130,Solicit and manage funds for the benefit of The American College,PA,501(c)(3),"Line 11a, I",N/A,0
201403189349301725,900893455,West Virginia University School of Medicine,Po Box 9100,Morgantown,WV,26506,556000842,Medical Education,WV,501c3,2,N/A,false
201413189349305481,200551778,CHINESE SERVICE CENTER OF SAN DIEGO,5075 RUFFIN ROAD SUITE A,SAN DIEGO,CA,921231698,200501101,COMM SUPPR,NV,501C3,9,N/A,false
201403249349300010,237034324,AMRIDGE UNIVERSITY PRESS INC,1200 TAYLOR ROAD,MONTGOMERY,AL,36117,270159539,TO SUPPORT AMRIDGE UNIVERSITY'S EDUCATIONAL PROCESS,AL,0
201403249349300010,237034324,SOUTHERN FOUNDATION INC,1200 TAYLOR ROAD,MONTGOMERY,AL,36117,631206139,TO SUPPORT AMRIDGE UNIVERSITY'S EDUCATIONAL PROCESS,AL,0
201403499349301200,237410494,NEW YORK GRADUATE SCHOOL OF,PSYCHOANALYSIS,16 WEST 10TH ST,NEW YORK,NY,10011,202280759,EDUCATION,NY,501C3,2,TRUSTEES,false
201403469349300145,596046500,FIT MUSEUM OF ART INC,150 W UNIVERSITY BLVD,MELBOURNE,FL,32901,591804524,MUSEUM,FL,501,9,N/A,false
201443189349302089,581418202,GEORGIA REGENTS UNIVERSITY,1120 15TH STREET,AUGUSTA,GA,30912,586002053,INSTITUTION OF HIGHER EDUCATION AND RESEARCH UNIVERSITY,GA,115(1),N/A,0
201443509349300529,593086453,UNIVERSITY OF CENTRAL FLORIDA,4000 CENTRAL FLORIDA BLVD,ORLANDO,FL,32816,592924021,EDUCATION,FL,170(B),0
201423219349311822,274967732,CHARLES KOCH FOUNDATION,PO BOX 2256,WICHITA,KS,67201,480918408,GRANT MAKING,KS,501(C)(3),PF,NA,true
201423219349311822,274967732,CLAUDE R LAMBE CHARITABLE FOUNDATION,PO BOX 2256,WICHITA,KS,67201,480935563,GRANT MAKING,KS,501(C)(3),PF,NA,true
201423219349311822,274967732,KNOWLEDGE & PROGRESS FUND INC,PO BOX 2256,WICHITA,KS,67201,541899251,GRANT MAKING,KS,501(C)(3),PF,NA,true
201423219349311822,274967732,FRED C & MARY R KOCH FOUNDATION INC,PO BOX 2256,WICHITA,KS,67201,486113560,GRANT MAKING,KS,501(C)(3),PF,NA,true
201423129349300002,566049935,WINGATE UNIVERSITY FOUNDATION,PO BOX 159,WINGATE,NC,28174,561559907,ORGANIZED SOLELY FOR THE BENEFIT OF WINGATE UNIVERSITY,NC,501(C)(3),"LINE 11B, II",WINGATE UNIVERSITY,1
201413379349300531,620812782,ST CECILIA CONGREGATION,801 DOMINICAN DR,NASHVILLE,TN,37228,620552181,OWNS AC,TN,501C3,1,N/A,false
201413379349300531,620812782,DOMINICAN CAMPUS,4210 HARDING RD,NASHVILLE,TN,37205,621338763,MANAGES,TN,501C3,1,SCC,ST CECILIA CONGREGATION,false
201413379349300531,620812782,OVERBROOK SCHOOL,4210 HARDING RD,NASHVILLE,TN,37205,620476817,PARTNER,TN,501C3,2,SCC,ST CECILIA CONGREGATION,false
201413379349300531,620812782,ST CECILIA ACADEMY,4210 HARDING RD,NASHVILLE,TN,37205,621666121,PARTNER,TN,501C3,2,SCC,ST CECILIA CONGREGATION,false
