object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblCrpTr_EIN,IdRltdOrgTxblCrpTr_PrmryActvtsTxt,IdRltdOrgTxblCrpTr_LglDmclSttCd,IdRltdOrgTxblCrpTr_DrctCntrllngNACd,IdRltdOrgTxblCrpTr_EnttyTxt,IdRltdOrgTxblCrpTr_CntrlldOrgnztnInd
201423179349301927,226019101,ATLANTIC INSURANCE EXCHANGE LTD,98 JAMES STREET,EDISON,NJ,08820,999999999,INSURANCE CAPTIVE,BD,JFKHS,C CORP,false
201423179349301927,226019101,CENTRAL JERSEY MEDICAL GROUP PA,98 JAMES STREET,EDISON,NJ,08820,223477610,INACTIVE,NJ,MRMC,C CORP,false
201423179349301927,226019101,JFK MEDICAL GROUP PC,98 JAMES STREET,EDISON,NJ,08820,223482637,MEDICAL SERVICES,NJ,JFKMC,C CORP,1154,1.00000,true
201423179349301927,226019101,JFK HARTWYCK MGT & CONSULTING INC,98 JAMES STREET,EDISON,NJ,08820,223812130,INACTIVE,NJ,HARTWYCK WEST,C CORP,false
201423179349301927,226019101,JFK HEALTHSHARE INC,98 JAMES STREET,EDISON,NJ,08820,222528967,MANAGEMENT SVCS.,NJ,JFKHS,C CORP,false
201423179349301927,226019101,MIDTOWN SHOPS INC,98 JAMES STREET,EDISON,NJ,08820,221536954,RETAIL COMPLEX,NJ,MRMC,C CORP,false
201423179349301927,226019101,PRIMARY CARE NETWORK,98 JAMES STREET,EDISON,NJ,08820,522069919,HEALTH ORG.,NJ,JFKMC,C CORP,-2488,210876,1.00000,true
201423179349301927,226019101,JFK MEDICAL ASSOCIATES PA,98 JAMES STREET,EDISON,NJ,08820,462219798,PHYSICIAN PRACTIC,NJ,JFKHS,C CORP,false
201443179349303609,210634462,C & H Collection SVS Inc,RTE 70 Three EXEC Campus STE 310,Cherry Hill,NJ,08002,222603503,Collection,NJ,CH Services,C Corp
201443179349303609,210634462,Cooper Custom Packs Inc,RTE 70 Three EXEC Campus STE 310,Cherry Hill,NJ,08002,223236745,Medical Suppl,NJ,CH Services,C Corp
201443179349303609,210634462,Cooper Data Services Inc,RTE 70 Three EXEC Campus STE 310,Cherry Hill,NJ,08002,223192943,Data Services,NJ,CH Services,C Corp
201443179349303609,210634462,Cooper Healthcare Management Inc,RTE 70 Three EXEC Campus STE 310,Cherry Hill,NJ,08002,222599494,Management,NJ,CH Services,C Corp
201443179349303609,210634462,Cooper Healthcare Properties Inc,RTE 70 Three EXEC Campus STE 310,Cherry Hill,NJ,08002,222567105,Real Estate M,NJ,CH Services,C Corp
201443179349303609,210634462,Cooper Healthcare Services,RTE 70 Three EXEC Campus STE 310,Cherry Hill,NJ,08002,222567106,Health Svcs,NJ,CH System,C Corp,1.00000
201433219349303453,470385129,REGIONAL CARE INC,4021 AVENUE B,SCOTTSBLUF,NE,69361,470760050,N/A,false
201443189349301799,410693962,CHARITABLE REMAINDER TRUSTS (19),INVESTMENTS,MN,T,0
201443189349301799,410693962,CHARITABLE REMAINDER TRUSTS (1),INVESTMENTS,CA,T,0
201443189349301799,410693962,CHARITABLE REMAINDER TRUSTS (1),INVESTMENTS,MA,T,0
201443189349301864,420680452,ASSOCIATED CHIROPRACTIC PROVIDERS INC,5409 N KNOXVILLE AVE,PEORIA,IL,61614,371304745,CHIROPRACTIC SERVICES,IL,N/A,C,0
201443189349301864,420680452,BELCREST SERVICES LTD,5409 N KNOXVILLE AVE,PEORIA,IL,61614,371196307,MEDICAL SERVICES,IL,N/A,C,0
