object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,IdRltdOrgTxblPrtnrshp_DrctCntrllngNACd
201532299349302568,030219309,OneCare Vermont Accountable Care Organiz,111 Colchester Avenue,Burlington,VT,05401,455399218,Accountable CARE,VT,NA,RELATED,25000,false,true,0.50000
201532299349302568,030219309,ADIRONDACK ACO LLC,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,462840926,ACCOUNTABLE CARE,NY,NA,N/A,0.50000
201532299349302568,030219309,OBNET SERVICES LLC,ONE MEDICAL CENTER DR,LEBANON,NH,03756,043746287,HEALTH RESEARCH,NH,NA,RELATED,22928,false,true,0.52068
201510159349301406,350867954,HWH BUSINESS LP,216 SUMMERLAKE CIRCLE,ANDERSON,IN,46011,352084392,REAL ESTATE,IN,ANDERSON UNIVERSITY,UNRELATED,-60000,1840000,false,false,0.91
201500219349300245,610444788,PCSOM REAL ESTATE LLC,147 SYCAMORE STREET,PIKEVILLE,KY,41051,CONSTRUCT AND OWN AN EDUCATIONAL BUILDING,KY,UNIVERSITY OF PIKEVILLE,RELATED,-786089,42021077,0,1,0.90000
201520419349300217,340714629,KCM I LLC,275 EASTLAND RD,Berea,OH,44017,270768622,REAL ESTATE,OH,KCM MANAGER,Related,-33,18702,false,0,true,0.00100
201520419349300217,340714629,KBS LLC,275 EASTLAND RD,Berea,OH,44017,454564521,REAL ESTATE,OH,KBS MANAGER,related,-224234,16255559,false,0,true,0.90000
201520419349300217,340714629,KBS MASTER TENANT LLC,275 EASTLAND RD,berea,OH,44017,463088020,real estate,OH,KBS MANAGER,related,-9,358,false,0,true,0.00100
201530439349302343,930845182,GLOBE HOTEL LLC,1001 SE WATER AVE 120,PORTLAND,OR,97214,263750501,PROPERTY DEVELOPMENT,OR,GLOBE BUILDING LLC,INVESTMENT,34260,9336778,0,0,0.86000
201530419349300023,470376525,NONE
201520449349300407,231433899,NEW CHURCH INVESTMENT FUND,PO BOX 711 PITCAIRN HALL,BRYN ATHYN,PA,19009,236438575,INVESTMENT MANAGER,PA,N/A,INVESTMENT,14457239,160117755,0,1
201520489349301002,420680404,BVU FUND LP,C/O CAMBRIDGE ASSOCIATES LLC 125 HI,BOSTON,MA,02110,462921999,INVESTMENTS,DE,CAMBRIDGE ASSOCIATES LLC,EXCLUDED,7645738,137987001,0,-7287,0,0.99990
201500619349300720,716056774,UAF FUND LP - HF CLASS SERIES,100 SUMMER STREET,BOSTON,MA,021102112,271964092,INVESTMENT,MA,N/A,INVESTMENT,7430373,274219687,0,1096,0,0.99990
201500619349300720,716056774,UAF FUND LP - PE CLASS SERIES,100 SUMMER STREET,BOSTON,MA,021102112,271964155,INVESTMENT,MA,N/A,INVESTMENT,29176507,267616463,0,-36233,0,0.99990
201520659349300107,042103830,150 NORTH STREET LLC,150 NORTH STREET,BOSTON,MA,02109,461497601,LANDLORD,MA,NORTH BENNET STREET SCHOOL,RELATED,-1964,4018467,0,0,0.90000
201540779349300624,231352620,The Alliance for Global Education,1730 M Street NW,Suite 402,Washington,DC,20036,204249533,"Education-Provides credit bearing, interdisciplinary study abroad programs in China & India.",DE,N/A,Related,299000,0,0
201500839349300035,050470320,MILL RESTORATION LLC,449 THAMES ST,NEWPORT,RI,02840,261134582,REAL ESTATE,RI,RESTORATION MANAGEMENT INC,EXCLUDED,13861,89294,1,0,0.01000
201500839349300035,050470320,RESTORATION LEASING LLC,449 THAMES ST,NEWPORT,RI,02840,261134383,REAL ESTATE,RI,EXCLUDED,522119,1934817,1,0,0.99900
201520839349300777,910565571,GARFIELD COMMONS LLC,12108 PARK AVENUE SOUTH,TACOMA,WA,98447,651266546,COMMERCIAL RETAIL RENTAL,WA,PACIFIC LUTHERAN UNIVERSITY,UNRELATED,251683,4478680,0,210027,0,1.00000
201540809349300609,230465970,SUMMIT SURGERY CENTER LP,785 5TH AVENUE SUITE 3,CHAMBERSBURG,PA,17201,251845303,PHYSICIAN,PA,NA,7447,19705,false,false,0.00650
201540809349300609,230465970,SURGERY CENTER ASSOCIATES LLC,785 5TH AVENUE SUITE 3,CHAMBERSBURG,PA,17201,251845304,PHYSICIAN,PA,NA,149,332,false,true,0.01000
201510859349300331,135562314,Pace University Fund LP,125 High Street,Boston,MA,02110,463422188,Investments,DE,Pace University,EXCLUDED,864370,114134516,false,false,0.99999
201531109349300123,716056774,UAF FUND LP - HF CLASS SERIES,100 SUMMER STREET,BOSTON,MA,021102112,271964092,INVESTMENT,MA,N/A,INVESTMENT,7430373,274219687,0,1096,0,0.99990
201531109349300123,716056774,UAF FUND LP - PE CLASS SERIES,100 SUMMER STREET,BOSTON,MA,021102112,271964155,INVESTMENT,MA,N/A,INVESTMENT,29176507,267616463,0,-36233,0,0.99990
201541049349300039,237121060,NA
201541039349301014,260152908,CHAPMAN FILMED ENTERTAINMENT LLC,ONE UNIVERSITY DRIVE,ORANGE,CA,92866,FILM PRODUCTION,CA,NA,N/A
201511049349301106,750827465,GCM GROSVENOR - TCU INVESTMENT FUND LP,767 FIFTH AVE 14TH FLOOR,NEW YORK,NY,10153,263345349,INVESTMENTS,DE,N/A,EXCLUDED,2810512,19695347,false,-86957,false,0.99000
201511049349301106,750827465,CASTLE CREEK TCU TARP SPECIAL,6051 EL TORDO PO BOX 1329,RANCHO SANTA FE,CA,92067,371693271,INVESTMENTS,DE,N/A,EXCLUDED,764817,6338994,false,0,false,0.9980
201511049349300521,042300472,Amp UP NYC LLC,855 Boylston Street,Boston,MA,02116,463537796,Education,DE,RELATED,-1311,17969,false,0,true,0.50000
201501059349300625,710236897,TVH Rowhouses LLC,1600 Washington Avenue,Conway,AR,72032,454269230,Residential rental property,AR,N/A,Unrelated,-28947,1377589,0,0.695
201511209349301156,430652667,COREST CV,NOBELSTRAAT 1,NL-5807,NL,NL-5807,REAL ESTATE,NL,N/A,false,false
201521269349301862,590791034,ADVENT REHABILITATION LLC,607 DEWEY AVENUE SUITE 300,GRAND RAPIDS,MI,49504,383306673,REHABILITATION THERAPY SERVICES,MI,N/A
