object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,DsrgrddEnttyNm_BsnssNmLn2Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,IdRltdTxExmptOrg_DrctCntrllngNACd,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201530129349300863,410695509,SISTERS OF ST JOSEPH OF CARONDELET ST PAUL PROVINCE,1884 RANDOLPH AVENUE,ST PAUL,MN,55105,411765361,"EDUCATION, HEALTH CARE & SOCIAL SERVICES",MN,501(C)(3),LINE 1,N/A,0
201510159349301406,350867954,FLAGSHIP ENTERPRISE CENTER,2701 ENTERPRISE DRIVE,ANDERSON,IN,46013,043732583,SERVE AS A NEW BUSINESS INCUBATOR & GROWTH STAGE BUSINESS ACCELERATOR.,IN,501(C)(3),7,ANDERSON UNIVERSITY,false
201510159349301406,350867954,ORANGEHAUS RECORDS INC,1100 E 5TH STREET,ANDERSON,IN,46012,201675766,TO PROVIDE UNIVERSITY STUDENTS WITH EXPERIENCE IN THE MUSIC RECORDING INDUSTRY.,IN,501(C)(3),7,ANDERSON UNIVERSITY,true
201510099349301501,592139553,ST ANDREWS UNIVERSITY,1700 DOGWOOD MILE,LAURINBURG,NC,28352,UNIVERSITY,NC,501,2,WEBBER,WEBBER INTERNATIONAL UNIVERSITY,false
201500149349300810,560530240,Webber International University,1201 N Scenic Hwy,Babson Park,FL,33827,592139553,Four Year University,FL,501(c)(3),Member Corporation,N/A,0
201540149349301429,943116985,EDUCATIONAL CORPORATION MUKOGAWA GAKUIN,6-46 IKEBIRAKI-CHO,NISHINOMIYA-CITY,HYOGO,JA,663-8558,943120807,TEACH ENGLISH AND AMERICAN CULTURE TO MUKOGAWA WOMEN'S UNIVERSITY STUDENTS.,JA,501(C)(3),170(B)(1) (A)(II),N/A,0
201500129349301310,390806297,LAWRENCE CORPORATION OF WISCONSIN,711 E BOLDT WAY,APPLETON,WI,54911,930841243,TO PROVIDE FINANCIAL SUPPORT TO LAWRENCE UNIVERSITY,DE,501(C)(3),11 TYPE I,LAWRENCE UNIVERSITY OF WISCONSIN,1
201510129349300731,620548913,CUMBERLAND PRESBYTERIAN CHURCH,8207 TRADITIONAL PLACE,CORDOVA,TN,38016,621841762,MISSIONARY,TN,LINE 1,N/A,0
201520129349301462,710239383,ELROD FAMILY FOUNDATION,410 QUACHITA STREET,ARKADELPHIA,AR,71998,710848708,TO BENEFIT OUACH. BAPTIST UNIVERSITY,AR,501(C)3,509(A)3 TYPE II,0
201500089349300400,610444825,Bingham Fund for Excellence in Teaching at Transylvania University,300 N Broadway,Lexington,KY,40508,611129707,Promote excellence in teaching,KY,501(c)(3),509(a)(2),Transylvania University
