object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt,OthrSpprtAmt
201612439349300626,237008276,University of California San Diego,956006144,5,1,0,0
201643199349201439,363447685,NEBRASKA CHRISTIAN COLLEGE,470489031,6,1,0,0
201623209349205482,522247526,SALISBURY UNIVERSITY FOUNDATION INC,521127396,7,1,0,0
201623009349300517,208096718,LUTHERAN THEOLOGICAL,231365169,1,1,1357898,0
201642749349301024,980150041,METROPOLITAN ANDREY SHEPTYTSKY INST ST PAUL UNIV OTTAWA ONTARIO CANADA,000000000,2,1,300158,0
201602879349301310,541854399,VIRGINIA COMMONWEALTH UNIVERSITY,046001758,6,1,1949086,0
201602779349300900,760765625,KANSAS STATE UNIVERSITY,480771751,6,0,355,0
201613139349200136,391896366,UNIVERSITY OF NORTHERN IOWA FOUNDATION,426058591,5,true,0,0
201622709349300907,364500805,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY,364500805,6,true,476220,0
201603189349300805,201612906,LONGWOOD UNIVERSITY,546001788,6,true,0,0
201613169349201686,811308809,CALIFORNIA COLLEGE OF THE ARTS,941156485,2,1,0,0
201633159349302528,516017306,UNIVERSITY OF DELAWARE,516000297,2,1,450000,0
201643209349205274,133006734,The College of Staten Island CUNY,133683723,5,false,150000,0
201623199349301242,550788917,EAST TENNESSEE STATE UNIVERSITY,626021046,5,true,453795,0
201633169349301313,204273074,Regent University,541061178,2,1,0,0
201623169349302802,541863192,CHRISTOPHER NEWPORT UNIVERSITY,540701501,2,1,1633904,0
201603209349304625,550777066,ALDERSON BROADDUS COLLEGE,550357072,2,1,194318,0
201603209349304625,550777066,BETHANY COLLEGE,550356985,2,1,228755,0
201603209349304625,550777066,DAVIS & ELKINS COLLEGE,550357021,2,1,179086,0
201603209349304625,550777066,EMORY & HENRY COLLEGE,540505892,2,1,182809,0
201603209349304625,550777066,UNIVERSITY CHARLESTON,550357039,2,1,442608,0
201603209349304625,550777066,WV WESLEYAN COLLEGE,550357056,2,1,278279,0
201603209349304625,550777066,TUSCULUM COLLEGE,620484185,2,1,455386,0
201603209349304625,550777066,WILLIAM PEACE UNIVERSITY,560529988,2,1,321595,0
201623199349306692,264468758,UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER INC,300541840,9,true,0,0
201603479349301105,010802914,Cal State UnivChannel Islands,912153805,5,false,0,0
201623569349300307,593086453,UNIVERSITY OF CENTRAL FLORIDA,592924021,5,1,9529902,0
201643209349300414,550753754,Charleston Area Medical Center Inc,550526150,3,1,0,0
201740279349300604,061256949,UNIVERSITY OF HARTFORD,060731360,5,true,815658,0
201710099349301106,134356799,FLORIDA STATE UNIVERSITY,591961248,2,true,1538891,0
201700329349300900,911838771,Metropolitan Community College,470557228,6,1,0,0
201740449349300934,800957275,COE COLLEGE,420686467,2,1,301852,0
201700819349300540,562244952,CENTRAL PIEDMONT COMMUNITY COLLEGE,560797174,6,1,390282,0
201740459349302854,200118161,FRANCIS MARION UNIVERSITY,FRANCIS MARION UNIVERSITY,570522624,6,true,860924,0
201700629349300610,271870108,ASPIRE PUBLIC SCHOOLS,943311088,2,1,0,0
201730459349301963,570933257,Clemson University,576000254,6,1,0,0
201730459349301963,570933257,Clemson University Foundation,570426335,5,1,596839,0
201740469349303284,721304948,LSU HEALTH SCIENCES CENTER,726087770,6,1,58656847,0
201710809349300906,202394946,Puritan Refd Theological Semin,202394341,2,true,42129,0
201700839349300400,261999384,PURDUE RESEARCH FOUNDATION,351052049,7,true,0,0
201700839349300400,261999384,PURDUE UNIVERSITY,356002041,6,true,0,0
201701239349301015,311146505,UNIVERSITY OF KENTUCKY,616001218,6,true,417879,0
201731219349300803,640902475,UNIVERSITY OF SOUTHERN MISSISSIPPI,646000818,2,1,1515427,0
201711009349300331,237133739,City of Arlington Texas,756004503,6,1,14780402,0
201711009349300331,237133739,City of Denton Texas,756000514,6,1,309213,0
201711149349300026,452543410,College Track,943279613,7,true,16457,0
201741359349307094,636053517,TUSKEGEE UNIVERSITY,630288878,2,1,0,0
201711189349300026,942514843,UNIVERSITY OF SOUTH DAKOTA,UNIVERSITY OF SOUTH DAKOTA,466000364,2,true,15000,0
201720919349200012,363831687,GARRETT EVANGELICAL,362167085,9,true,2000,0
201720919349200012,363831687,NORTH PARK THEOLOGICAL SEMINAR,361557840,9,true,2000,0
201720919349200012,363831687,SEABURY WESTERN THEOLOGICAL,362169186,9,true,2000,0
201720919349200012,363831687,TRINITY EVANGELICAL DIVINITY,362216176,9,true,2000,0
201720919349200012,363831687,UNIV ST MARY OF THE LAKE,362171077,9,true,2000,0
201740879349200009,571021641,PRESBYTERIAN COLLEGE,570314408,2,1,0,0
201731249349300743,202951275,BAYLOR COLLEGE OF MEDICINE,741613878,2,true,10308678,0
201731459349300023,516017306,UNIVERSITY OF DELAWARE,516000297,2,1,360000,0
201741149349300864,570967350,UNIVERSITY OF SOUTH CAROLINA,576001153,2,true,72526,0
201740419349301379,570705675,UNIVERSITY OF SOUTH CAROLINA,576001153,6,1,441224,0
201731429349300213,367468174,B'ham Southern College,630288811,2,true,0,0
201730399349301813,201415351,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,856000411,2,1,0,0
201700279349300815,331127376,UNCC,560791228,2,1,3452,0
201710939349300106,330291523,Loma Linda University,951816009,1,false,0,0
201720469349303127,381870664,COVENANT HEALTHCARE,COVENANT HEALTHCARE,383369443,3,true,0,0
201720469349303127,381870664,ST MARY'S MEDICAL CENTER,ST MARY'S MEDICAL CENTER,380997730,3,true,0,0
201720469349303127,381870664,CENTRAL HEALTH ADVANCEMENT SOLUTIONS,CENTRAL HEALTH ADVANCEMENT SOLUTIONS,453862232,5,true,0,0
201731359349306248,264359927,KYUSHU UNIVERSITY,981083876,2,true,125604,0
201721359349308532,262258318,UNIVERSITY OF LOUISVILLE FOUNDATION INC,237078461,5,true,0,0
201721359349310787,237050293,KIRKWOOD COMMUNITY COLLEGE,420924685,2,1,0,0
201731359349203168,952492344,University of California SB,956006145,5,false,0,0
201711359349301981,550713410,GLENNVILLE STATE COLLEGE,556000779,2,1,0,0
201711329349202556,341568219,OBERLIN COLLEGE,340714363,2,1,0,0
201701329349305730,470991892,WILMINGTON COLLEGE,310537514,2,true,0,0
201741319349302464,541666531,VIRGINIA COMMONWEALTH UNIVERSITY,546001758,6,1,30000,0
201731359349303788,550665758,WEST VIRGINIA UNIVERSITY,556000842,5,1,135369511,0
201711359349309696,270869586,GREEN DOT PUBLIC SCHOOLS,954679811,2,1,323209,0
201711359349309696,270869586,ASPIRE PUBLIC SCHOOLS,943311088,2,1,226179,0
201711359349309696,270869586,ALLIANCE FOR COLLEGE-READY PUBLIC SCHOOLS,954779029,2,1,675961,0
201711359349309696,270869586,PARTNERSHIPS TO UPLIFT COMMUNITIES,743102820,2,1,224498,0
201701339349200230,454808258,WEST VALLEY MISSION COMM COLLEGE,770268786,5,true,0,0
201731319349303873,264360361,UNIVERSITY CIRCLE INCORPORATED,340823464,9,1,75000,0
201731359349310183,800151379,FLORIDA INTERNATIONAL UNIVERSITY,650177616,2,1,0,0
201711359349308816,201304472,UNIVERSITY OF TOLEDO,346401483,5,1,0,0
201701359349201920,166073701,ROCHESTER INSTITUTE OF TECHNOLOGY,160743140,2,true,500,0
201711329349302451,237126805,ROBERT O ANDERSON SCHOOL OF MANAGEMENT - UNIVERSITY OF NEW MEXICO,856000642,6,1,115800,2859603
201711309349303636,320152376,Pitzer College,952261113,2,1,0,0
201711959349300831,900790361,EMORY UNIVERSITY,580566256,2,true,76980389,0
201732989349200408,391896366,UNIVERSITY OF NORTHERN IOWA FOUNDATION,426058591,5,true,0,0
201701989349301805,464071746,STANFORD HEALTH CARE,946174066,3,true,0,0
201722999349300732,237008276,University of California San Diego,956006144,5,1,0,0
201742419349300854,541744996,OLD DOMINION UNIVERSITY,546000884,6,1,1634955,60000
201702859349301155,521932054,ABILENE CHRISTIAN UNIVERSITY GRADUATE SCHOOL OF THEOLOGY,750851900,2,1,0,0
201702859349301155,521932054,ACADIA DIVINITY COLLEGE,777777777,2,1,0,0
201702859349301155,521932054,AMBROSE SEMINARY,777777777,2,1,0,0
201702859349301155,521932054,AMERICAN BAPTIST SEMINARY OF THE WEST,941156250,2,1,0,0
201702859349301155,521932054,ANABAPTIST MENNONITE BIBLICAL SEMINARY,351902148,2,1,0,0
201702859349301155,521932054,ANDERSON UNIVERSITY SCHOOL OF THEOLOGY,350867954,2,1,0,0
201702859349301155,521932054,ANDOVER NEWTON THEOLOGICAL SCHOOL,042104775,2,1,0,0
201702859349301155,521932054,AQUINAS INSTITUTE OF THEOLOGY,431233793,2,1,0,0
201702859349301155,521932054,ASBURY THEOLOGICAL SEMINARY,610445823,2,1,0,0
201702859349301155,521932054,ASHLAND THEOLOGICAL SEMINARY,340714626,2,1,0,0
201702859349301155,521932054,ASSEMBLIES OF GOD THEOLOGICAL SEMINARY,431002542,2,1,0,0
201702859349301155,521932054,ASSOCIATED CANADIAN THEOLOGICAL SCHOOLS (ACTS),777777777,2,1,0,0
201702859349301155,521932054,ATHENAEUM OF OHIO,310537076,2,1,0,0
201702859349301155,521932054,ATLANTIC SCHOOL OF THEOLOGY,777777777,2,1,0,0
201702859349301155,521932054,AUSTIN PRESBYTERIAN THEOLOGICAL SEMINARY,741143056,2,1,0,0
201702859349301155,521932054,B H CARROLL THEOLOGICAL INSTITUTE,753116657,2,1,0,0
201702859349301155,521932054,BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY,750959998,2,1,0,0
201702859349301155,521932054,BAPTIST THEOLOGICAL SEMINARY AT RICHMOND,541510076,2,1,0,0
201702859349301155,521932054,BARRY UNIVERSITY DEPARTMENT OF THEOLOGY AND PHILOSOPHY,590624364,2,1,0,0
201702859349301155,521932054,BETHANY THEOLOGICAL SEMINARY,352092595,2,1,0,0
201702859349301155,521932054,BETHEL SEMINARY OF BETHEL UNIVERSITY,410708577,2,1,0,0
201702859349301155,521932054,BEXLEY SEABURY SEMINARY FEDERATION,362169186,2,1,0,0
201702859349301155,521932054,BIBLICAL THEOLOGICAL SEMINARY,231937954,2,1,0,0
201702859349301155,521932054,BOSTON UNIVERSITY SCHOOL OF THEOLOGY,042103547,2,1,0,0
201702859349301155,521932054,BRITE DIVINITY SCHOOL,237121060,2,1,0,0
201702859349301155,521932054,BYZANTINE CATHOLIC SEMINARY OF SS CYRIL & METHODIUS,251141842,2,1,0,0
201702859349301155,521932054,CALVIN THEOLOGICAL SEMINARY,383001876,2,1,0,0
201702859349301155,521932054,CAMPBELL UNIVERSITY DIVINITY SCHOOL,560529940,2,1,0,0
201702859349301155,521932054,CANADIAN SOUTHERN BAPTIST SEMINARY,777777777,2,1,0,0
201702859349301155,521932054,CANDLER SCHOOL OF THEOLOGY OF EMORY UNIVERSITY,580566256,2,1,0,0
201702859349301155,521932054,CAREY THEOLOGICAL COLLEGE,777777777,2,1,0,0
201702859349301155,521932054,CATHOLIC THEOLOGICAL UNION,362647967,2,1,0,0
201702859349301155,521932054,CENTRAL BAPTIST THEOLOGICAL SEMINARY,480547725,2,1,0,0
201702859349301155,521932054,CHICAGO THEOLOGICAL SEMINARY,362167014,2,1,0,0
201702859349301155,521932054,CHINA EVANGELICAL SEMINARY NORTH AMERICA,954366755,2,1,0,0
201702859349301155,521932054,CHRISTIAN THEOLOGICAL SEMINARY,351045939,2,1,0,0
201702859349301155,521932054,CHURCH DIVINITY SCHOOL OF THE PACIFIC,941156508,2,1,0,0
201702859349301155,521932054,CINCINNATI CHRISTIAN UNIVERSITY,310643552,2,1,0,0
201702859349301155,521932054,CLAREMONT SCHOOL OF THEOLOGY,951904355,2,1,0,0
201702859349301155,521932054,COLGATE ROCHESTER CROZER DIVINITY SCHOOL,160743916,2,1,0,0
201702859349301155,521932054,COLUMBIA THEOLOGICAL SEMINARY,580566165,2,1,0,0
201702859349301155,521932054,CONCORDIA LUTHERAN SEMINARY,777777777,2,1,0,0
201702859349301155,521932054,CONCORDIA SEMINARY ST LOUIS,430655869,2,1,0,0
201702859349301155,521932054,CONCORDIA THEOLOGICAL SEMINARY,370673478,2,1,0,0
201702859349301155,521932054,CORBAN UNIVERSITY SCHOOL OF MINISTRY,941312349,2,1,0,0
201702859349301155,521932054,COVENANT THEOLOGICAL SEMINARY,430863116,2,1,0,0
201702859349301155,521932054,CUMMINS THEOLOGICAL SEMINARY,570762301,2,1,0,0
201702859349301155,521932054,DALLAS THEOLOGICAL SEMINARY,750827421,2,1,0,0
201702859349301155,521932054,DENVER SEMINARY,840421879,2,1,0,0
