object_id,ein,FrmAndLnRfrncDsc
201433149349302058,020267883,SUPPLEMENTAL INFORMATION
201443189349301799,410693962,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201421679349300807,020332032,Schedule A
201402799349300445,020302477,"PART II, LINE 10"
201422819349300432,620819352,"SCHEDULE A, PART I, LINES 2 AND 7"
201433159349300938,660277396,"Schedule A, Part II, Line 10"
201413009349301051,420680460,SCHEDULE A:
201413449349300111,530196583,"Schedule A, Part II, Line 10, Other Income"
201443219349302154,416011702,"SCHEDULE A, PART III, LINE 12, EXPLANATION OF OTHER INCOME:"
201443219349302154,416011702,SCHEDULE A PART I LINE 2:
201402949349300735,561065978,"SCHEDULE A, PART I, LINES 2 AND 7"
201403119349301460,135648615,"Schedule A, Part III, Line 12"
201401919349300620,161411935,"Schedule A, Part II, Line 12, Explanation of Other Income:"
201433219349307128,237102720,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201443539349301009,450314233,"PART II, LINE 10"
