object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201932959349301018,850474926,SANTA FE BUILDING RENTAL,531120,2100,2100
201903199349311450,980149857,OTHER AGRICULTURAL/AGRIBUSINESS INCOME,611600,297684,297684
201933369349300903,561388743,MISCELLANEOUS INCOME,900099,1805,1805
201913189349302876,541854399,INCOME FROM PARTNERSHI,900099,64492,64492
201913189349302876,541854399,LOSS FROM S-CORP,518210,-55482,-55482
201932959349300728,208434503,RECOUPABLE INCOME,900099,82882,82882
201933129349303308,752760831,Miscellaneous Income,900099,5771,5771
201933129349303308,752760831,Honorarium Income,900099,3550,3550
201933129349303308,752760831,Library Income,900099,2512,2512
201923179349308802,202884155,Section 481(a) income
201922899349300712,541851377,MISCELLANEOUS,18305,18305
201922899349300712,541851377,TEXTBOOK SALES,3965,3965
201912849349301106,750891464,Auxiliary Services,611310,484502,484502,0,0
201943529349300639,620481463,OTHER INCOME,900000,50517,50517
201913519349300816,750827421,Change value split-int,611710,305840,305840
202020979349300507,221487354,NON-REFUNDABLE DEPOSITS,900099,491500,491500
202020979349300507,221487354,CAREER FAIR REVENUE,900099,190550,190550
202020979349300507,221487354,PARKING,812930,379409,379409
202030989349301708,391353508,MISCELLANEOUS INCOME,900099,269937,269937
201943189349314139,473609601,OTHER INCOME,900099,13850,13850
201932839349301028,616002351,Net appreciation (depr,611710,113287,113287
202041979349305184,042103542,OTHER REVENUE,900099,2249526,2249526
202041979349307414,951664112,THIRD PARTY REIMBURSEMENTS,900099,547848,0,0,547848
202041979349307414,951664112,CATERING & BANQUET REVENUE,722320,163126,164684,-1558
202041979349307414,951664112,DUPLICATING REVENUE,900099,38535,38535
202031969349302723,580603153,INCOME (LOSS) FROM PARTNERSHIP,523000,-1446,-1446
202021929349302767,820200907,OTHER SERVICES,900099,695979,356015,339964
202041069349300824,160743040,Conferences & Summer Camps,900099,807274,504820,302454
202041069349300824,160743040,Sport and Rec Center Memberships,713940,61424,61424
