object_id,ein,GrntTxt,RcpntCnt,CshGrntAmt,VltnMthdUsdDsc,NnCshAssstncDsc
201602579349301200,410789397,Academic Scholarships,25,55522
201612449349300791,750891465,Student Aid,513,4399851,0,Actual,N/A
201632419349300203,471994752,SCHOLARSHIPS GIVEN,7,20062,ACTUAL,NONE
201622439349300602,200617900,CHIPS QUINN SCHOLARS PROGRAM,11,2750
201622439349300602,200617900,FREE SPIRIT JOURNALISM CONFERENCE,51,51000
201602459349300930,350715530,STUDENT FINANCIAL AID,2309,26783998
201613029349301206,750827409,SCHOLARSHIPS,1183,21883103,CASH
201613029349301206,750827409,GRANTS,255,247000,CASH
201622889349301537,420680323,SCHOLARSHIPS & GRANTS,1752,17832579,N/A,N/A
201632949349300148,480556726,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTSVARIOUS STUDENTS,193,107296
201632949349300148,480556726,CHURCH MATCHING SCHOLARSHIPSVARIOUS STUDENTS,99,49260
201632949349300148,480556726,INSTITUTIONAL SCHOLARSHIPS AND GRANTSVARIOUS STUDENTS,585,7458989
201613059349300756,133705284,STUDENT SCHOLARSHIPS,284,211452
201612669349300781,463103295,Scholarships to attend the Academy,90,151748,Cash
201612649349300516,272190032,Pioneer scholarships,17,2608
201612649349300516,272190032,Student scholarships,8,10492
201612649349300516,272190032,Paul Helbig,1,3000
201602649349300650,616002351,Scholarships/Pell grant,97,334389
201642579349300429,200258004,FINANCIAL AID,60,268144,0
201622679349300547,850164940,TUITION GRANTS/SCHOLARSHI,463,273509,2705205,AWARD AMOU,TUITION DISCOUN
201643029349301114,450231180,Merit Scholarships,848,4833443
201643029349301114,450231180,Athletic Scholarships,560,2192902
201643029349301114,450231180,Tuition Waivers,44,472370
201643029349301114,450231180,Fine Art Scholarships,79,195450
201643029349301114,450231180,Other Scholarships,787,1449111
201642989349301074,710236867,STUDENT FINANCIAL AID,602,8025128
201622919349301112,951916051,Tuition Discounts,191,1096080
201622919349301112,951916051,Scholarships,534,6261150
201602919349301055,344429091,GRANTS AND ALLOCATIONS,2735,43999797
201622599349300892,611124267,FINANCIAL ASSISTANCE,210,546239,0
201622599349300892,611124267,SCHOLARSHIPS,153,567720,0
201622729349300122,561065978,"CASH GRANTS/SCHOLARSHIPS WERE MADE FOR STUDENTS ATTENDING MID-ATLANTIC CHRISTIAN UNIVERSITY IN PASQUOTANK COUNTY, NORTH CAROLINA.",224,694156,0,CASH PAID,N/A
201632859349300403,480559090,SCHOLARSHIPS,187,944562
201602889349300030,020344073,SCHOLARSHIPS,90,1071458
201622819349300402,381443369,Scholarships,1535,15172994
201602929349301000,562231069,SCHOLARSHIPS AND FINANCIAL AID,43,99471,CASH VALUE
201632879349300743,750855633,Scholarships,947,9549743
201612949349300501,596605703,"INSTITUTIONAL AID, INCLUDING SCHOLARSHIPS, ASSISTANTSHIPS, AND TUITION WAIVERS",1212,2208589,N/A,N/A
201602799349300315,850303705,Student Pell Grants and other scholarships.,1715,6981619,0,Cost,N/A
201613149349302221,420680408,Endowed scholarships,365,478166
201613149349302221,420680408,Endowed awards,48,11046
201613149349302221,420680408,Institutional scholarships,749,9355030
201613149349302221,420680408,Federal SEOG grants,130,90950
201613149349302221,420680408,Tuition remission & other waivers,47,569723
201613149349302221,420680408,Tuition exchange,9,230720
201613149349302221,420680408,Advanced education nursing traineeship,25,349992
201603199349310195,390978445,INSTITUTIONAL GRANTS AND DISCOUNTS TO STUDENTS,1503,15898087
201603199349305315,591092732,FINANCIAL AID/TUITION REMISSION,3459,27753848,COST OF ATTENDANCE,TUITION ASSISTANCE
201603199349305315,591092732,PELL GRANT AWARDS,1002,3971633,"COST OF ATTENDANCE, FINANCIAL NEED, AND ENROLLMENT STATUS"
201603129349301015,420681049,MERIT/INSTITUTIONAL NEED BASED,1593,10560336,BOOK
201603129349301015,420681049,MERIT/INSTITUTIONAL NEED BASED (GR),1,400,BOOK
201603129349301015,420681049,MEN'S ATHLETIC SCHOLARSHIPS,457,2818709,BOOK
201603129349301015,420681049,WOMEN'S ATHLETIC SCHOLARSHIPS,266,1273061,BOOK
201603129349301015,420681049,ACTIVITY SCHOLARSHIPS,74,145686,BOOK
201603129349301015,420681049,TUITION WAIVER/NON-EMPLOYEE,47,334860,BOOK
201603129349301015,420681049,TUITION WAIVER/NON-EMPLOYEE (GR),1,1395,BOOK
201603129349301015,420681049,GOVERNMENT GRANTS,240,105162,BOOK
201603129349301015,420681049,FUNDED SCHOLARSHIPS (RESTR),111,181799,BOOK
201603129349301015,420681049,GV ENDOWED SS (UG),107,269322,BOOK
