object_id,ein,RcpntBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,RcpntTbl_RcpntEIN,RcpntTbl_IRCSctnDsc,RcpntTbl_CshGrntAmt,RcpntTbl_PrpsOfGrntTxt
201612449349300636,946181807,BOY SCOUTS OF AMERICA INC Mt Diablo Silverado Council,800 Ellinwood Way,Pleasant Hill,CA,94523,941156249,501(c)(3),121683,Support Scout activities & camps
201642519349300434,650880021,STANFORD UNIVERSITY,PO BOX 44253,SAN FRANCISCO,CA,941444253,941156365,501(C)(3),85712,RESEARCH AWARD
201642519349300434,650880021,BRIGHAM & WOMEN'S HOSPITAL,221 LONGWOOD AVENUE,BOSTON,MA,02115,042312909,501(C)(3),79229,RESEARCH AWARD
201642519349300434,650880021,ATS FOUNDATION,25 BROADWAY 18TH FLOOR,NEW YORK,NY,10004,202138855,501(C)(3),289266,RESEARCH AWARD
201642519349300434,650880021,CLEVELAND CLINIC FOUNDATION,9500 EUCLID AVENUE,CLEVELAND,OH,44195,912153070,501(C)(3),341912,RESEARCH AWARD
201642519349300434,650880021,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,3451 WALNUT ST SUITE P-221,PHILADELPHIA,PA,19104,231352685,501(C)(3),16553,RESEARCH AWARD
201642519349300434,650880021,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,3615 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,231352166,501(C)(3),28909,RESEARCH AWARD
201642519349300434,650880021,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,3333 CALIFORNIA ST SUITE 315,SAN FRANCISCO,CA,94143,946036493,501(C)(3),189276,RESEARCH AWARD
201602379349300530,742629973,DAYSTAR TELEVISION NETWORK,PO BOX 610546,Dallas,TX,752610546,581456572,501C3,8754,GENERAL DONATION
201602379349300530,742629973,WINGS INTERNATIONAL,PO BOX 2823,Loveland,CO,805392823,462713410,501C3,9187
201602399349300915,590652592,MARY LEE'S HOUSE,2806 NORTH ARMENIA AVE,TAMPA,FL,33607,651096929,501C3,12500,TO PROVIDE SUPPORT
201612459349301101,410128105,ANOKA COUNTY,550 BUNKER LAKE BLVD NW,ANDOVER,MN,55303,416005752,GOVENMENTAL,25000,WARGO NATURE CENTER SPONSOR
201612459349301101,410128105,ISD 728,900 SCHOOL STREET,ELK RIVER,ME,55330,416003818,GOVENMENTAL,5000,SCHOLARSHIPS
201612459349301101,410128105,ANOKA TECHNICAL COLLEGE FOUNDATION,1355 WEST HWY 10,ANOKA,MN,55303,416008267,501(C)(3),87500,DONATION TO FOUNDATION - GENERAL
201612459349301101,410128105,INITIATIVE FOUNDATION,405 FIRST ST SE,LITTLE FALLS,MN,56345,363451562,501(C)(3),10000,DONATION TO FOUNDATION - GENERAL
201612459349301101,410128105,MERCYUNITY HOSPITAL FOUNDATION,550 OSBORNE RD,FRIDLEY,MN,55432,363261413,501(C)(3),34660,DONATION TO FOUNDATION - HEALTHY STUDENT PROGRAM AND GENERAL
201612459349301101,410128105,GREATER TWIN CITIES UNITED WAY,404 S 8TH STREET,MINNEAPOLIS,MN,55404,411973442,501(C)(3),21039,MATCH EMPLOYEE CONTRIBUTIONS
201612459349301101,410128105,NATIONAL SPORTS CENTER,1700 105TH AVENUE NE,BLAINE,MN,55449,411646516,501(C)(3),85000,OTHER,IN-KIND ELECTRICITY,GENERAL DONATION
201612459349301101,410128105,ANOKA COUNTY DEPARTMENT OF PARKS AND RECREATION,550 BUNKER LAKE BLVD,ANDOVER,MN,55304,416005752,GOVENMENTAL,20000,WILD LIFE OUTREACH - HERITAGE LAB
