object_id,ein,Dsc,Amt
201443179349303604,231352008,Annuity obligation,196548
201443179349303604,231352008,Accrued pension costs,1844055
201403189349301725,900893455,Federal income taxes
201403189349301725,900893455,Other Accrued Expenses - Current,243744
201403189349301725,900893455,Other Current Liabilities,1635968
201413189349305481,200551778,CREDIT CARDS PAYABLE,1369
201413189349305481,200551778,SALES TAX PAYABLE,28
201443159349302919,042104451,ADVANCES FOR FEDERAL STUDENT LOANS,2062649
201443159349302919,042104451,ANNUITY PAYMENT LIABILITY,178457
201443159349302919,042104451,DEPOSITS HELD FOR OTHERS,141522
201443159349302919,042104451,DEPOSITS & OTHER LONG TERM PAYABLES,161665
201443189349301799,410693962,DEPOSITS,256548
201443189349301799,410693962,INTEREST RATE SWAP AGREEMENT,892536
201443189349301799,410693962,LIAB UNDER PLANNED GIVING AGMTS,8664083
201443189349301799,410693962,UNAMORTIZED BOND PREMIUM,1041762
201403529349300205,580566143,Liability under remainder trusts,944306
201403529349300205,580566143,Advances from federal government,223541
201403529349300205,580566143,Liabilities under deferred comp.,638614
201403529349300205,580566143,Refundable advances,2380000
201403529349300205,580566143,Interest rate swap,128796
201403529349300205,580566143,Lease obligations,502891
201423529349300412,370661211,"ADVANCES FROM US GOVERNMENT, PERKINS LOAN PROGRAM",1641846
201423529349300507,611312812,PAYROLL TAXES PAYABLE,6725
201403469349300145,596046500,CAPITAL LEASE OBLIGATIONS,12264571
201403469349300145,596046500,REFUNDABLE GOVERNMENT LOANS,4762219
201403469349300145,596046500,ANNUITIES PAYABLE & OTHER LIAB.,2120983
201443399349300804,410970173,STUDENT DEPOSITS,522063
201443189349302089,581418202,OTHER LIABILITIES PAYABLE TO GRU,290840
201443189349302089,581418202,OTHER LIABILITIES,18795
201433469349300968,980042539,Risk Management Liability,14069191
201433469349300968,980042539,Accrual for employee future benefits,20208738
201433469349300968,980042539,Asset retirement obligation,215581
201433469349300968,980042539,Indemnity deposit,750000
201423429349300102,560547511,AGENCY FUNDS,273627
201423429349300102,560547511,REFUNDABLE ADVANCES,589289
201423429349300102,560547511,LIABLITY FOR PENSION BENEFITS,1130859
201433189349305283,260030436,CONSTRUCTION LOAN,345000
201433189349305283,260030436,LINE OF CREDIT,97367
201433189349305283,260030436,LOANS PAYABLE-OTHER,80000
201423519349300952,610660795,AGENCY FUND,4280
201423519349300952,610660795,ANNUITIES PAYABLE,65010
201423519349300952,610660795,FED GOVT ADVANCES,712730
201423519349300952,610660795,ASSET RETIREMENT OBLIGATION,241450
201423129349300002,566049935,CAPITAL LEASE OBLIGATIONS,528833
201423129349300002,566049935,INTEREST RATE SWAP AGREEMENT,624647
201443189349300214,410698301,ASSET RETIREMENT OBLIGATION,1272583
201443189349300214,410698301,DEPOSIT ACCOUNTS,881363
201443189349300214,410698301,ANNUITIES PAYABLE,270200
201443229349301409,237424429,ENROLLMENT DEPOSITS,122870
201443229349301409,237424429,OBLIGATION UNDER INTEREST RATE SWAP,79195
201443219349307489,953608910,BBCN LOAN,3120000
201443219349307489,953608910,SECURITY DEPOSIT PAYABLE,15357
201443219349307489,953608910,PAYROLL TAXES PAYABLE,1828
201443219349307489,953608910,ACCRUED LIABILITIES,1317
201443219349307489,953608910,BANK OF AMERICA LOAN
201443219349307489,953608910,INCOME TAX PAYABLE,-1500
201423219349308422,237275328,ASB PROGRAMS,7033
201423219349308422,237275328,AVIATION CLUB,1546
201423219349308422,237275328,BOOSTER CLUB,29903
201423219349308422,237275328,CLASSIFIED STAFF FUND,-180
201423219349308422,237275328,PTK,14280
201423219349308422,237275328,STUDENT NURSES FUND,8855
201423219349308422,237275328,GSA,-150
201423219349308422,237275328,JATP PROGRAM,9620
201423219349308422,237275328,AMT PROGRAM,250
201423219349308422,237275328,AVIATION,1203
201423219349308422,237275328,BASEBALL AUCTION,2528
201423219349308422,237275328,B727 TAXI,300
201423219349308422,237275328,EDUCATION DEPARTMENT,743
201423219349308422,237275328,FOREIGN LANGUAGE,87
201423219349308422,237275328,PEPSI GRANT,-22
201423219349308422,237275328,HIGH SCHOOL AND BEYOND,783
201423219349308422,237275328,JATP FUND,127
201423219349308422,237275328,JATP TSUNAMI FUND,815
201423219349308422,237275328,MUSIC DEPARTMENT,5162
201423219349308422,237275328,NURSING FUND,17028
201423219349308422,237275328,PART-TIME FACULTY DEVELOPMENT,2084
201423219349308422,237275328,STAFF DEVELOPMENT,4349
201423219349308422,237275328,VOLUNTEER LITERACY PROGRAM,8170
201423219349308422,237275328,PROGRAM DEVELOPMENT,2169
201423219349308422,237275328,STEM-IN,620
201443189349305919,480554341,BONDS AND NOTES PAYABLE,1310244
201443189349305919,480554341,LIABILITIES UNDER TRUST AGREEMENTS,40186
201443189349305919,480554341,ANNUITIES PAYABLE,39179
201413219349312701,943200772,MORTGAGE PAYABLE,445300
201413219349312701,943200772,MORTGAGE PAYABLE - CURRENT YEAR,10640
201413219349312701,943200772,RABBI'S FUND,2396
201413219349312701,943200772,GRANT - TIKKUN MIDOT PROJECT,885
201413219349312701,943200772,REFUNDABLE DEPOSITS
201413199349300016,200471061,Student deposits,8800
201433449349300008,620202000,ADV. FROM FED GOVT. FOR PERKIN,395601
201413399349300426,541919810,AMOUNT DUE TO HSLDA,5408
201433189349302568,610461768,ADVANCES FROM FEDERAL GOVERNMENT,596908
201433189349302568,610461768,STUDENT DEPOSITS,359720
201433189349302568,610461768,ACCRUED INTEREST PAYABLE,185013
201433189349302568,610461768,DEPOSITS HELD FOR OTHERS,76129
201433189349302568,610461768,DEFERRED REVENUE,27100
201423189349304887,810661056,101 E REDLANDS BLVD,14694442
201423189349304887,810661056,125 CLUB CENTER DRIVE,8700000
201423189349304887,810661056,195 E REDLANDS BLVD,2679850
201423189349304887,810661056,DOCUMENT MANAGEMENT SOFTWARE,61025
201423189349304887,810661056,MT VIEW PLAZA,13375000
201423189349304887,810661056,PARKING SOFTWARE,15365
201423189349304887,810661056,PHILANTHROPY,956233
201423189349304887,810661056,WH PARKING STRUCTURE,14624290
201433189349304123,390821861,POST RETIREMENT,1256789
201433189349304123,390821861,ASSETS RETIREMENT OBLIGATION,488873
201433189349304123,390821861,INTEREST RATE EXCHANGE AGREEMENTS,545827
201433189349304123,390821861,ANNUITY OBLIGATIONS,334589
201433189349304123,390821861,STUDENT DEPOSITS,220572
201433189349304123,390821861,AGENCY FUNDS,296359
201443219349305534,591407629,STUDENT AND FACULTY CREDIT BALANCES,76215
201443219349305534,591407629,FUTURE INTEREST PAYABLE,60957
201443219349305534,591407629,CUSTODIAL FUNDS,25693
201423219349310327,430652649,FUNDS HELD IN CUSTODY FOR OTHERS,1118652
201423219349310327,430652649,OBLIGATIONS UNDER SPLIT-INTEREST AGREEMENTS,29462
201423219349310327,430652649,REFUNDABLE U.S. GOVERNMENT STUDENT LOANS,435567
201423219349310327,430652649,PAYABLE TO LIFE ESTATE ANNUITANTS,538038
201433219349301053,470489031,Annuity contracts payable,105333
201433219349301053,470489031,Amounts held on behalf of others,9223
201433239349300603,750827421,Stu depositsrefundable advances,604434
201433239349300603,750827421,Annuity obligation,2546786
201433239349300603,750827421,Amt held on behalf of others,25119
201433239349300603,750827421,Liab under split-int agreements,1991818
201433239349300603,750827421,Asset retirement obligations,600637
201433239349300603,750827421,Liab for pension benefits,11213599
201433239349300603,750827421,Note payable to trust,420000
201433439349300608,410789397,Federal income taxes
201443369349300524,060646520,LOAN FUNDS REFUNDABLE,932104
201423189349306322,591092732,DEPOSITS AND OTHER LIABILITIES,1172246
201423189349306322,591092732,ADVANCES FROM FEDERAL GOVERNMENT FOR STUDENT LOANS,506972
201423189349306322,591092732,ANNUITIES PAYABLE,235250
201423189349306322,591092732,CASH FLOW HEDGE FUND,3348612
201433219349304933,263162145,INTERCOMPANY PAYABLES (NET),190433552
201433219349304933,263162145,DUE TO THIRD-PARTY PAYORS,36708417
201433219349304933,263162145,SELF-INSURANCE LIABILITIES,564361
201430929349300603,640902475,SECURITY DEPOSITS HELD,128659
201430929349300603,640902475,ACCRUED INTEREST,12800
201400659349300415,460499256,Federal income taxes
201400659349300415,460499256,PAYROLL TAXES PAYABLE,6660
201422279349301317,731338134,SALES TAXES PAYABLE
201402279349302460,760090602,credit card,353
201401149349300730,260466209,Interest Rate Swap Liability,2031272
201411159349300931,431781928,NOTE PAYABLE-BANK MIDWEST,228618
201412379349300121,616002351,REFUNDABLE DEPOSITS,21828
201412379349300121,616002351,ACTUARIAL LIABILITY FOR SPLIT INTEREST AGREEMENTS,97013
201432279349302928,237417722,LOANS PAYABLE,808058
201432279349302928,237417722,PROVISIONS,60386
201431259349300328,237242844,REFUNDABLE GOVERNMENT LOANS,661686
201431259349300328,237242844,CHARITABLE GIFT ANNUITIES PAYABLE,624824
201431219349300648,651059288,RESERVE FOR NEXT YEAR'S OPERATIONS,118182
201431219349300648,651059288,RESERVE FOR PURCHASE OF FIXED ASSETS,80872
201431219349300648,651059288,PREPAID STUDENT TUITION,49612
201431219349300648,651059288,LONG-TERM DEBT,7636
201431219349300648,651059288,PAYROLL LIABILITIES,4911
201431219349300648,651059288,OTHER CURRENT LIABILITIES,2541
201431219349300648,651059288,PROPERTY TAX PAYABLE
201441259349300929,330786166,PAYROLL TAX LIABILITIES,916
201431049349300523,272017442,TRUST FUND LIABILITIES,2513
201402279349303295,571102885,CAROLINA 1ST NOTE,85706
201402279349303295,571102885,"DUE TO WUREF, INC."
201401339349301165,581989996,PAYROLL TAXES,4664
201401339349300200,460515673,Federal income taxes
201412469349300551,610470593,Actuarial Liability for Annuities Payable,2069933
201412469349300551,610470593,Federal Student Loan Funds,3273945
201412469349300551,610470593,Taxable bonds,585000
201411339349305446,202982549,"MORTGAGE PAYABLE, VA COMMERCE BANK",920565
201411339349305446,202982549,TD BANK LOAN PAYABLE,341366
201411339349305446,202982549,"MORTGAGE PAYABLE, SUNTRUST",146163
201411339349305446,202982549,"COMMERCIAL LOAN, BB&T",49826
201411339349305446,202982549,CREDIT CARD PAYABLE,14444
201411339349305446,202982549,AUTO LOAN
201402549349300300,522242995,Federal income taxes
201411359349305136,264078735,INTERCOMPANY,97110
201411359349305136,264078735,OTHER PAYABLE,20513
201421339349305372,651230483,PAYROLL LIABILITIES,1144
201421339349305372,651230483,WAGES PAYABLE,4969
201422669349300042,850164940,Funds held for student organizations,8665
201422749349301027,630338081,ANNUITY PAYMENT LIABILITY,6010
201422749349301027,630338081,OTHER POST EMPLOYMENT BENEFIT LIABI,6504
201422749349301027,630338081,INTEREST RATE SWAP,47287
201422679349300532,010681650,INTEREST SWAP,3207679
201422679349300532,010681650,TENANT SECURITY DEPOSIT,74095
201422679349300532,010681650,ACCRUED PROPERTY MANAGEMENT FEES,10300
201412659349300241,060943492,Federal income taxes
201441349349303199,540784341,DUE TO A.R.E.,143483
201441349349303199,540784341,ACCRUED WAGES,6415
201441349349303199,540784341,ACCRUED PAYROLL TAX,513
201441349349303199,540784341,ACCRUED VACATION PAYABLE,2177
201441349349303199,540784341,OTHER CURRENT LIABILITIES,501
201401399349300200,562057124,PREPAID TUITION,6781
201401399349300200,562057124,US GOVERNMENT ADVANCES FOR STUDENTS,40573
201441609349300709,486106237,AMOUNTS HELD FOR OTHERS,1036038
201441609349300709,486106237,INVESTMENT SHARES PAYABLE,13366
201432259349301133,541744996,INTEREST RATE SWAP AGREEMENT,7450161
201432259349301133,541744996,SECURITY DEPOSITS PAYABLE,38754
201432259349301133,541744996,OTHER,3569400
201412059349300006,273438569,Federal income taxes
201412059349300006,273438569,Payroll Liabilities,3645
201412029349300321,620481463,Student Deposits,177961
201412029349300321,620481463,Accrued salaries and wages,103452
