object_id,ein,Dsc,BkVlAmt
201423179349303212,452494161,Security Depsoit,1600
201413189349305481,200551778,CHINESE ARTIFACT COLLECTION,55450
201443159349302919,042104451,RESTRICTED CASH,21597416
201443159349302919,042104451,"DEBT ISSUES COSTS, NET",270943
201403529349300205,580566143,Works of art,6450658
201403529349300205,580566143,Other assets,647065
201423529349300412,370661211,ACCRUED INTEREST RECEIVABLE,775405
201423529349300412,370661211,BENEFICIAL INTEREST NONPERPETUAL TRUST,1155777
201423529349300412,370661211,DEFERRED UNDERWRITING CHARGES,212945
201423529349300412,370661211,REAL ESTATE,19170891
201423529349300412,370661211,OTHER ASSETS,48173
201443189349305919,480554341,ASSETS HELD IN CHARITABLE REMAINDER UNITRUST,90399
201443189349305919,480554341,CASH TEMPORARILY RESTRICTED,853565
201443189349305919,480554341,UNCONDITIONAL PROMISES TO GIVE,231427
201443189349305919,480554341,GRADUATE STUDENT LOANS RECEIVABLE,129436
201443189349305919,480554341,NOTE RECEIVABLE,14204
201443189349305919,480554341,BENEFICIAL INTEREST IN ASSETS HELD BY OTHERS,114393
201433239349300603,750827421,Perpetual trusts held by others,591477
201433439349300608,410789397,UNAMORTIZED BROADCAST LICENSE,695312
201402279349302460,760090602,loan,12752
201402279349302460,760090602,petty cash,250
201432279349302928,237417722,LONG TERM RECEIVABLES,495528
201432279349302928,237417722,OTHER ASSETS,37548
201412379349300321,454620000,DUE FROM RELATED PARTY,266
201412379349300321,454620000,INTANGIBLES,22642000
201412379349300321,454620000,GOODWILL,1278444
201412469349300551,610470593,Other Receivables,362034
201412469349300551,610470593,"Debt Issuance Costs, Net",334490
201412469349300551,610470593,"Note receivable-Cumberland Wellness Investment Fund, LLC",10955789
201412469349300551,610470593,Museum collections,1151355
201421339349305372,651230483,RENT DEPOSIT,4444
201441349349301524,582022462,BENEFICIAL INTEREST IN ASSETS,76841
201441349349301524,582022462,DEPOSITS,1642
201422679349300532,010681650,SECURITY DEPOSITS,74095
201422679349300532,010681650,TENANT RENT RECEIVBLE,38458
201422679349300532,010681650,RESTRICTED CASH DEBT SERVICE,1829057
201422679349300532,010681650,DEFERRED BOND,91205
201422679349300532,010681650,DUE FROM VSU TROJAN DEVELOPMENT COMPANY,36961
201401699349300610,137096544,North Grounds Holding Co.,500
201412059349300006,273438569,Security Deposit,21363
201412059349300006,273438569,Letter of Credit
201401629349300200,263453472,ROUNDING,2
201402599349300200,203979266,BOOKS & DOCUMENTS,267440
201402599349300200,203979266,PROGRAM DEVELOPMENT,52500
201402599349300200,203979266,SECURITY DEPOSIT,11000
201442559349300864,510205293,DEPOSITS,4145
201442559349300864,510205293,INTELLECTUAL PROPERTY,774275
201402869349300200,480548361,DEFERRED FINANCING COSTS,86892
201402869349300200,480548361,PREPAID LONG-TERM LEASE,1069803
201402869349300200,480548361,INSURANCE DEPOSITS,488373
201402869349300200,480548361,TRUSTS & LIFE INCOME PLANS,291177
201402869349300200,480548361,BENEFICIAL INTEREST IN ASSETS HELD BY OTHERS,234438
201412879349300241,344429091,CHARITABLE REMAINDER TRUSTS,1931997
201412879349300241,344429091,BOND ORIGINATION COSTS,1028430
201412879349300241,344429091,INTEREST IN PERPETUAL TRUSTS,7871376
201412879349300241,344429091,INTEREST IN REMAINDER TRUSTS,4448561
201412879349300241,344429091,OTHER RECEIVABLES,1998835
201412879349300241,344429091,"CASH, RESTRICTED ASSETS",2960163
201412879349300241,344429091,LAND HELD FOR SALE,71670
201412879349300241,344429091,CASH SURRENDER VALUE,590831
201422819349300432,620819352,COLLECTION-CHRISTIAN EDUCATION LIBRARY,1506161
201422819349300432,620819352,OTHER ASSETS,9500
201422819349300432,620819352,INTEREST IN ASSETS HELD AS TRUSTEE,1153352
201422819349300432,620819352,INTEREST IN CHARITABLE REMAINDER TRUSTS,76500
201413289349300436,610466713,FUNDS HELD IN TRUST BY OTHERS,4455042
201413289349300436,610466713,CASH SURRENDER VALUE OF LIFE INS.,428914
201413289349300436,610466713,BEQUEST RECEIVABLE,249307
201413289349300436,610466713,"BOND ISSUANCE COSTS, NET",107286
201423119349301492,364303682,DEFERRED COMPENSATION PLAN ASSETS,214564
201423169349301022,161359213,MALPRACTICE CAPITAL CONTRIBUTIONS,74619
201423169349301022,161359213,SECURITY DEPOSITS,33612
201423169349301022,161359213,ELECTRONIC HEALTHCARE SYSTEM ACCESS,761700
201443149349301499,731303821,Beneficial Interest in Assets,3100104
201443149349301499,731303821,Assets Held In Trust by Others,305744
201443149349301499,731303821,"Accreditation Costs, Net",7377
201443149349301499,731303821,Other Assets,23185
201423149349300402,362167792,Investments in land and buildings,621308
201423149349300402,362167792,Investments other,2459999
201423149349300402,362167792,Loan to Related Organization
201423149349300402,362167792,Other,370205
201423149349300402,362167792,Trust Holdings,184003280
201443149349302769,341726619,INTEREST IN NET ASSETS OF FOUNDATION,869510
201423169349304367,541666531,CONSTRUCTION IN PROGRESS,12692413
201423169349304367,541666531,OTHER,52339
201423169349304367,541666531,DUE FROM VCU - BOND PROCEEDS,8257243
201423169349304367,541666531,"BOND ISSUANCE COSTS, NET OF ACCUMULATED AMORTIZATION",347510
201412939349300126,592961536,CONSTRUCTION IN PROGRESS
201412939349300126,592961536,DEPOSITS,45030
201412939349300126,592961536,LONG TERM PROMISES TO GIVE,276801
201423019349300242,580593438,Beneficial Interest In Charitable Lead,991517
201423019349300242,580593438,Bond Issue Costs,100712
