object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201542269349301474,650000627,MISCELLANEOUS,900099,89697,89697
201530129349300863,410695509,OTHER,900099,352109,352109
201530129349300863,410695509,MEDICAL FEES,611600,304616,304616
201530129349300863,410695509,PARKING,611600,256737,256737
201510159349301406,350867954,FINANCE CHARGES,611310,374552,374552
201510159349301406,350867954,0
201510159349301406,350867954,0
201500149349300810,560530240,Revenue from Sale Leaseback,611310,223772,223772,0,0
201500149349301025,272793072,RENTAL FEES,611710,44536,44536
201500149349301025,272793072,MISC REVENUE,5008,5008
201530129349300133,620475751,AUXILIARY ENTERPRISES,900099,642718,642718
201530129349300133,620475751,MISCELLANEOUS,900099,109153,109153
201530129349300133,620475751,ENDOWMENT,900099,67478,67478
201520139349301112,370661231,FITNESS CENTER,713940,126205,126205
201520139349301112,370661231,MISCELLANEOUS,133806,133806
201520139349301112,370661231,VENDOR COMMISSIONS,900099,56725,56725
201540099349301174,750859801,Administrative Allowances,17665,17665
201540099349301174,750859801,Athletics,29292,29292
201540099349301174,750859801,Miscellaneous,91041,91041
201510099349301271,560547478,Other Income,900099,1165790,1165790
201500129349301310,390806297,MISCELLANEOUS,611710,345817,332083,13734
201510159349300311,420707124,Other Income,611310,106992,106992,0,0
201520149349301257,560532303,OTHER REVENUES,900099,1508735,1508735
201520149349301257,560532303,ADVERTISING,900099,45351,45351
201520149349301262,620518288,UNREALIZED GAINS AND ANNUITY INCOME,523000,1779033,1779033
201520129349301462,710239383,CHG VALUE SPLIT INT AGREE,611710,1200568,1200568
201520129349301462,710239383,OTHER REVENUE,611710,1074691,1074691
201520129349301462,710239383,AUXILIARY REVENUE,611710,617395,591016,26379
201530149349300748,370661217,Miscellaneous revenue,900099,94154,91364,2790,0
201530149349300748,370661217,Parking,900099,27575,27575,0,0
201530149349300748,370661217,Transcripts,900099,10819,10819,0,0
201500139349300035,560554199,DUES,713940,2679,2679
201520129349301107,240795495,EDUCATIONAL SUPPORT SERVICES,611710,1800721,1800721
201520129349301107,240795495,CONFERENCES AND SUMMER CAMPS,721214,361459,361459
201520129349301107,240795495,PRINT SHOP ACTIVITIES,323100,298002,298002
201540219349300119,610444671,MISCELLANEOUS,900099,227863,227863
201540219349300119,610444671,FITNESS CENTER,900099,87130,87130
201540219349300119,610444671,0
201500219349300605,420698196,Athletic Camps,713940,61491,61491,0,0
201500219349300605,420698196,Washer and Dryers,812310,28683,28683,0,0
201500219349300605,420698196,Other Revenue,900099,42317,42317,0,0
201500169349300030,042720310,OTHER INCOME,900099,54747,54747
201510139349301301,042596491,MISCELLANEOUS REVENUE,900099,715,715
201500129349300125,582533742,OTHER INCOME,900099,33401,33401
201520229349300902,131740285,Interest income on accounts rec.,522220,740032,740032
201520229349300902,131740285,Miscellaneous,900099,182839,182839
201510199349300201,020309681,OTHER INCOME,900099,57018,57018
201540209349300429,980426561,OTHER REVENUE,900099,193799,193799
201530219349300213,391201561,MISCELLANEOUS REVENUE,611710,326483,326483
201530219349300503,381977050,OTHER INCOME,611430,8436,8436
201530219349300503,381977050,OTHER INCOME,611430,5420,5420
201520169349300027,362216176,OTHER INCOME,900099,65286,65286
201520169349300922,480623882,FOOD SERVICE INCOME,611710,67633,67633
201520169349300922,480623882,ALL OTHER MISC REVENUE,900099,14155,14155
201530139349301413,480914282,MISCELLANEOUS REVENUE,611600,117219,117219
201540229349301114,650621012,OTHER INCOME,900099,26313,26313
201520099349301152,310970262,OTHER REVENUE,39439,39439
201520099349301152,310970262,GATHERTORIUM,4806,4806
201520099349301257,460224589,OTHER INCOME,631881,631881
201500219349300245,610444788,MISCELLANEOUS,611310,2304366,2304366
201520299349300737,510175975,NPV ADJUSTMENT ON LAND LEASE,900099,538571,538571
201520299349300007,430653369,COMMISSIONS,900099,25157,25157
201520299349300007,430653369,SOCCER CAMP REVENUE,611600,331133,331133
201520299349300007,430653369,OTHER CAMP REVENUE,611600,23469,23469
201520239349300722,430655867,MISCELLANEOUS,900099,134875,134875
201520239349300722,430655867,0
201520239349300722,430655867,0
201520279349300217,440545280,Cafeteria & Vending,611710,335311,335311
201520279349300217,440545280,Drug Study,900099,132104,132104
201520279349300217,440545280,All Other Misc Revenue,900099,198762,198762
201540239349300839,111733439,BOOKSTORE/VENDING & OTHER COMMISSIONS,611710,127085,127085
201540239349300839,111733439,PARKING & LIBRARY FINES,611710,17396,17396
201540239349300839,111733439,ATHLETICS REVENUE,611420,54810,54810
201500289349301350,042325504,VARIOUS,900099,571,571
201500359349300125,131632522,MANAGEMENT FEES,541610,93864,93864
201500359349300125,131632522,PARKING LOT REVENUE,812930,72285,72285
201500359349300125,131632522,AWARD CEREMONY,900099,23352,23352
201500309349301800,042111203,Energy Incentives-Grants,900099,252926,252926,0,0
201500309349301800,042111203,Workers Comp Incentives/Rebates,900099,93466,93466,0,0
201520369349300042,231608264,GENERAL INCOME,611710,48025,48025
201510309349300546,340868798,OTHER REVENUE,611310,946463,946463
201510309349300546,340868798,INTEREST INCOME STUDENT LOANS,611310,17534,17534
201510309349300546,340868798,FINES/FEES,611310,898,898
201530369349300718,362181973,COMPOUND TESTING - LAB,621500,1515259,1515259
201530369349300718,362181973,TRANSCRIPT AND REGISTRATION FEES,900099,60987,60987
201530369349300718,362181973,0
201500309349300205,350845258,ALUMNI ASSOCIATION DUES,611710,15849,15849
201500309349300205,350845258,VENDING COMMISSION,611710,12157,12157
201500309349300205,350845258,WELLNESS CENTER,611710,5607,5607
201510369349301501,930309970,MISCELLANEOUS,611710,188263,188263
201530349349300408,410693977,OTHER REVENUE,900099,708560,708560
201500349349300345,742599785,LOAN FORGIVENESS,900000,1976485,1976485
201500349349300345,742599785,MISCELLANEOUS,541900,122728,122728
201500349349300510,310544271,INSURANCE PROCEEDS,900099,16000,16000
201500349349300510,310544271,WORKERS COMP REBATE,900099,12836,12836
201500349349300510,310544271,MISC INCOME-ACAD/COLL,900099,7858,7858
201500339349300905,233069199,MISCELLANEOUS INCOME,900099,8917,8917
201530309349301008,231382408,QUITCLAIM DEED AMORTIZATION,85472,85472
201530309349301108,420680351,CAMPUS GROUP,541900,2177132,1987689,189443
201530309349301108,420680351,OTHER PROGRAM RELATED,541900,171501,171501
201530309349301108,420680351,COPY CENTER,561439,22600,22600
201530309349301318,620479365,OTHER,900099,100802,100802
201500409349300225,510578495,OTHER INCOME,900099,2133,2133
201520419349301407,150533545,CONFERENCE SERVICES,561499,226918,226918
201520419349301407,150533545,OTHER,99076,99076
201500409349300625,860294012,MISCELLANEOUS REVENUE,952325,952325
201520419349301982,540505922,Change in Interest Rate Swap,900099,121093,0,0,121093
201520419349300217,340714629,FACILITIES USE FEE,58687,58687
201520419349300217,340714629,PARKING,37418,37418
201520419349300217,340714629,ALL OTHER REVENUE,155142,155142
201530439349302343,930845182,MISCELLANEOUS,900099,10064,10064
201530439349302343,930845182,OTHER REVENUE- GLOBE,900099,-483364,-483364
201540429349301964,010271210,MISC STUDENT SERVICES,900099,239481,40065,199416
201540429349301964,010271210,PARKING PERMITS & FINES,900099,121791,121791
201540429349301964,010271210,BOOKSTORE COMMISSION,611710,109389,109389
201540429349301289,231352652,FACILITIES RENT - OTHER,900099,129774,129774
201540429349301289,231352652,CAMPS AND ACTIVITIES REVENUE,900099,103752,103752
201540429349301289,231352652,ENERGY MANAGEMENT PROG REV,900099,42611,42611
201530429349300843,930461940,MISCELLANEOUS,900099,206816,206816
201530429349300843,930461940,TRANSPORTATION INCOME,900099,66958,66958
201530429349301023,440545271,Agency and Miscellaneous,611310,392123,0,0,392123
201530429349301108,237373765,CONSTRUCTION,230000,97292,97292
201530429349301108,237373765,SBC LABORATORIES,541380,10460,10460
201530429349301108,237373765,SBC TECH,541519,4352,4352
201510429349301656,721226741,MISC PROGRAM RECEIPTS,2133,2133
201510429349301836,043349703,OTHER REVENUE,18493,18493
201510429349301836,043349703,BOOKSTORE,17962,17962
201540429349301729,061013935,VARIOUS RELATED SOURCES,900099,25175,25175
201510409349300646,370864020,Housing,721310,3279705,3279705,0,0
201510409349300646,370864020,Auxilliary Sales Unrelated,451211,223270,0,223270,0
201510409349300646,370864020,Advertising income,511110,1553,0,1553,0
201510419349300416,440545914,OTHER REVENUE,900099,885301,885301
201510419349300416,440545914,PARTNERSHIP INCOME,900099,-422,-422
201530429349301473,941585735,REIMBURSED ATTY. FEES,611710,188999,188999
201530429349301473,941585735,MISCELLANEOUS,900999,127889,127889
201530429349301473,941585735,SEOG/FWSP/PERKINS,611710,44699,44699
201510409349300126,237032625,MUSEUM INCOME,611710,68947,68947
201500439349301630,660379122,OTHER SOURCES,900004,5353877,5353877
201500409349301105,952882724,CONTRACT INCOME,611600,80933,80933
201500409349301105,952882724,OTHER INCOME,611600,1629,1629
201520419349300632,660350945,ADMIN COST ALLOWANCE,561000,31129,31129
