object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201542269349301474,650000627,TUITION AND FEES,611600,29192086,29192086
201542269349301474,650000627,CONSULTING FEES,611710,28528,28528
201542269349301474,650000627,CONTINUING EDUCATION SEMINAR REVENUE,611600,51317,51317
201542269349301474,650000627,"TEXTBOOK SALES, NET OF COMMISIONS",611600,79575,79575
201532269349303163,272390050,CONSULTING,611710,95550,95550
201530129349300863,410695509,TUITION,611600,92606736,92606736
201530129349300863,410695509,AUXILIARY SERVICES,532000,11038286,11038286
201530129349300863,410695509,FINANCE FEES,611600,264715,264715
201530129349300863,410695509,FEES & DEPOSITS,611600,135705,135705
201530129349300863,410695509,FITNESS CENTER,531390,69922,69922
201510159349300611,042105776,Room,611310,12539200,12539200,0,0
201510159349300611,042105776,Board,611310,4950833,4950833,0,0
201510159349300611,042105776,"Campus Store, Misc Workshops...",611310,2251089,2251089,0,0
201510159349301406,350867954,TUITION AND FEES,611310,48447542,48447542
201510159349301406,350867954,AUXILIARY SERVICES,611310,11059168,11059168
201510159349301406,350867954,RADIO STATION INCOME,611310,334389,334389
201510159349301406,350867954,VIDEO PRODUCTION INCOME,611310,89770,89770
201510159349301406,350867954,0
201510099349301501,592139553,TUITION & FEES,15372278,15372278
201510099349301501,592139553,STUDENT HOUSING,2236799,2236799
201510099349301501,592139553,STUDENT CAFETERIA,1024176,1024176
201510099349301501,592139553,STUDENT BOOKSTORE,262705,262705
201510099349301501,592139553,SUMMER PROGRAMS,239308,239308
201500149349300810,560530240,Tuition and Fees,611310,12834281,12834281,0,0
201500149349300810,560530240,Auxiliary Enterprises,611310,4424183,4424183,0,0
201500149349300810,560530240,Equestrian Revenue,611310,217185,217185,0,0
201500149349301025,272793072,DEDICATED SPACE REVENUE,611710,504554,504554
201500149349301025,272793072,ACADEMIC INSTITUTION,611710,290377,290377
201500129349300710,131916574,TUITION & FEES,611310,24344273,24344273
201500129349300710,131916574,HOUSING/FOOD REVENUES,721000,1489169,1489169
201500129349300710,131916574,CLINIC REVENUES,621400,877784,877784
201500129349300710,131916574,ATHLETIC CENTER,713940,189365,189365
201500129349300710,131916574,ADVERTISING INCOME,541800,46100,46100
201530129349300133,620475751,TUITION & FEES,611710,5684548,5684548
201540149349301429,943116985,TUITION,611710,2266130,2266130
201540149349301429,943116985,CAFETERIA & CATERING,722320,1030664,278957,751707
201540149349301429,943116985,ROOM & BOARD,611710,485418,485418
201540149349301429,943116985,BOOKSTORE & TEXTBOOKS,611710,94580,94580
201520099349300747,330606003,TUITIONS,35000,35000
201520139349301112,370661231,ATHLETICS,711210,529114,529114
201520139349301112,370661231,DORMITORIES,721310,3792260,3792260
201520139349301112,370661231,FOOD SERVICE,722210,2191937,2191937
201520139349301112,370661231,READING CENTER,611710,2079,2079
